Index        TIME          {V(3)+1.0}       {V(4)+1.0}       {V(5)+1.0}       {V(7)+1.0}       {V(8)+1.0}       {V(9)+1.0}       {V(10)+1.0}      {V(11)+1.0}
0       0.00000000e+00   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
1       5.00000000e-11   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
2       1.50000000e-10   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
3       3.50000000e-10   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
4       7.50000000e-10   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
5       1.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
6       2.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
7       3.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
8       4.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
9       5.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
10      6.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
11      7.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
12      8.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
13      9.55000000e-09   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
14      1.00000000e-08   1.00000000e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
15      1.01000000e-08   1.05000000e+00   1.10012528e+01   1.00002011e+00   1.10000005e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
16      1.01125000e-08   1.05625000e+00   1.10014137e+01   1.00002270e+00   1.10000006e+01   1.00000002e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
17      1.01375000e-08   1.06875000e+00   1.10017361e+01   1.00002782e+00   1.10000007e+01   1.00000002e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
18      1.01625000e-08   1.08125000e+00   1.10020566e+01   1.00003278e+00   1.10000008e+01   1.00000002e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
19      1.02125000e-08   1.10625000e+00   1.10026888e+01   1.00004211e+00   1.10000011e+01   1.00000002e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
20      1.03125000e-08   1.15625000e+00   1.10039192e+01   1.00005856e+00   1.10000015e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
21      1.04125000e-08   1.20625000e+00   1.10051165e+01   1.00007303e+00   1.10000018e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
22      1.05125000e-08   1.25625000e+00   1.10062820e+01   1.00008569e+00   1.10000021e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
23      1.07125000e-08   1.35625000e+00   1.10085422e+01   1.00010736e+00   1.10000025e+01   1.00000004e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
24      1.08151487e-08   1.40757436e+00   1.10096459e+01   1.00011572e+00   1.10000027e+01   1.00000004e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
25      1.08696634e-08   1.43483168e+00   1.10102237e+01   1.00011979e+00   1.10000027e+01   1.00000004e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
26      1.09241780e-08   1.46208899e+00   1.10107933e+01   1.00012352e+00   1.10000028e+01   1.00000004e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
27      1.09637748e-08   1.48188739e+00   1.10112029e+01   1.00012605e+00   1.10000028e+01   1.00000004e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
28      1.10033716e-08   1.50168578e+00   1.10116082e+01   1.00012842e+00   1.10000029e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
29      1.10429683e-08   1.52148417e+00   1.10120094e+01   1.00013063e+00   1.10000029e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
30      1.11221619e-08   1.56108096e+00   1.10127958e+01   1.00013447e+00   1.10000029e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
31      1.11931670e-08   1.59658349e+00   1.10134883e+01   1.00013748e+00   1.10000030e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
32      1.12641720e-08   1.63208602e+00   1.10141686e+01   1.00014008e+00   1.10000030e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
33      1.14061822e-08   1.70309109e+00   1.10154823e+01   1.00014393e+00   1.10000029e+01   1.00000003e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
34      1.15224703e-08   1.76123517e+00   1.10165279e+01   1.00014627e+00   1.10000029e+01   1.00000002e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
35      1.16387585e-08   1.81937925e+00   1.10175344e+01   1.00014775e+00   1.10000029e+01   1.00000002e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
36      1.17550467e-08   1.87752333e+00   1.10184678e+01   1.00014790e+00   1.10000028e+01   1.00000002e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
37      1.19595719e-08   1.97978593e+00   1.10197417e+01   1.00014264e+00   1.10000025e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
38      1.21436445e-08   2.07182227e+00   1.10204511e+01   1.00013197e+00   1.10000021e+01   1.00000001e+00   1.10000000e+01   1.00000001e+00   1.10000000e+01   
39      1.23277172e-08   2.16385861e+00   1.10205964e+01   1.00011434e+00   1.10000015e+01   9.99999998e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
40      1.24933826e-08   2.24669131e+00   1.10201740e+01   1.00009212e+00   1.10000009e+01   9.99999989e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
41      1.26590480e-08   2.32952402e+00   1.10191105e+01   1.00006306e+00   1.10000001e+01   9.99999979e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
42      1.28081469e-08   2.40407345e+00   1.10175668e+01   1.00003102e+00   1.09999993e+01   9.99999970e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
43      1.29572458e-08   2.47862289e+00   1.10153752e+01   9.99992851e-01   1.09999984e+01   9.99999960e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
44      1.30878607e-08   2.54393035e+00   1.10129135e+01   9.99954536e-01   1.09999974e+01   9.99999950e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
45      1.32054141e-08   2.60270706e+00   1.10102276e+01   9.99915995e-01   1.09999965e+01   9.99999941e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
46      1.33229675e-08   2.66148377e+00   1.10070427e+01   9.99873343e-01   1.09999955e+01   9.99999932e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
47      1.34405210e-08   2.72026049e+00   1.10033306e+01   9.99826542e-01   1.09999945e+01   9.99999922e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
48      1.36756278e-08   2.83781391e+00   1.09945517e+01   9.99722585e-01   1.09999921e+01   9.99999902e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
49      1.39107347e-08   2.95536734e+00   1.09834644e+01   9.99601848e-01   1.09999895e+01   9.99999882e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
50      1.41458415e-08   3.07292076e+00   1.09697816e+01   9.99463574e-01   1.09999866e+01   9.99999861e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
51      1.46160552e-08   3.30802762e+00   1.09334173e+01   9.99134066e-01   1.09999801e+01   9.99999819e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
52      1.50862689e-08   3.54313447e+00   1.08839392e+01   9.98734183e-01   1.09999726e+01   9.99999778e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
53      1.60266964e-08   4.01334818e+00   1.07370817e+01   9.97722530e-01   1.09999552e+01   9.99999706e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
54      1.69671238e-08   4.48356188e+00   1.05166148e+01   9.96407211e-01   1.09999349e+01   9.99999641e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
55      1.79075512e-08   4.95377559e+00   1.02066805e+01   9.94731723e-01   1.09999108e+01   9.99999573e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
56      1.88479786e-08   5.42398929e+00   9.78888936e+00   9.92607707e-01   1.09998819e+01   9.99999488e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
57      1.95882038e-08   5.79410189e+00   9.33950553e+00   9.90519088e-01   1.09998562e+01   9.99999435e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
58      1.98479057e-08   5.92395286e+00   9.16997220e+00   9.89934335e-01   1.09998514e+01   9.99999481e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
59      1.99973074e-08   5.99865368e+00   9.06833250e+00   9.89728434e-01   1.09998521e+01   9.99999557e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
60      2.01411036e-08   6.07055181e+00   8.96650184e+00   9.89705167e-01   1.09998572e+01   9.99999691e-01   1.10000000e+01   1.00000001e+00   1.10000000e+01   
