Index        TIME          {V(2)+1.0}       {V(3)+1.0}       {V(4)+1.0}
0       0.00000000e+00   1.52455420e+00   1.52455420e+00   1.16949275e+00   
1       1.00000000e-09   1.52455423e+00   1.52455423e+00   1.16949288e+00   
2       3.00000000e-09   1.52455427e+00   1.52455427e+00   1.16949307e+00   
3       7.00000000e-09   1.52455430e+00   1.52455430e+00   1.16949322e+00   
4       9.00000000e-09   1.52455431e+00   1.52455431e+00   1.16949327e+00   
5       1.00000000e-08   1.52455432e+00   1.52455432e+00   1.16949329e+00   
6       1.00078125e-08   1.52455520e+00   1.52455343e+00   1.16949329e+00   
7       1.00234375e-08   1.52456691e+00   1.52454172e+00   1.16949329e+00   
8       1.00546875e-08   1.52467545e+00   1.52443318e+00   1.16949330e+00   
9       1.01171875e-08   1.52546040e+00   1.52364816e+00   1.16949381e+00   
10      1.02421875e-08   1.52913416e+00   1.51997253e+00   1.16950690e+00   
11      1.03671875e-08   1.53380811e+00   1.51529223e+00   1.16954932e+00   
12      1.06171875e-08   1.54215378e+00   1.50692024e+00   1.16969575e+00   
13      1.11171875e-08   1.55601071e+00   1.49295589e+00   1.17013172e+00   
14      1.16171875e-08   1.56964730e+00   1.47912417e+00   1.17080434e+00   
15      1.26171875e-08   1.59672392e+00   1.45115796e+00   1.17297758e+00   
16      1.36171875e-08   1.62309378e+00   1.42302159e+00   1.17660142e+00   
17      1.46171875e-08   1.64845828e+00   1.39446663e+00   1.18240656e+00   
18      1.66171875e-08   1.69562160e+00   1.33517164e+00   1.20246610e+00   
19      1.77018260e-08   1.71815412e+00   1.30112688e+00   1.21782428e+00   
20      1.87864646e-08   1.73906426e+00   1.26615080e+00   1.23431377e+00   
21      1.98711031e-08   1.75865280e+00   1.23054542e+00   1.25115755e+00   
22      2.20403802e-08   1.79364458e+00   1.15782207e+00   1.28302395e+00   
23      2.42096572e-08   1.82557186e+00   1.08481628e+00   1.31288463e+00   
24      2.63789343e-08   1.85568356e+00   1.01281121e+00   1.34130870e+00   
25      2.71220292e-08   1.86589738e+00   9.88453795e-01   1.35103280e+00   
