Index        TIME          {V(20)+1.0}      {V(2)+1.0}
0       0.00000000e+00   1.00000000e+00   3.99999879e+00   
1       5.00000000e-12   1.01500000e+00   4.00857115e+00   
2       5.62500000e-12   1.01687500e+00   4.00962924e+00   
3       6.87500000e-12   1.02062500e+00   4.01168760e+00   
4       8.12500000e-12   1.02437500e+00   4.01368700e+00   
5       1.06250000e-11   1.03187500e+00   4.01745665e+00   
6       1.31250000e-11   1.03937500e+00   4.02100857e+00   
7       1.81250000e-11   1.05437500e+00   4.02733843e+00   
8       2.81250000e-11   1.08437500e+00   4.03754629e+00   
9       3.81250000e-11   1.11437500e+00   4.04582714e+00   
10      5.81250000e-11   1.17437500e+00   4.05735477e+00   
11      7.81250000e-11   1.23437500e+00   4.06564090e+00   
12      1.18125000e-10   1.35437500e+00   4.07595397e+00   
13      1.58125000e-10   1.47437500e+00   4.08342407e+00   
14      1.80167815e-10   1.54050345e+00   4.08707204e+00   
15      1.91189223e-10   1.57356767e+00   4.08881738e+00   
16      1.97532907e-10   1.59259872e+00   4.08980141e+00   
17      2.03242223e-10   1.60972667e+00   4.09067292e+00   
18      2.08309413e-10   1.62492824e+00   4.09143747e+00   
19      2.18443794e-10   1.65533138e+00   4.09294014e+00   
20      2.26020617e-10   1.67806185e+00   4.09405659e+00   
21      2.33597439e-10   1.70079232e+00   4.09516949e+00   
22      2.48751084e-10   1.74625325e+00   4.09739773e+00   
23      2.59261585e-10   1.77778475e+00   4.09895900e+00   
24      2.80282585e-10   1.84084776e+00   4.10215681e+00   
25      2.94833831e-10   1.88450149e+00   4.10443525e+00   
26      3.23936321e-10   1.97180896e+00   4.10925223e+00   
27      3.49769460e-10   2.04930838e+00   4.11381995e+00   
28      3.75602598e-10   2.12680779e+00   4.11872471e+00   
29      4.01435736e-10   2.20430721e+00   4.12401743e+00   
30      4.53102013e-10   2.35930604e+00   4.13619984e+00   
31      4.87738909e-10   2.46321673e+00   4.14546871e+00   
32      5.22375805e-10   2.56712742e+00   4.15595899e+00   
33      5.57012701e-10   2.67103810e+00   4.16789327e+00   
34      5.91649598e-10   2.77494879e+00   4.18123792e+00   
35      6.26286494e-10   2.87885948e+00   4.19700935e+00   
36      6.60923390e-10   2.98277017e+00   4.21522577e+00   
37      6.95560286e-10   3.08668086e+00   4.23640440e+00   
38      7.64834078e-10   3.29450223e+00   4.28909008e+00   
39      8.08636643e-10   3.42590993e+00   4.33205108e+00   
40      8.52439208e-10   3.55731762e+00   4.38107500e+00   
41      8.96241773e-10   3.68872532e+00   4.43490399e+00   
42      9.40044338e-10   3.82013301e+00   4.48866990e+00   
43      9.83846903e-10   3.95154071e+00   4.52887901e+00   
44      1.00000000e-09   4.00000000e+00   4.53970355e+00   
45      1.01615310e-09   4.00000000e+00   4.52731803e+00   
46      1.02019137e-09   4.00000000e+00   4.52447113e+00   
47      1.02422965e-09   4.00000000e+00   4.52183758e+00   
48      1.03230619e-09   4.00000000e+00   4.51723172e+00   
49      1.04038274e-09   4.00000000e+00   4.51313265e+00   
50      1.05653584e-09   4.00000000e+00   4.50634199e+00   
51      1.07268894e-09   4.00000000e+00   4.50063805e+00   
52      1.08884203e-09   4.00000000e+00   4.49579098e+00   
53      1.12114823e-09   4.00000000e+00   4.48731190e+00   
54      1.15345442e-09   4.00000000e+00   4.48124166e+00   
55      1.18576062e-09   4.00000000e+00   4.47606250e+00   
56      1.21806681e-09   4.00000000e+00   4.47153960e+00   
57      1.28267920e-09   4.00000000e+00   4.46348261e+00   
58      1.34729159e-09   4.00000000e+00   4.45744496e+00   
59      1.41190398e-09   4.00000000e+00   4.45219231e+00   
60      1.47651637e-09   4.00000000e+00   4.44752760e+00   
61      1.60574114e-09   4.00000000e+00   4.43908416e+00   
62      1.71791783e-09   4.00000000e+00   4.43325614e+00   
63      1.81887686e-09   4.00000000e+00   4.42845286e+00   
64      1.91983588e-09   4.00000000e+00   4.42395278e+00   
65      2.02079490e-09   4.00000000e+00   4.41962003e+00   
66      2.22271295e-09   4.00000000e+00   4.41067263e+00   
67      2.40406457e-09   4.00000000e+00   4.39987121e+00   
68      2.56728104e-09   4.00000000e+00   4.38639789e+00   
69      2.73049750e-09   4.00000000e+00   4.36766710e+00   
70      2.89371396e-09   4.00000000e+00   4.34193983e+00   
71      3.22014689e-09   4.00000000e+00   4.26471762e+00   
72      3.48308213e-09   4.00000000e+00   4.16433527e+00   
73      3.71972385e-09   4.00000000e+00   4.05921793e+00   
74      3.95636556e-09   4.00000000e+00   3.94097106e+00   
75      4.19300728e-09   4.00000000e+00   3.81107099e+00   
76      4.66629072e-09   4.00000000e+00   3.52605101e+00   
77      5.06123292e-09   4.00000000e+00   3.25858566e+00   
78      5.45617512e-09   4.00000000e+00   2.98157452e+00   
79      5.85111733e-09   4.00000000e+00   2.73988173e+00   
80      6.20656531e-09   4.00000000e+00   2.55978568e+00   
81      6.52646849e-09   4.00000000e+00   2.42058035e+00   
82      6.84637168e-09   4.00000000e+00   2.29914032e+00   
83      7.16627486e-09   4.00000000e+00   2.19179786e+00   
84      7.80608123e-09   4.00000000e+00   2.00399856e+00   
85      8.24399279e-09   4.00000000e+00   1.90158993e+00   
86      8.68190434e-09   4.00000000e+00   1.81007395e+00   
87      9.11981589e-09   4.00000000e+00   1.72812363e+00   
88      9.99563900e-09   4.00000000e+00   1.58382638e+00   
89      1.05296642e-08   4.00000000e+00   1.51373275e+00   
90      1.10102869e-08   4.00000000e+00   1.45733446e+00   
91      1.14909096e-08   4.00000000e+00   1.40698976e+00   
92      1.19715323e-08   4.00000000e+00   1.36208816e+00   
93      1.29327777e-08   4.00000000e+00   1.28350080e+00   
94      1.34025072e-08   4.00000000e+00   1.25276788e+00   
95      1.38722367e-08   4.00000000e+00   1.22531072e+00   
96      1.42949932e-08   4.00000000e+00   1.20301683e+00   
97      1.47177498e-08   4.00000000e+00   1.18291098e+00   
98      1.51405063e-08   4.00000000e+00   1.16478337e+00   
99      1.59860194e-08   4.00000000e+00   1.13260419e+00   
100     1.64268882e-08   4.00000000e+00   1.11894538e+00   
101     1.68677569e-08   4.00000000e+00   1.10668513e+00   
102     1.72645388e-08   4.00000000e+00   1.09668200e+00   
103     1.76613207e-08   4.00000000e+00   1.08761444e+00   
104     1.80581026e-08   4.00000000e+00   1.07939562e+00   
105     1.88516664e-08   4.00000000e+00   1.06470803e+00   
106     1.92834410e-08   4.00000000e+00   1.05815571e+00   
107     1.97152157e-08   4.00000000e+00   1.05226538e+00   
108     2.01469904e-08   4.00000000e+00   1.04697093e+00   
109     2.10105397e-08   4.00000000e+00   1.03759533e+00   
110     2.14426609e-08   4.00000000e+00   1.03378414e+00   
111     2.18747822e-08   4.00000000e+00   1.03035885e+00   
112     2.23069035e-08   4.00000000e+00   1.02728063e+00   
113     2.31711460e-08   4.00000000e+00   1.02182971e+00   
114     2.36029178e-08   4.00000000e+00   1.01961799e+00   
115     2.40346897e-08   4.00000000e+00   1.01763021e+00   
116     2.44664616e-08   4.00000000e+00   1.01584380e+00   
117     2.53300053e-08   4.00000000e+00   1.01267992e+00   
118     2.57624504e-08   4.00000000e+00   1.01139337e+00   
119     2.60000000e-08   4.00000000e+00   1.01072793e+00   
120     2.60050000e-08   3.98500000e+00   1.00336367e+00   
121     2.60056250e-08   3.98312500e+00   1.00244123e+00   
122     2.60068750e-08   3.97937500e+00   1.00058736e+00   
123     2.60078878e-08   3.97633651e+00   9.99079339e-01   
124     2.60089007e-08   3.97329802e+00   9.97565558e-01   
125     2.60099135e-08   3.97025953e+00   9.96046200e-01   
126     2.60119391e-08   3.96418255e+00   9.92995094e-01   
127     2.60139648e-08   3.95810557e+00   9.89915487e-01   
128     2.60159905e-08   3.95202859e+00   9.86817706e-01   
129     2.60200418e-08   3.93987464e+00   9.80557401e-01   
130     2.60240931e-08   3.92772068e+00   9.74239524e-01   
131     2.60281444e-08   3.91556672e+00   9.67870026e-01   
