Index        TIME          {V(2)+1.0}       {V(5)+1.0}
0       0.00000000e+00   3.00000000e+00   1.00000000e+00   
1       1.00000000e-10   2.26726127e+00   1.07118451e+00   
2       1.12500000e-10   2.17660823e+00   1.07798821e+00   
3       1.25000000e-10   2.08626555e+00   1.08374253e+00   
4       1.50000000e-10   1.90783185e+00   1.08961248e+00   
5       1.75000000e-10   1.73708438e+00   1.08999084e+00   
6       2.00000000e-10   1.58312919e+00   1.08637435e+00   
7       2.25000000e-10   1.46308620e+00   1.07980729e+00   
8       2.50000000e-10   1.37468267e+00   1.07227940e+00   
9       2.75000000e-10   1.30613766e+00   1.06424931e+00   
10      3.00000000e-10   1.25126969e+00   1.05550074e+00   
11      3.25000000e-10   1.20809620e+00   1.04615682e+00   
12      3.50000000e-10   1.17410255e+00   1.03611565e+00   
13      3.75000000e-10   1.14746288e+00   1.02525261e+00   
14      4.00000000e-10   1.12638566e+00   1.01342858e+00   
15      4.25000000e-10   1.10967892e+00   1.00018972e+00   
16      4.50000000e-10   1.09726556e+00   9.84075672e-01   
17      4.75000000e-10   1.09012415e+00   9.62353566e-01   
18      5.00000000e-10   1.08619352e+00   9.36579760e-01   
19      5.25000000e-10   1.08223180e+00   9.11986662e-01   
20      5.50000000e-10   1.07760585e+00   8.90010498e-01   
21      5.75000000e-10   1.07244977e+00   8.73341736e-01   
22      6.00000000e-10   1.06698933e+00   8.65035242e-01   
23      6.25000000e-10   1.06153101e+00   8.67941371e-01   
24      6.50000000e-10   1.05514152e+00   8.89304585e-01   
25      6.75000000e-10   1.04854978e+00   9.33617170e-01   
26      7.00000000e-10   1.04314220e+00   1.01907031e+00   
27      7.25000000e-10   1.03916203e+00   1.14638534e+00   
28      7.50000000e-10   1.03643397e+00   1.28965228e+00   
29      7.75000000e-10   1.03427864e+00   1.45017853e+00   
30      8.00000000e-10   1.03235214e+00   1.62981015e+00   
31      8.25000000e-10   1.03047922e+00   1.81632561e+00   
32      8.50000000e-10   1.02853102e+00   2.00088233e+00   
33      8.75000000e-10   1.02656584e+00   2.18298613e+00   
34      9.00000000e-10   1.02457027e+00   2.35997644e+00   
35      9.25000000e-10   1.02261941e+00   2.53017057e+00   
36      9.50000000e-10   1.02071441e+00   2.69154612e+00   
37      9.75000000e-10   1.01893477e+00   2.84063498e+00   
38      1.00000000e-09   1.01731239e+00   2.97278078e+00   
39      1.02500000e-09   1.01587179e+00   3.09603786e+00   
40      1.05000000e-09   1.01451422e+00   3.21187333e+00   
41      1.07500000e-09   1.01318385e+00   3.30969352e+00   
42      1.10000000e-09   1.01191441e+00   3.39264446e+00   
43      1.12500000e-09   1.01076631e+00   3.46292324e+00   
44      1.15000000e-09   1.00973611e+00   3.52330554e+00   
45      1.17500000e-09   1.00883936e+00   3.57508024e+00   
46      1.20000000e-09   1.00801065e+00   3.61261126e+00   
47      1.22500000e-09   1.00729381e+00   3.64069376e+00   
48      1.25000000e-09   1.00672158e+00   3.66843054e+00   
49      1.27500000e-09   1.00625183e+00   3.69689517e+00   
50      1.30000000e-09   1.00584321e+00   3.72720632e+00   
51      1.32500000e-09   1.00546592e+00   3.75705779e+00   
52      1.35000000e-09   1.00510382e+00   3.78583216e+00   
53      1.37500000e-09   1.00476064e+00   3.81232195e+00   
54      1.42500000e-09   1.00413320e+00   3.85773314e+00   
55      1.47500000e-09   1.00360485e+00   3.89317134e+00   
56      1.52500000e-09   1.00317087e+00   3.92026786e+00   
57      1.57000000e-09   1.00285353e+00   3.93961939e+00   
58      1.60631832e-09   1.00263084e+00   3.95223907e+00   
59      1.63891456e-09   1.00244710e+00   3.96064508e+00   
60      1.67151081e-09   1.00228237e+00   3.96721215e+00   
61      1.70410706e-09   1.00213526e+00   3.97235951e+00   
62      1.73670330e-09   1.00200157e+00   3.97645080e+00   
63      1.76929955e-09   1.00187770e+00   3.97960756e+00   
64      1.79863617e-09   1.00177694e+00   3.98228672e+00   
65      1.82503913e-09   1.00169070e+00   3.98457206e+00   
66      1.85144209e-09   1.00160923e+00   3.98675862e+00   
67      1.87784505e-09   1.00152828e+00   3.98863213e+00   
68      1.90424801e-09   1.00145234e+00   3.99024251e+00   
69      1.93065097e-09   1.00137763e+00   3.99153857e+00   
70      1.95705393e-09   1.00130951e+00   3.99262197e+00   
71      1.98345689e-09   1.00124265e+00   3.99349107e+00   
72      2.00985985e-09   1.00118270e+00   3.99423479e+00   
73      2.03626281e-09   1.00112309e+00   3.99484379e+00   
74      2.06266577e-09   1.00107014e+00   3.99538585e+00   
75      2.08906873e-09   1.00101664e+00   3.99585389e+00   
76      2.11547169e-09   1.00096955e+00   3.99630047e+00   
77      2.14187465e-09   1.00092096e+00   3.99667384e+00   
78      2.16827761e-09   1.00087845e+00   3.99699802e+00   
79      2.19468057e-09   1.00083417e+00   3.99726288e+00   
80      2.22108353e-09   1.00079627e+00   3.99752252e+00   
81      2.24748649e-09   1.00075619e+00   3.99774663e+00   
82      2.27388945e-09   1.00072228e+00   3.99797480e+00   
83      2.30029241e-09   1.00068572e+00   3.99816037e+00   
84      2.32669537e-09   1.00065526e+00   3.99835100e+00   
85      2.35309833e-09   1.00062207e+00   3.99852521e+00   
86      2.37950129e-09   1.00059479e+00   3.99870442e+00   
87      2.40590424e-09   1.00056433e+00   3.99884265e+00   
88      2.43230720e-09   1.00053976e+00   3.99897659e+00   
89      2.45871016e-09   1.00051198e+00   3.99907260e+00   
90      2.48511312e-09   1.00049004e+00   3.99917116e+00   
91      2.51151608e-09   1.00046476e+00   3.99923991e+00   
92      2.53791904e-09   1.00044521e+00   3.99931814e+00   
93      2.56432200e-09   1.00042217e+00   3.99937095e+00   
94      2.59072496e-09   1.00040470e+00   3.99943584e+00   
95      2.61712792e-09   1.00038361e+00   3.99947704e+00   
96      2.64353088e-09   1.00036796e+00   3.99953170e+00   
97      2.66993384e-09   1.00034855e+00   3.99956360e+00   
98      2.69633680e-09   1.00033449e+00   3.99960815e+00   
99      2.72273976e-09   1.00031679e+00   3.99962953e+00   
100     2.74914272e-09   1.00030437e+00   3.99966521e+00   
101     2.77554568e-09   1.00028813e+00   3.99968026e+00   
102     2.80194864e-09   1.00027699e+00   3.99971044e+00   
103     2.82835160e-09   1.00026200e+00   3.99972034e+00   
104     2.85475456e-09   1.00025205e+00   3.99974522e+00   
105     2.88115752e-09   1.00023836e+00   3.99975050e+00   
106     2.90756048e-09   1.00022957e+00   3.99977199e+00   
107     2.93396344e-09   1.00021657e+00   3.99977402e+00   
108     2.96036640e-09   1.00020806e+00   3.99979142e+00   
109     2.98676936e-09   1.00019601e+00   3.99978992e+00   
110     3.01317232e-09   1.00018876e+00   3.99980464e+00   
