Index        TIME          {V(11)+2.0}      {V(12)+2.0}      {V(3)+2.0}       {V(4)+2.0}       {V(5)+2.0}
0       0.00000000e+00   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
1       5.00000000e-11   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
2       1.50000000e-10   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
3       3.50000000e-10   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
4       7.50000000e-10   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
5       1.55000000e-09   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
6       3.15000000e-09   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
7       6.35000000e-09   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
8       1.00000000e-08   7.00000000e+00   2.00000000e+00   2.00000393e+00   6.99999404e+00   6.99999404e+00   
9       1.00005000e-08   7.00000000e+00   2.02500000e+00   2.00000392e+00   6.99999403e+00   6.99999404e+00   
10      1.00005625e-08   7.00000000e+00   2.02812500e+00   2.00000392e+00   6.99999403e+00   6.99999404e+00   
11      1.00006875e-08   7.00000000e+00   2.03437500e+00   2.00000392e+00   6.99999402e+00   6.99999404e+00   
12      1.00009375e-08   7.00000000e+00   2.04687500e+00   2.00000392e+00   6.99999401e+00   6.99999404e+00   
13      1.00014375e-08   7.00000000e+00   2.07187500e+00   2.00000392e+00   6.99999398e+00   6.99999404e+00   
14      1.00024375e-08   7.00000000e+00   2.12187500e+00   2.00000391e+00   6.99999386e+00   6.99999404e+00   
15      1.00044375e-08   7.00000000e+00   2.22187500e+00   2.00000385e+00   6.99999315e+00   6.99999404e+00   
16      1.00068165e-08   7.00000000e+00   2.34082557e+00   2.00000364e+00   6.99999066e+00   6.99999403e+00   
17      1.00091955e-08   7.00000000e+00   2.45977615e+00   2.00000305e+00   6.99998364e+00   6.99999400e+00   
18      1.00113366e-08   7.00000000e+00   2.56683166e+00   2.00000172e+00   6.99996779e+00   6.99999395e+00   
19      1.00118719e-08   7.00000000e+00   2.59359554e+00   2.00000130e+00   6.99996263e+00   6.99999393e+00   
20      1.00123455e-08   7.00000000e+00   2.61727266e+00   2.00000085e+00   6.99995703e+00   6.99999391e+00   
21      1.00128190e-08   7.00000000e+00   2.64094978e+00   2.00000029e+00   6.99995017e+00   6.99999389e+00   
