Index        TIME         {V(24,6)+6.0}     {V(26)+6.0}    {V(13,19)+6.0}     {V(24)+6.0}      {V(6)+6.0}       {V(26)+6.0}      {V(13)+6.0}      {V(19)+6.0}
0       0.00000000e+00   6.00000000e+00   6.00000000e+00   5.99980000e+00   7.22936251e+00   7.22936251e+00   6.00000000e+00   5.99990000e+00   6.00010000e+00   
1       5.00000000e-11   6.00000000e+00   6.00000000e+00   5.99980200e+00   7.22936251e+00   7.22936251e+00   6.00000000e+00   5.99990100e+00   6.00009900e+00   
2       1.50000000e-10   6.00000000e+00   6.00000000e+00   5.99980600e+00   7.22936251e+00   7.22936251e+00   6.00000000e+00   5.99990300e+00   6.00009700e+00   
3       3.50000000e-10   6.00000000e+00   6.00000000e+00   5.99981400e+00   7.22936251e+00   7.22936251e+00   6.00000000e+00   5.99990700e+00   6.00009300e+00   
4       7.50000000e-10   6.00000001e+00   6.00000000e+00   5.99983000e+00   7.22936251e+00   7.22936250e+00   6.00000000e+00   5.99991500e+00   6.00008500e+00   
5       1.55000000e-09   6.00000005e+00   6.00000000e+00   5.99986200e+00   7.22936252e+00   7.22936247e+00   6.00000000e+00   5.99993100e+00   6.00006900e+00   
6       2.35000000e-09   6.00000013e+00   6.00000000e+00   5.99989400e+00   7.22936255e+00   7.22936243e+00   6.00000000e+00   5.99994700e+00   6.00005300e+00   
7       3.95000000e-09   6.00000038e+00   6.00000000e+00   5.99995800e+00   7.22936269e+00   7.22936231e+00   6.00000000e+00   5.99997900e+00   6.00002100e+00   
8       5.55000000e-09   6.00000069e+00   6.00000000e+00   6.00002200e+00   7.22936286e+00   7.22936217e+00   6.00000000e+00   6.00001100e+00   5.99998900e+00   
9       7.15000000e-09   6.00000099e+00   6.00000000e+00   6.00008600e+00   7.22936303e+00   7.22936203e+00   6.00000000e+00   6.00004300e+00   5.99995700e+00   
10      1.00000000e-08   6.00000148e+00   6.00000000e+00   6.00020000e+00   7.22936329e+00   7.22936181e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
11      1.12000000e-08   6.00000160e+00   6.00000000e+00   6.00020000e+00   7.22936336e+00   7.22936176e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
12      1.24000000e-08   6.00000161e+00   6.00000000e+00   6.00020000e+00   7.22936336e+00   7.22936176e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
13      1.36000000e-08   6.00000152e+00   6.00000000e+00   6.00020000e+00   7.22936332e+00   7.22936180e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
14      1.60000000e-08   6.00000121e+00   6.00000000e+00   6.00020000e+00   7.22936316e+00   7.22936196e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
15      1.84000000e-08   6.00000072e+00   6.00000000e+00   6.00020000e+00   7.22936292e+00   7.22936219e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
16      2.08000000e-08   6.00000029e+00   6.00000000e+00   6.00020000e+00   7.22936270e+00   7.22936241e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
17      2.56000000e-08   5.99999976e+00   6.00000000e+00   6.00020000e+00   7.22936242e+00   7.22936266e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
18      3.04000000e-08   5.99999951e+00   6.00000000e+00   6.00020000e+00   7.22936229e+00   7.22936278e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
19      3.52000000e-08   5.99999945e+00   6.00000000e+00   6.00020000e+00   7.22936226e+00   7.22936281e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
20      4.48000000e-08   5.99999950e+00   6.00000000e+00   6.00020000e+00   7.22936228e+00   7.22936278e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
21      5.44000000e-08   5.99999969e+00   6.00000000e+00   6.00020000e+00   7.22936237e+00   7.22936268e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
22      6.40000000e-08   5.99999981e+00   6.00000000e+00   6.00020000e+00   7.22936243e+00   7.22936262e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
23      8.32000000e-08   5.99999992e+00   6.00000000e+00   6.00020000e+00   7.22936248e+00   7.22936256e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
24      1.02400000e-07   5.99999997e+00   6.00000000e+00   6.00020000e+00   7.22936250e+00   7.22936254e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
25      1.27400000e-07   5.99999999e+00   6.00000000e+00   6.00020000e+00   7.22936251e+00   7.22936252e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
26      1.52400000e-07   6.00000000e+00   6.00000000e+00   6.00020000e+00   7.22936251e+00   7.22936252e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
27      1.77400000e-07   6.00000000e+00   6.00000000e+00   6.00020000e+00   7.22936251e+00   7.22936252e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
28      2.02400000e-07   6.00000000e+00   6.00000000e+00   6.00020000e+00   7.22936251e+00   7.22936251e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
29      2.27400000e-07   6.00000000e+00   6.00000000e+00   6.00020000e+00   7.22936251e+00   7.22936251e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
30      2.50000000e-07   6.00000000e+00   6.00000000e+00   6.00020000e+00   7.22936251e+00   7.22936251e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
31      2.50050000e-07   6.00000010e+00   6.00000000e+00   6.00020000e+00   7.22930308e+00   7.22930298e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
32      2.50056250e-07   6.00000011e+00   6.00000000e+00   6.00020000e+00   7.22929564e+00   7.22929553e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
33      2.50068750e-07   6.00000014e+00   6.00000000e+00   6.00020000e+00   7.22928076e+00   7.22928062e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
34      2.50081250e-07   6.00000016e+00   6.00000000e+00   6.00020000e+00   7.22926586e+00   7.22926570e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
35      2.50106250e-07   6.00000021e+00   6.00000000e+00   6.00020000e+00   7.22923606e+00   7.22923585e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
36      2.50156250e-07   6.00000030e+00   6.00000000e+00   6.00020000e+00   7.22917667e+00   7.22917637e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
