Index        TIME            V(2827)           V(6)            V(2843)          V(2652)          V(2757)
0       0.00000000e+00   8.84208034e-01   0.00000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
1       5.00000000e-12   8.84208529e-01   1.65000000e-02   0.00000000e+00   3.30000000e+00   3.30000000e+00   
2       1.50000000e-11   8.84209590e-01   4.95000000e-02   0.00000000e+00   3.30000000e+00   3.30000000e+00   
3       3.50000000e-11   8.84211804e-01   1.15500000e-01   0.00000000e+00   3.30000000e+00   3.30000000e+00   
4       7.50000000e-11   8.84216625e-01   2.47500000e-01   0.00000000e+00   3.30000000e+00   3.30000000e+00   
5       1.55000000e-10   8.84226899e-01   5.11500000e-01   0.00000000e+00   3.30000000e+00   3.30000000e+00   
6       3.15000000e-10   8.84247458e-01   1.03950000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
7       6.35000000e-10   8.84285704e-01   2.09550000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
8       9.55000000e-10   8.84320315e-01   3.15150000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
9       1.00000000e-09   8.84324922e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
10      1.03200000e-09   8.84328127e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
11      1.06400000e-09   8.84331304e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
12      1.12800000e-09   8.84337601e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
13      1.25600000e-09   8.84349872e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
14      1.51200000e-09   8.84373192e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
15      2.02400000e-09   8.84415292e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
16      2.53600000e-09   8.84450829e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
17      3.04800000e-09   8.84478192e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
18      3.56000000e-09   8.84503500e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
19      4.07200000e-09   8.84570919e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
20      4.13983949e-09   8.84586701e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
21      4.20767897e-09   8.84603416e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
22      4.34335795e-09   8.84641911e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
23      4.47903692e-09   8.84686709e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
24      4.61471589e-09   8.84736624e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
25      4.75039487e-09   8.84789484e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
26      4.88607384e-09   8.84842492e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
27      5.02175281e-09   8.84892878e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
28      5.15743179e-09   8.84938103e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
29      5.29311076e-09   8.84975897e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
30      5.42878973e-09   8.85004416e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
31      5.70014768e-09   8.85027814e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
32      5.97150563e-09   8.84997436e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
33      6.24286358e-09   8.84899601e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
34      6.51422152e-09   8.84737090e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
35      6.78557947e-09   8.84531018e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
36      7.05693742e-09   8.84301403e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
37      7.32829536e-09   8.84064617e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
38      7.59965331e-09   8.83833333e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
39      7.87101126e-09   8.83612603e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
40      8.14236920e-09   8.83420551e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
41      8.41372715e-09   8.83278414e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
42      8.68508510e-09   8.83183534e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
43      8.95644304e-09   8.83128910e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
44      9.22780099e-09   8.83107214e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
45      9.49915894e-09   8.83111823e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
46      9.77051689e-09   8.83136953e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
47      1.00418748e-08   8.83177665e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
48      1.05845907e-08   8.83288762e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
49      1.16700225e-08   8.83558080e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
50      1.38408861e-08   8.84042014e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
51      1.57946633e-08   8.84324279e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
52      1.77484405e-08   8.84483656e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
53      1.97022177e-08   8.84570993e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
54      2.36097722e-08   8.84646593e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
55      3.14248810e-08   8.84672258e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
56      4.70550988e-08   8.84669403e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
57      5.10000000e-08   8.84674745e-01   3.30000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
58      5.11000000e-08   8.84674707e-01   2.97000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
59      5.12000000e-08   8.84674710e-01   2.64000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
60      5.14000000e-08   8.84674793e-01   1.98000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
61      5.18000000e-08   8.84675235e-01   6.60000000e-01   0.00000000e+00   3.30000000e+00   3.30000000e+00   
62      5.20000000e-08   8.84675507e-01   0.00000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
63      5.20400000e-08   8.84675623e-01   0.00000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
64      5.20800000e-08   8.84675724e-01   0.00000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
65      5.21600000e-08   8.84675896e-01   0.00000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
66      5.23200000e-08   8.84676074e-01   0.00000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
67      5.26400000e-08   8.84676024e-01   0.00000000e+00   0.00000000e+00   3.30000000e+00   3.30000000e+00   
