Index       TIME            {V(2)+1}          {V(3)+1}          {V(4)+1}     
0        0.00000000e+00    1.00000000e+00    1.10000000e+01    1.00000000e+00
1        5.00000000e-11    1.00000000e+00    1.10000000e+01    1.00000000e+00
2        1.50000000e-10    1.00000000e+00    1.10000000e+01    1.00000000e+00
3        3.50000000e-10    1.00000000e+00    1.10000000e+01    1.00000000e+00
4        7.50000000e-10    1.00000000e+00    1.10000000e+01    1.00000000e+00
5        1.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
6        2.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
7        3.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
8        4.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
9        5.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
10       6.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
11       7.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
12       8.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
13       9.55000000e-09    1.00000000e+00    1.10000000e+01    1.00000000e+00
14       1.00000000e-08    1.00000000e+00    1.10000000e+01    1.00000000e+00
15       1.00062500e-08    1.06250000e+00    1.10089924e+01    1.00075257e+00
16       1.00187500e-08    1.18750000e+00    1.10278286e+01    1.00225421e+00
17       1.00312500e-08    1.31250000e+00    1.10462556e+01    1.00366160e+00
18       1.00562500e-08    1.56250000e+00    1.10806805e+01    1.00593660e+00
19       1.00812500e-08    1.81250000e+00    1.11120661e+01    1.00759215e+00
20       1.01312500e-08    2.31250000e+00    1.11670247e+01    1.00955647e+00
21       1.01812500e-08    2.81250000e+00    1.12129188e+01    1.01022752e+00
22       1.02812500e-08    3.81250000e+00    1.12826381e+01    1.00955020e+00
23       1.04812500e-08    5.81250000e+00    1.13420552e+01    1.00477597e+00
24       1.06568684e-08    7.56868353e+00    1.13016321e+01    9.98866085e-01
25       1.08324867e-08    9.32486706e+00    1.11568080e+01    9.91659794e-01
26       1.08531954e-08    9.53195385e+00    1.11311292e+01    9.90695350e-01
27       1.08946127e-08    9.94612743e+00    1.10721153e+01    9.88406135e-01
28       1.09360301e-08    1.03603010e+01    1.09540394e+01    9.82065840e-01
29       1.09774475e-08    1.07744746e+01    1.07614724e+01    9.71389285e-01
30       1.10000000e-08    1.10000000e+01    1.06490193e+01    9.66068757e-01
31       1.10041417e-08    1.10000000e+01    1.06280759e+01    9.65167457e-01
32       1.10082835e-08    1.10000000e+01    1.06070350e+01    9.64276450e-01
33       1.10124252e-08    1.10000000e+01    1.05859722e+01    9.63394615e-01
34       1.10207087e-08    1.10000000e+01    1.05437927e+01    9.61694252e-01
35       1.10372756e-08    1.10000000e+01    1.04588511e+01    9.58533023e-01
36       1.10704095e-08    1.10000000e+01    1.02868626e+01    9.53339084e-01
37       1.11366773e-08    1.10000000e+01    9.93724675e+00    9.48701945e-01
38       1.12692128e-08    1.10000000e+01    9.22686819e+00    9.68405986e-01
39       1.14017484e-08    1.10000000e+01    8.51102368e+00    1.03305927e+00
40       1.15342839e-08    1.10000000e+01    7.79515375e+00    1.14994345e+00
41       1.16668195e-08    1.10000000e+01    7.08746347e+00    1.32922329e+00
42       1.17993550e-08    1.10000000e+01    6.40421606e+00    1.58745033e+00
43       1.19318906e-08    1.10000000e+01    5.75944183e+00    1.95335061e+00
44       1.20511725e-08    1.10000000e+01    5.21692655e+00    2.42510377e+00
45       1.20686934e-08    1.10000000e+01    5.14066607e+00    2.51196844e+00
46       1.20862142e-08    1.10000000e+01    5.06456314e+00    2.60285819e+00
47       1.21212558e-08    1.10000000e+01    4.91362818e+00    2.80689517e+00
48       1.21562974e-08    1.10000000e+01    4.76321296e+00    3.04878968e+00
49       1.21913390e-08    1.10000000e+01    4.61460184e+00    3.32962930e+00
50       1.22263806e-08    1.10000000e+01    4.47011068e+00    3.64319564e+00
51       1.22614222e-08    1.10000000e+01    4.32975323e+00    3.98885492e+00
