Index        TIME          {V(2)+1.0}    {I(VPULSE) + 3.0E-3}
0       0.00000000e+00   1.00000000e+00   3.00000000e-03   
1       5.00000000e-12   1.00000000e+00   3.00000000e-03   
2       1.50000000e-11   1.00000000e+00   3.00000000e-03   
3       3.50000000e-11   1.00000000e+00   3.00000000e-03   
4       7.50000000e-11   1.00000000e+00   3.00000000e-03   
5       1.55000000e-10   1.00000000e+00   3.00000000e-03   
6       2.55000000e-10   1.00000000e+00   3.00000000e-03   
7       3.55000000e-10   1.00000000e+00   3.00000000e-03   
8       4.55000000e-10   1.00000000e+00   3.00000000e-03   
9       5.55000000e-10   1.00000000e+00   3.00000000e-03   
10      6.55000000e-10   1.00000000e+00   3.00000000e-03   
11      7.55000000e-10   1.00000000e+00   3.00000000e-03   
12      8.55000000e-10   1.00000000e+00   3.00000000e-03   
13      9.55000000e-10   1.00000000e+00   3.00000000e-03   
14      1.00000000e-09   1.00000000e+00   3.00000000e-03   
15      1.00500000e-09   1.02750000e+00   1.09932331e-03   
16      1.00515625e-09   1.02835938e+00   1.08791442e-03   
17      1.00546875e-09   1.03007812e+00   1.07074808e-03   
18      1.00573423e-09   1.03153829e+00   1.05926372e-03   
19      1.00599972e-09   1.03299845e+00   1.05020861e-03   
20      1.00626520e-09   1.03445862e+00   1.04305861e-03   
21      1.00679617e-09   1.03737895e+00   1.03201721e-03   
22      1.00732714e-09   1.04029928e+00   1.02644298e-03   
23      1.00785811e-09   1.04321961e+00   1.02274360e-03   
24      1.00838908e-09   1.04613994e+00   1.02027096e-03   
25      1.00945102e-09   1.05198060e+00   1.01700468e-03   
26      1.01051296e-09   1.05782125e+00   1.01597816e-03   
27      1.01157489e-09   1.06366191e+00   1.01533478e-03   
28      1.01369877e-09   1.07534323e+00   1.01456032e-03   
29      1.01544535e-09   1.08494943e+00   1.01405521e-03   
30      1.01719193e-09   1.09455564e+00   1.01360416e-03   
31      1.01893852e-09   1.10416184e+00   1.01317559e-03   
32      1.02243168e-09   1.12337424e+00   1.01234435e-03   
33      1.02495180e-09   1.13723488e+00   1.01176494e-03   
34      1.02721990e-09   1.14970945e+00   1.01124704e-03   
35      1.02948800e-09   1.16218401e+00   1.01073825e-03   
36      1.03175611e-09   1.17465858e+00   1.01023681e-03   
37      1.03629231e-09   1.19960772e+00   1.00925412e-03   
38      1.03927323e-09   1.21600277e+00   1.00862331e-03   
39      1.04225415e-09   1.23239781e+00   1.00802567e-03   
40      1.04523506e-09   1.24879285e+00   1.01478331e-03   
41      1.04821598e-09   1.26518789e+00   1.03621319e-03   
42      1.05080215e-09   1.27941181e+00   1.04207476e-03   
43      1.05286444e-09   1.29075442e+00   1.05312102e-03   
44      1.05492673e-09   1.30209703e+00   1.06288305e-03   
45      1.05698903e-09   1.31343965e+00   1.07264956e-03   
46      1.06111361e-09   1.33612487e+00   1.09727522e-03   
47      1.06437886e-09   1.35408372e+00   1.10471939e-03   
48      1.06709978e-09   1.36904879e+00   1.11897114e-03   
49      1.06982070e-09   1.38401387e+00   1.13189201e-03   
50      1.07254163e-09   1.39897895e+00   1.14481987e-03   
51      1.07798347e-09   1.42890910e+00   1.17739743e-03   
52      1.08178960e-09   1.44984283e+00   1.18613777e-03   
53      1.08498991e-09   1.46744453e+00   1.20286903e-03   
54      1.08787019e-09   1.48328606e+00   1.21738242e-03   
55      1.09075047e-09   1.49912760e+00   1.23111462e-03   
56      1.09363075e-09   1.51496913e+00   1.24485347e-03   
57      1.09939131e-09   1.54665220e+00   1.27943021e-03   
58      1.10350180e-09   1.56925988e+00   1.28892404e-03   
59      1.10684678e-09   1.58765726e+00   1.30676948e-03   
60      1.10985726e-09   1.60421491e+00   1.32196705e-03   
61      1.11348471e-09   1.62416592e+00   1.33778044e-03   
62      1.11711217e-09   1.64411693e+00   1.35049820e-03   
63      1.11909089e-09   1.65499991e+00   1.35292245e-03   
64      1.12106962e-09   1.66588289e+00   1.34944337e-03   
65      1.12285047e-09   1.67567757e+00   1.34615714e-03   
