Index        TIME             V(51)            V(10)            V(20)            V(30)            V(40)
0       0.00000000e+00   0.00000000e+00   3.74285653e-64   4.52072410e-79   1.65781133e-39   1.60910906e-69   
1       1.00000000e-11   4.47757481e-02   1.59745796e-02   7.58000131e-03   1.33869375e-02   7.47004717e-03   
2       1.12500000e-11   5.03412992e-02   1.79404871e-02   8.47003337e-03   1.49188451e-02   8.39012732e-03   
3       1.26224266e-11   5.64439404e-02   2.00900455e-02   9.40492776e-03   1.65400137e-02   9.40219764e-03   
4       1.39948531e-11   6.25382118e-02   2.22303870e-02   1.03020848e-02   1.81299393e-02   1.04157940e-02   
5       1.53672797e-11   6.86241250e-02   2.43615424e-02   1.11662545e-02   1.97024961e-02   1.14307831e-02   
6       1.81121328e-11   8.07709227e-02   2.85972060e-02   1.28266243e-02   2.28192570e-02   1.34601317e-02   
7       2.05825006e-11   9.16745704e-02   3.23767029e-02   1.42261659e-02   2.56020432e-02   1.52978119e-02   
8       2.30528684e-11   1.02551315e-01   3.61269661e-02   1.55774623e-02   2.83676269e-02   1.71369647e-02   
9       2.55232362e-11   1.13401224e-01   3.98481649e-02   1.68903789e-02   3.11178583e-02   1.89765649e-02   
10      3.04639719e-11   1.35020796e-01   4.72060975e-02   1.94335627e-02   3.65703274e-02   2.26426423e-02   
11      3.49106339e-11   1.54387294e-01   5.37267374e-02   2.16409022e-02   4.14377604e-02   2.59523449e-02   
12      3.93572960e-11   1.73667866e-01   6.01559899e-02   2.37927957e-02   4.62496546e-02   2.92455694e-02   
13      4.38039580e-11   1.92862895e-01   6.64947224e-02   2.58965690e-02   5.10118605e-02   3.25176094e-02   
14      5.26972822e-11   2.30997836e-01   7.89082104e-02   2.99644832e-02   6.03817508e-02   3.89644224e-02   
15      6.07012739e-11   2.65030514e-01   8.97721725e-02   3.35204567e-02   6.86790941e-02   4.46849662e-02   
16      6.87052656e-11   2.98791881e-01   1.00356278e-01   3.69450886e-02   7.68093072e-02   5.02773859e-02   
17      7.67092573e-11   3.32284102e-01   1.10664517e-01   4.02475748e-02   8.47870050e-02   5.57318229e-02   
18      9.27172407e-11   3.98469667e-01   1.30471047e-01   4.64728066e-02   1.00276202e-01   6.61881059e-02   
19      1.07124426e-10   4.57137539e-01   1.47389918e-01   5.17702105e-02   1.13767055e-01   7.50908602e-02   
20      1.21531611e-10   5.14966232e-01   1.63469922e-01   5.66812730e-02   1.26760497e-01   8.34804641e-02   
21      1.35938796e-10   5.71967750e-01   1.78725735e-01   6.12399610e-02   1.39292931e-01   9.13608418e-02   
22      1.50345981e-10   6.28153923e-01   1.93170174e-01   6.56133631e-02   1.51374066e-01   9.89225622e-02   
23      1.79160351e-10   7.38126722e-01   2.19633971e-01   7.42556496e-02   1.74847667e-01   1.13725071e-01   
24      1.85290610e-10   7.61117437e-01   2.24860158e-01   7.61079552e-02   1.79808590e-01   1.16812920e-01   
25      1.86823175e-10   7.66843128e-01   2.26143932e-01   7.65689932e-02   1.81041151e-01   1.17581479e-01   
26      1.87567049e-10   7.69619095e-01   2.26763854e-01   7.67925410e-02   1.81638709e-01   1.17953997e-01   
27      1.88041528e-10   7.71388663e-01   2.27158196e-01   7.69350730e-02   1.82019692e-01   1.18191423e-01   
28      1.88516007e-10   7.73157391e-01   2.27551722e-01   7.70775860e-02   1.82400610e-01   1.18428703e-01   
29      1.89464965e-10   7.76692332e-01   2.28336424e-01   7.73626721e-02   1.83162400e-01   1.18902811e-01   
30      1.90184953e-10   7.79372103e-01   2.28929576e-01   7.75789083e-02   1.83740045e-01   1.19262144e-01   
31      1.91624929e-10   7.84725862e-01   2.30114756e-01   7.80115205e-02   1.84895054e-01   1.19979800e-01   
32      1.93064905e-10   7.90071917e-01   2.31300970e-01   7.84439988e-02   1.86049050e-01   1.20696164e-01   
33      1.93424899e-10   7.91407228e-01   2.31597599e-01   7.85520110e-02   1.86337200e-01   1.20875059e-01   
34      1.94144887e-10   7.94076409e-01   2.32191098e-01   7.87680689e-02   1.86913579e-01   1.21232605e-01   
35      1.94639207e-10   7.95907870e-01   2.32598694e-01   7.89163655e-02   1.87309139e-01   1.21477900e-01   
36      1.95084096e-10   7.97555411e-01   2.32965621e-01   7.90498170e-02   1.87665068e-01   1.21698536e-01   
37      1.95476922e-10   7.99009545e-01   2.33289677e-01   7.91676394e-02   1.87979280e-01   1.21893252e-01   
38      1.95830467e-10   8.00317777e-01   2.33581379e-01   7.92736706e-02   1.88262019e-01   1.22068416e-01   
39      1.96148656e-10   8.01494791e-01   2.33843951e-01   7.93690913e-02   1.88516441e-01   1.22225998e-01   
40      1.96466846e-10   8.02671430e-01   2.34106562e-01   7.94645080e-02   1.88770828e-01   1.22383518e-01   
41      1.96625941e-10   8.03259610e-01   2.34237877e-01   7.95122085e-02   1.88897991e-01   1.22462254e-01   
42      1.96944131e-10   8.04435687e-01   2.34500543e-01   7.96076191e-02   1.89152326e-01   1.22619682e-01   
43      1.97103226e-10   8.05023586e-01   2.34631883e-01   7.96553165e-02   1.89279462e-01   1.22698372e-01   
44      1.97182773e-10   8.05317500e-01   2.34697556e-01   7.96791633e-02   1.89343022e-01   1.22737712e-01   
45      1.97341868e-10   8.05905258e-01   2.34828910e-01   7.97268591e-02   1.89470146e-01   1.22816379e-01   
46      1.97500963e-10   8.06492923e-01   2.34960272e-01   7.97745540e-02   1.89597262e-01   1.22895031e-01   
47      1.97580510e-10   8.06786721e-01   2.35025955e-01   7.97983995e-02   1.89660811e-01   1.22934352e-01   
48      1.97620284e-10   8.06933611e-01   2.35058797e-01   7.98103217e-02   1.89692584e-01   1.22954010e-01   
49      1.97640171e-10   8.07007053e-01   2.35075218e-01   7.98162827e-02   1.89708470e-01   1.22963839e-01   
50      1.97650114e-10   8.07043774e-01   2.35083428e-01   7.98192632e-02   1.89716413e-01   1.22968754e-01   
51      1.97670001e-10   8.07117215e-01   2.35099850e-01   7.98252242e-02   1.89732299e-01   1.22978582e-01   
52      1.97709775e-10   8.07264091e-01   2.35132693e-01   7.98371462e-02   1.89764071e-01   1.22998239e-01   
53      1.97729662e-10   8.07337528e-01   2.35149114e-01   7.98431072e-02   1.89779957e-01   1.23008067e-01   
54      1.97739605e-10   8.07374245e-01   2.35157325e-01   7.98460876e-02   1.89787899e-01   1.23012981e-01   
55      1.97759492e-10   8.07447679e-01   2.35173747e-01   7.98520485e-02   1.89803785e-01   1.23022808e-01   
56      1.97769435e-10   8.07484396e-01   2.35181958e-01   7.98550289e-02   1.89811727e-01   1.23027722e-01   
57      1.97789322e-10   8.07557827e-01   2.35198380e-01   7.98609898e-02   1.89827612e-01   1.23037549e-01   
58      1.97829096e-10   8.07704687e-01   2.35231224e-01   7.98729117e-02   1.89859383e-01   1.23057203e-01   
59      1.97848983e-10   8.07778114e-01   2.35247646e-01   7.98788725e-02   1.89875268e-01   1.23067029e-01   
60      1.97858926e-10   8.07814827e-01   2.35255857e-01   7.98818529e-02   1.89883210e-01   1.23071942e-01   
61      1.97878813e-10   8.07888253e-01   2.35272280e-01   7.98878137e-02   1.89899095e-01   1.23081768e-01   
62      1.97888757e-10   8.07924965e-01   2.35280491e-01   7.98907941e-02   1.89907037e-01   1.23086681e-01   
63      1.97908643e-10   8.07998388e-01   2.35296914e-01   7.98967548e-02   1.89922921e-01   1.23096507e-01   
64      1.97918587e-10   8.08035099e-01   2.35305125e-01   7.98997352e-02   1.89930863e-01   1.23101420e-01   
