Index        TIME            V(OBJ)
0       0.00000000e+00   1.00000000e+00   
1       1.00000000e-10   1.00000000e+00   
2       3.00000000e-10   1.00000000e+00   
3       7.00000000e-10   1.00000000e+00   
4       1.50000000e-09   1.00000000e+00   
5       3.10000000e-09   1.00000000e+00   
6       6.30000000e-09   1.00000000e+00   
7       1.27000000e-08   1.00000000e+00   
8       2.55000000e-08   1.00000000e+00   
9       5.11000000e-08   1.00000000e+00   
10      1.02300000e-07   1.00000000e+00   
11      2.04700000e-07   1.00000000e+00   
12      4.09500000e-07   1.00000000e+00   
13      8.19100000e-07   1.00000000e+00   
14      1.63830000e-06   1.00000000e+00   
15      3.27670000e-06   1.00000000e+00   
16      6.55350000e-06   1.00000000e+00   
17      1.31071000e-05   1.00000000e+00   
18      2.62143000e-05   1.00000000e+00   
19      4.62143000e-05   1.00000000e+00   
20      6.62143000e-05   1.00000000e+00   
21      8.62143000e-05   1.00000000e+00   
22      1.06214300e-04   1.00000000e+00   
23      1.26214300e-04   1.00000000e+00   
24      1.46214300e-04   1.00000000e+00   
25      1.66214300e-04   1.00000000e+00   
26      1.86214300e-04   1.00000000e+00   
27      2.00000000e-04   1.00000000e+00   
28      2.00000000e-04   1.00000000e+00   
29      2.00000000e-04   1.00000000e+00   
30      2.00000001e-04   1.00000000e+00   
31      2.00000001e-04   1.00000000e+00   
32      2.00000003e-04   1.00000000e+00   
33      2.00000006e-04   1.00000000e+00   
34      2.00000012e-04   9.99999999e-01   
35      2.00000025e-04   9.99999997e-01   
36      2.00000050e-04   9.99999988e-01   
37      2.00000100e-04   9.99999950e-01   
38      2.00000200e-04   9.99999800e-01   
39      2.00000400e-04   9.99999200e-01   
40      2.00000800e-04   9.99996797e-01   
41      2.00001000e-04   9.99994995e-01   
42      2.00001040e-04   9.99994594e-01   
43      2.00001080e-04   9.99994194e-01   
44      2.00001160e-04   9.99993393e-01   
45      2.00001320e-04   9.99991791e-01   
46      2.00001640e-04   9.99988588e-01   
47      2.00002280e-04   9.99982181e-01   
48      2.00003560e-04   9.99969367e-01   
49      2.00006120e-04   9.99943740e-01   
50      2.00011240e-04   9.99892488e-01   
51      2.00021480e-04   9.99789992e-01   
52      2.00041960e-04   9.99585031e-01   
53      2.00082920e-04   9.99175235e-01   
54      2.00164840e-04   9.98356148e-01   
55      2.00328680e-04   9.96719988e-01   
56      2.00492520e-04   9.95086508e-01   
57      2.00656360e-04   9.93455706e-01   
58      2.00820200e-04   9.91827576e-01   
59      2.00984040e-04   9.90202115e-01   
60      2.01147880e-04   9.88579317e-01   
61      2.01311720e-04   9.86959179e-01   
62      2.01475560e-04   9.85341697e-01   
63      2.01639400e-04   9.83726865e-01   
64      2.01803240e-04   9.82114679e-01   
65      2.01967080e-04   9.80505136e-01   
66      2.02130920e-04   9.78898230e-01   
67      2.02294760e-04   9.77293958e-01   
68      2.02458600e-04   9.75692315e-01   
69      2.02622440e-04   9.74093297e-01   
70      2.02786280e-04   9.72496900e-01   
71      2.02950120e-04   9.70903119e-01   
72      2.03113960e-04   9.69311949e-01   
73      2.03277800e-04   9.67723388e-01   
74      2.03441640e-04   9.66137430e-01   
75      2.03605480e-04   9.64554071e-01   
76      2.03769320e-04   9.62973307e-01   
77      2.03933160e-04   9.61395133e-01   
78      2.04097000e-04   9.59819546e-01   
79      2.04260840e-04   9.58246542e-01   
80      2.04424680e-04   9.56676115e-01   
81      2.04588520e-04   9.55108261e-01   
82      2.04752360e-04   9.53542978e-01   
83      2.04916200e-04   9.51980259e-01   
84      2.05080040e-04   9.50420102e-01   
85      2.05243880e-04   9.48862501e-01   
86      2.05407720e-04   9.47307453e-01   
87      2.05571560e-04   9.45754954e-01   
88      2.05735400e-04   9.44204999e-01   
89      2.05899240e-04   9.42657584e-01   
90      2.06063080e-04   9.41112705e-01   
91      2.06226920e-04   9.39570358e-01   
92      2.06390760e-04   9.38030539e-01   
93      2.06554600e-04   9.36493243e-01   
94      2.06718440e-04   9.34958466e-01   
95      2.06882280e-04   9.33426205e-01   
96      2.07046120e-04   9.31896455e-01   
97      2.07209960e-04   9.30369212e-01   
98      2.07373800e-04   9.28844472e-01   
99      2.07537640e-04   9.27322231e-01   
100     2.07701480e-04   9.25802485e-01   
101     2.07865320e-04   9.24285229e-01   
102     2.08029160e-04   9.22770459e-01   
103     2.08193000e-04   9.21258173e-01   
104     2.08356840e-04   9.19748364e-01   
105     2.08520680e-04   9.18241030e-01   
106     2.08684520e-04   9.16736167e-01   
107     2.08848360e-04   9.15233769e-01   
108     2.09012200e-04   9.13733834e-01   
109     2.09176040e-04   9.12236357e-01   
110     2.09339880e-04   9.10741334e-01   
111     2.09503720e-04   9.09248761e-01   
112     2.09667560e-04   9.07758634e-01   
113     2.09831400e-04   9.06270950e-01   
114     2.09995240e-04   9.04785703e-01   
115     2.10159080e-04   9.03302891e-01   
116     2.10322920e-04   9.01822509e-01   
117     2.10486760e-04   9.00344553e-01   
118     2.10650600e-04   8.98869019e-01   
119     2.10814440e-04   8.97395903e-01   
120     2.10978280e-04   8.95925201e-01   
121     2.11142120e-04   8.94456910e-01   
