Index              V(4)           V(5)
0       1.25000000e-01   4.16666667e-02   
1       1.57490131e-01   5.24967104e-02   
2       1.98425131e-01   6.61417105e-02   
3       2.50000000e-01   8.33333333e-02   
4       3.14980262e-01   1.04993421e-01   
5       3.96850263e-01   1.32283421e-01   
6       5.00000000e-01   1.66666667e-01   
7       6.29960525e-01   2.09986842e-01   
8       7.93700526e-01   2.64566842e-01   
9       1.00000000e+00   3.33333333e-01   
10      1.25992105e+00   4.19973683e-01   
11      1.58740105e+00   5.29133684e-01   
12      2.00000000e+00   6.66666667e-01   
13      2.51984210e+00   8.39947367e-01   
14      3.17480210e+00   1.05826737e+00   
15      4.00000000e+00   1.33333333e+00   
16      5.03968420e+00   1.67989473e+00   
17      6.34960421e+00   2.11653474e+00   
18      8.00000000e+00   2.66666667e+00   
19      1.00793684e+01   3.35978947e+00   
20      1.26992084e+01   4.23306947e+00   
21      1.60000000e+01   5.33333333e+00   
22      2.01587368e+01   6.71957893e+00   
23      2.53984168e+01   8.46613894e+00   
24      3.20000000e+01   1.06666667e+01   
25      4.03174736e+01   1.34391579e+01   
26      5.07968337e+01   1.69322779e+01   
27      6.40000000e+01   2.13333333e+01   
End of Xyce(TM) Simulation
