Index       TIME              V(1)              V(3)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.87500000e-11    3.12500000e-03    0.00000000e+00
2        5.62500000e-11    9.37500000e-03    0.00000000e+00
3        1.00000000e-10    1.66666667e-02    0.00000000e+00
4        1.00468750e-10    1.67447917e-02    7.81250000e-05
5        1.00937500e-10    1.68229167e-02    1.56250000e-04
6        1.01875000e-10    1.69791667e-02    3.12500000e-04
7        1.03750000e-10    1.72916667e-02    6.25000000e-04
8        1.07500000e-10    1.79166667e-02    1.25000000e-03
9        1.15000000e-10    1.91666667e-02    2.50000000e-03
10       1.30000000e-10    2.16666667e-02    5.00000000e-03
11       1.60000000e-10    2.66666667e-02    1.00000000e-02
12       2.20000000e-10    3.66666667e-02    2.00000000e-02
13       3.40000000e-10    5.66666667e-02    4.00000000e-02
14       5.80000000e-10    9.66666667e-02    8.00000000e-02
15       1.06000000e-09    1.76666667e-01    1.60000000e-01
16       2.02000000e-09    3.36666667e-01    3.20000000e-01
17       3.94000000e-09    6.56666667e-01    6.40000000e-01
18       7.78000000e-09    1.29666667e+00    1.28000000e+00
19       1.27800000e-08    2.13000000e+00    2.11333333e+00
20       1.77800000e-08    2.96333333e+00    2.94666667e+00
21       2.27800000e-08    3.79666667e+00    3.78000000e+00
22       2.77800000e-08    4.63000000e+00    4.61333333e+00
23       3.00000000e-08    5.00000000e+00    4.98333333e+00
24       3.00625000e-08    5.00000000e+00    4.99375000e+00
25       3.01000000e-08    5.00000000e+00    5.00000000e+00
26       3.01125000e-08    5.00000000e+00    5.00000000e+00
27       3.01375000e-08    5.00000000e+00    5.00000000e+00
28       3.01875000e-08    5.00000000e+00    5.00000000e+00
29       3.02875000e-08    5.00000000e+00    5.00000000e+00
30       3.04875000e-08    5.00000000e+00    5.00000000e+00
31       3.08875000e-08    5.00000000e+00    5.00000000e+00
32       3.16875000e-08    5.00000000e+00    5.00000000e+00
33       3.32875000e-08    5.00000000e+00    5.00000000e+00
34       3.64875000e-08    5.00000000e+00    5.00000000e+00
35       4.14875000e-08    5.00000000e+00    5.00000000e+00
36       4.64875000e-08    5.00000000e+00    5.00000000e+00
37       5.00000000e-08    5.00000000e+00    5.00000000e+00
End of Xyce(TM) Simulation
