Index         TIME             V(N03529)           V(NCLK)           V(NMYVDD)           V(NRF)        V(X_DFF:N285734)  V(X_DFF:X_U8A:PREB) V(X_DFF:X_U8A:CLRB)   V(X_DFF:INVVRF)
0       0.0000000000e+00   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
1       1.0000000000e-08   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
2       3.0000000000e-08   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
3       7.0000000000e-08   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
4       1.5000000000e-07   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
5       3.1000000000e-07   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
6       6.3000000000e-07   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
7       1.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
8       2.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
9       3.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
10      4.2700000000e-06   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
