Index       V(1)              TEMP             I(VMON)          N(D1:CD)     
0	-2.00000e+00	-2.50000e+01	-2.00018e-12	9.102031e-16	
1	-1.95000e+00	-2.50000e+01	-1.95022e-12	9.167949e-16	
2	-1.90000e+00	-2.50000e+01	-1.90026e-12	9.235484e-16	
3	-1.85000e+00	-2.50000e+01	-1.85008e-12	9.304705e-16	
4	-1.80000e+00	-2.50000e+01	-1.80012e-12	9.375683e-16	
5	-1.75000e+00	-2.50000e+01	-1.75016e-12	9.448495e-16	
6	-1.70000e+00	-2.50000e+01	-1.70020e-12	9.523224e-16	
7	-1.65000e+00	-2.50000e+01	-1.65024e-12	9.599955e-16	
8	-1.60000e+00	-2.50000e+01	-1.60005e-12	9.678782e-16	
9	-1.55000e+00	-2.50000e+01	-1.55009e-12	9.759802e-16	
10	-1.50000e+00	-2.50000e+01	-1.50013e-12	9.843122e-16	
11	-1.45000e+00	-2.50000e+01	-1.45017e-12	9.928854e-16	
12	-1.40000e+00	-2.50000e+01	-1.40021e-12	1.001712e-15	
13	-1.35000e+00	-2.50000e+01	-1.35003e-12	1.010804e-15	
14	-1.30000e+00	-2.50000e+01	-1.30007e-12	1.020177e-15	
15	-1.25000e+00	-2.50000e+01	-1.25011e-12	1.029845e-15	
16	-1.20000e+00	-2.50000e+01	-1.20015e-12	1.039823e-15	
17	-1.15000e+00	-2.50000e+01	-1.15019e-12	1.050130e-15	
18	-1.10000e+00	-2.50000e+01	-1.10001e-12	1.060783e-15	
19	-1.05000e+00	-2.50000e+01	-1.05005e-12	1.071804e-15	
20	-1.00000e+00	-2.50000e+01	-1.00009e-12	1.083214e-15	
21	-9.50000e-01	-2.50000e+01	-9.50129e-13	1.095037e-15	
22	-9.00000e-01	-2.50000e+01	-9.00058e-13	1.107298e-15	
23	-8.50000e-01	-2.50000e+01	-8.50098e-13	1.120027e-15	
24	-8.00000e-01	-2.50000e+01	-8.00027e-13	1.133253e-15	
25	-7.50000e-01	-2.50000e+01	-7.50067e-13	1.147012e-15	
26	-7.00000e-01	-2.50000e+01	-7.00107e-13	1.161339e-15	
27	-6.50000e-01	-2.50000e+01	-6.50036e-13	1.176276e-15	
28	-6.00000e-01	-2.50000e+01	-6.00076e-13	1.191868e-15	
29	-5.50000e-01	-2.50000e+01	-5.50004e-13	1.208165e-15	
30	-5.00000e-01	-2.50000e+01	-5.00044e-13	1.225223e-15	
31	-4.50000e-01	-2.50000e+01	-4.50029e-13	1.243103e-15	
32	-4.00000e-01	-2.50000e+01	-4.00013e-13	1.261876e-15	
33	-3.50000e-01	-2.50000e+01	-3.50053e-13	1.281619e-15	
34	-3.00000e-01	-2.50000e+01	-3.00038e-13	1.302420e-15	
35	-2.50000e-01	-2.50000e+01	-2.50022e-13	1.324378e-15	
36	-2.00000e-01	-2.50000e+01	-2.00007e-13	1.347606e-15	
37	-1.50000e-01	-2.50000e+01	-1.50019e-13	1.372234e-15	
38	-1.00000e-01	-2.50000e+01	-1.00003e-13	1.398410e-15	
39	-5.00000e-02	-2.50000e+01	-5.00017e-14	1.426307e-15	
40	1.207368e-15	-2.50000e+01	1.207549e-27	1.456123e-15	
41	5.000000e-02	-2.50000e+01	5.000167e-14	1.488095e-15	
42	1.000000e-01	-2.50000e+01	1.000172e-13	1.522497e-15	
43	1.500000e-01	-2.50000e+01	1.501299e-13	1.559660e-15	
44	2.000000e-01	-2.50000e+01	2.011724e-13	1.599980e-15	
45	2.500000e-01	-2.50000e+01	2.625677e-13	1.643938e-15	
46	3.000000e-01	-2.50000e+01	4.304890e-13	1.692124e-15	
47	3.500000e-01	-2.50000e+01	1.701916e-12	1.745273e-15	
48	4.000000e-01	-2.50000e+01	1.440897e-11	1.804315e-15	
49	4.500000e-01	-2.50000e+01	1.456196e-10	1.870443e-15	
50	5.000000e-01	-2.50000e+01	1.504840e-09	1.945221e-15	
51	5.500000e-01	-2.50000e+01	1.558948e-08	2.028887e-15	
52	6.000000e-01	-2.50000e+01	1.615420e-07	2.113721e-15	
53	6.500000e-01	-2.50000e+01	1.673877e-06	2.198552e-15	
54	7.000000e-01	-2.50000e+01	1.733308e-05	2.283360e-15	
55	7.500000e-01	-2.50000e+01	1.782657e-04	2.367921e-15	
56	8.000000e-01	-2.50000e+01	1.718931e-03	2.450141e-15	
57	8.500000e-01	-2.50000e+01	1.134938e-02	2.518636e-15	
58	9.000000e-01	-2.50000e+01	3.642268e-02	2.560929e-15	
59	9.500000e-01	-2.50000e+01	7.182547e-02	2.585695e-15	
60	1.000000e+00	-2.50000e+01	1.123335e-01	2.601800e-15	
0      -2.00000e+00	0.000000e+00	-2.00018e-12	9.175381e-16	
1      -1.95000e+00	0.000000e+00	-1.95022e-12	9.242322e-16	
2      -1.90000e+00	0.000000e+00	-1.90026e-12	9.310916e-16	
3      -1.85000e+00	0.000000e+00	-1.85008e-12	9.381235e-16	
4      -1.80000e+00	0.000000e+00	-1.80012e-12	9.453353e-16	
5      -1.75000e+00	0.000000e+00	-1.75016e-12	9.527349e-16	
6      -1.70000e+00	0.000000e+00	-1.70020e-12	9.603307e-16	
7      -1.65000e+00	0.000000e+00	-1.65024e-12	9.681318e-16	
8      -1.60000e+00	0.000000e+00	-1.60005e-12	9.761475e-16	
9      -1.55000e+00	0.000000e+00	-1.55009e-12	9.843883e-16	
10     -1.50000e+00	0.000000e+00	-1.50013e-12	9.928649e-16	
11     -1.45000e+00	0.000000e+00	-1.45017e-12	1.001589e-15	
12     -1.40000e+00	0.000000e+00	-1.40021e-12	1.010573e-15	
13     -1.35000e+00	0.000000e+00	-1.35003e-12	1.019830e-15	
14     -1.30000e+00	0.000000e+00	-1.30007e-12	1.029375e-15	
15     -1.25000e+00	0.000000e+00	-1.25011e-12	1.039224e-15	
16     -1.20000e+00	0.000000e+00	-1.20015e-12	1.049392e-15	
17     -1.15000e+00	0.000000e+00	-1.15019e-12	1.059897e-15	
18     -1.10000e+00	0.000000e+00	-1.10001e-12	1.070760e-15	
19     -1.05000e+00	0.000000e+00	-1.05005e-12	1.082001e-15	
20     -1.00000e+00	0.000000e+00	-1.00009e-12	1.093644e-15	
21     -9.50000e-01	0.000000e+00	-9.50129e-13	1.105711e-15	
22     -9.00000e-01	0.000000e+00	-9.00058e-13	1.118232e-15	
23     -8.50000e-01	0.000000e+00	-8.50098e-13	1.131235e-15	
24     -8.00000e-01	0.000000e+00	-8.00027e-13	1.144753e-15	
25     -7.50000e-01	0.000000e+00	-7.50067e-13	1.158820e-15	
26     -7.00000e-01	0.000000e+00	-7.00107e-13	1.173477e-15	
27     -6.50000e-01	0.000000e+00	-6.50036e-13	1.188765e-15	
28     -6.00000e-01	0.000000e+00	-6.00076e-13	1.204732e-15	
29     -5.50000e-01	0.000000e+00	-5.50004e-13	1.221432e-15	
30     -5.00000e-01	0.000000e+00	-5.00044e-13	1.238921e-15	
31     -4.50000e-01	0.000000e+00	-4.50029e-13	1.257266e-15	
32     -4.00000e-01	0.000000e+00	-4.00013e-13	1.276540e-15	
33     -3.50000e-01	0.000000e+00	-3.50053e-13	1.296826e-15	
34     -3.00000e-01	0.000000e+00	-3.00038e-13	1.318215e-15	
35     -2.50000e-01	0.000000e+00	-2.50050e-13	1.340814e-15	
36     -2.00000e-01	0.000000e+00	-2.00034e-13	1.364744e-15	
37     -1.50000e-01	0.000000e+00	-1.50047e-13	1.390141e-15	
38     -1.00000e-01	0.000000e+00	-1.00017e-13	1.417164e-15	
39	-5.00000e-02	0.000000e+00	-5.00086e-14	1.445999e-15	
40	1.207368e-15	0.000000e+00	1.208338e-27	1.476859e-15	
41	5.000000e-02	0.000000e+00	5.012657e-14	1.509997e-15	
42	1.000000e-01	0.000000e+00	1.011274e-13	1.545713e-15	
43	1.500000e-01	0.000000e+00	1.595113e-13	1.584363e-15	
44	2.000000e-01	0.000000e+00	2.796097e-13	1.626380e-15	
45	2.500000e-01	0.000000e+00	9.162116e-13	1.672290e-15	
46	3.000000e-01	0.000000e+00	5.873968e-12	1.722744e-15	
47	3.500000e-01	0.000000e+00	4.698314e-11	1.778556e-15	
48	4.000000e-01	0.000000e+00	3.905435e-10	1.840763e-15	
49	4.500000e-01	0.000000e+00	3.264479e-09	1.910706e-15	
50	5.000000e-01	0.000000e+00	2.730809e-08	1.990162e-15	
51	5.500000e-01	0.000000e+00	2.284601e-07	2.077682e-15	
52	6.000000e-01	0.000000e+00	1.911209e-06	2.165553e-15	
53	6.500000e-01	0.000000e+00	1.598005e-05	2.253402e-15	
54	7.000000e-01	0.000000e+00	1.330283e-04	2.341070e-15	
55	7.500000e-01	0.000000e+00	1.068911e-03	2.427300e-15	
56	8.000000e-01	0.000000e+00	6.965322e-03	2.504811e-15	
57	8.500000e-01	0.000000e+00	2.598016e-02	2.559267e-15	
58	9.000000e-01	0.000000e+00	5.734403e-02	2.592019e-15	
59	9.500000e-01	0.000000e+00	9.536136e-02	2.613079e-15	
60	1.000000e+00	0.000000e+00	1.368664e-01	2.628008e-15	
0 	-2.00000e+00	2.500000e+01	-2.00129e-12	9.247347e-16	
1 	-1.95000e+00	2.500000e+01	-1.95133e-12	9.315337e-16	
2 	-1.90000e+00	2.500000e+01	-1.90137e-12	9.385020e-16	
3 	-1.85000e+00	2.500000e+01	-1.85119e-12	9.456468e-16	
4 	-1.80000e+00	2.500000e+01	-1.80123e-12	9.529758e-16	
5 	-1.75000e+00	2.500000e+01	-1.75127e-12	9.604972e-16	
6 	-1.70000e+00	2.500000e+01	-1.70131e-12	9.682197e-16	
7 	-1.65000e+00	2.500000e+01	-1.65135e-12	9.761526e-16	
8 	-1.60000e+00	2.500000e+01	-1.60116e-12	9.843058e-16	
9 	-1.55000e+00	2.500000e+01	-1.55120e-12	9.926897e-16	
10	-1.50000e+00	2.500000e+01	-1.50124e-12	1.001316e-15	
11	-1.45000e+00	2.500000e+01	-1.45128e-12	1.010196e-15	
12	-1.40000e+00	2.500000e+01	-1.40132e-12	1.019343e-15	
13	-1.35000e+00	2.500000e+01	-1.35114e-12	1.028771e-15	
14	-1.30000e+00	2.500000e+01	-1.30118e-12	1.038495e-15	
15	-1.25000e+00	2.500000e+01	-1.25122e-12	1.048531e-15	
16	-1.20000e+00	2.500000e+01	-1.20126e-12	1.058896e-15	
17	-1.15000e+00	2.500000e+01	-1.15130e-12	1.069609e-15	
18	-1.10000e+00	2.500000e+01	-1.10112e-12	1.080690e-15	
19	-1.05000e+00	2.500000e+01	-1.05116e-12	1.092161e-15	
20	-1.00000e+00	2.500000e+01	-1.00120e-12	1.104046e-15	
21	-9.50000e-01	2.500000e+01	-9.51239e-13	1.116370e-15	
22	-9.00000e-01	2.500000e+01	-9.01168e-13	1.129163e-15	
23	-8.50000e-01	2.500000e+01	-8.51208e-13	1.142453e-15	
24	-8.00000e-01	2.500000e+01	-8.01137e-13	1.156277e-15	
25	-7.50000e-01	2.500000e+01	-7.51177e-13	1.170669e-15	
26	-7.00000e-01	2.500000e+01	-7.01217e-13	1.185672e-15	
27	-6.50000e-01	2.500000e+01	-6.51146e-13	1.201331e-15	
28	-6.00000e-01	2.500000e+01	-6.01186e-13	1.217695e-15	
29	-5.50000e-01	2.500000e+01	-5.51115e-13	1.234819e-15	
30	-5.00000e-01	2.500000e+01	-5.01155e-13	1.252766e-15	
31	-4.50000e-01	2.500000e+01	-4.51139e-13	1.271604e-15	
32	-4.00000e-01	2.500000e+01	-4.01124e-13	1.291411e-15	
33	-3.50000e-01	2.500000e+01	-3.51164e-13	1.312274e-15	
34	-3.00000e-01	2.500000e+01	-3.01148e-13	1.334293e-15	
35	-2.50000e-01	2.500000e+01	-2.51105e-13	1.357578e-15	
36	-2.00000e-01	2.500000e+01	-2.01089e-13	1.382259e-15	
37	-1.50000e-01	2.500000e+01	-1.51101e-13	1.408483e-15	
38	-1.00000e-01	2.500000e+01	-1.01072e-13	1.436421e-15	
39	-5.00000e-02	2.500000e+01	-5.09454e-14	1.466269e-15	
40	1.207368e-15	2.500000e+01	1.259219e-27	1.498261e-15	
41	5.000000e-02	2.500000e+01	5.662137e-14	1.532668e-15	
42	1.000000e-01	2.500000e+01	1.529471e-13	1.569817e-15	
43	1.500000e-01	2.500000e+01	5.272172e-13	1.610097e-15	
44	2.000000e-01	2.500000e+01	2.847750e-12	1.653982e-15	
45	2.500000e-01	2.500000e+01	1.879419e-11	1.702052e-15	
46	3.000000e-01	2.500000e+01	1.301390e-10	1.755027e-15	
47	3.500000e-01	2.500000e+01	9.093907e-10	1.813818e-15	
48	4.000000e-01	2.500000e+01	6.364821e-09	1.879588e-15	
49	4.500000e-01	2.500000e+01	4.455926e-08	1.953862e-15	
50	5.000000e-01	2.500000e+01	3.119643e-07	2.038674e-15	
51	5.500000e-01	2.500000e+01	2.183976e-06	2.129844e-15	
52	6.000000e-01	2.500000e+01	1.528275e-05	2.220996e-15	
53	6.500000e-01	2.500000e+01	1.066181e-04	2.312005e-15	
54	7.000000e-01	2.500000e+01	7.284557e-04	2.402046e-15	
55	7.500000e-01	2.500000e+01	4.418695e-03	2.486493e-15	
56	8.000000e-01	2.500000e+01	1.813110e-02	2.552663e-15	
57	8.500000e-01	2.500000e+01	4.486695e-02	2.595086e-15	
58	9.000000e-01	2.500000e+01	7.999153e-02	2.622211e-15	
59	9.500000e-01	2.500000e+01	1.196615e-01	2.641048e-15	
60	1.000000e+00	2.500000e+01	1.617885e-01	2.655405e-15	
0 	-2.00000e+00	5.000000e+01	-2.03992e-12	9.317359e-16	
1 	-1.95000e+00	5.000000e+01	-1.98996e-12	9.386421e-16	
2 	-1.90000e+00	5.000000e+01	-1.94000e-12	9.457215e-16	
3 	-1.85000e+00	5.000000e+01	-1.88982e-12	9.529817e-16	
4 	-1.80000e+00	5.000000e+01	-1.83986e-12	9.604308e-16	
5 	-1.75000e+00	5.000000e+01	-1.78990e-12	9.680770e-16	
6 	-1.70000e+00	5.000000e+01	-1.73994e-12	9.759295e-16	
7 	-1.65000e+00	5.000000e+01	-1.68998e-12	9.839977e-16	
8 	-1.60000e+00	5.000000e+01	-1.63980e-12	9.922920e-16	
9 	-1.55000e+00	5.000000e+01	-1.58984e-12	1.000823e-15	
10	-1.50000e+00	5.000000e+01	-1.53988e-12	1.009603e-15	
11	-1.45000e+00	5.000000e+01	-1.48992e-12	1.018644e-15	
12	-1.40000e+00	5.000000e+01	-1.43996e-12	1.027960e-15	
13	-1.35000e+00	5.000000e+01	-1.38978e-12	1.037564e-15	
14	-1.30000e+00	5.000000e+01	-1.33982e-12	1.047473e-15	
15	-1.25000e+00	5.000000e+01	-1.28986e-12	1.057703e-15	
16	-1.20000e+00	5.000000e+01	-1.23990e-12	1.068272e-15	
17	-1.15000e+00	5.000000e+01	-1.18994e-12	1.079200e-15	
18	-1.10000e+00	5.000000e+01	-1.13975e-12	1.090508e-15	
19	-1.05000e+00	5.000000e+01	-1.08979e-12	1.102217e-15	
20	-1.00000e+00	5.000000e+01	-1.03983e-12	1.114355e-15	
21	-9.50000e-01	5.000000e+01	-9.89875e-13	1.126946e-15	
22	-9.00000e-01	5.000000e+01	-9.39804e-13	1.140021e-15	
23	-8.50000e-01	5.000000e+01	-8.89844e-13	1.153613e-15	
24	-8.00000e-01	5.000000e+01	-8.39773e-13	1.167756e-15	
25	-7.50000e-01	5.000000e+01	-7.89813e-13	1.182489e-15	
26	-7.00000e-01	5.000000e+01	-7.39742e-13	1.197856e-15	
27	-6.50000e-01	5.000000e+01	-6.89671e-13	1.213904e-15	
28	-6.00000e-01	5.000000e+01	-6.39711e-13	1.230685e-15	
29	-5.50000e-01	5.000000e+01	-5.89639e-13	1.248257e-15	
30	-5.00000e-01	5.000000e+01	-5.39735e-13	1.266687e-15	
31	-4.50000e-01	5.000000e+01	-4.89664e-13	1.286047e-15	
32	-4.00000e-01	5.000000e+01	-4.39648e-13	1.306420e-15	
33	-3.50000e-01	5.000000e+01	-3.89688e-13	1.327897e-15	
34	-3.00000e-01	5.000000e+01	-3.39673e-13	1.350585e-15	
35	-2.50000e-01	5.000000e+01	-2.89657e-13	1.374604e-15	
36	-2.00000e-01	5.000000e+01	-2.39558e-13	1.400089e-15	
37	-1.50000e-01	5.000000e+01	-1.89349e-13	1.427201e-15	
38	-1.00000e-01	5.000000e+01	-1.38542e-13	1.456121e-15	
39	-5.00000e-02	5.000000e+01	-8.31141e-14	1.487064e-15	
40	1.207368e-15	5.000000e+01	2.930027e-27	1.520281e-15	
41	5.000000e-02	5.000000e+01	2.494185e-13	1.556068e-15	
42	1.000000e-01	5.000000e+01	1.500439e-12	1.594780e-15	
43	1.500000e-01	5.000000e+01	8.783835e-12	1.636846e-15	
44	2.000000e-01	5.000000e+01	5.239814e-11	1.682787e-15	
45	2.500000e-01	5.000000e+01	3.148221e-10	1.733246e-15	
46	3.000000e-01	5.000000e+01	1.895065e-09	1.789027e-15	
47	3.500000e-01	5.000000e+01	1.141211e-08	1.851153e-15	
48	4.000000e-01	5.000000e+01	6.872977e-08	1.920945e-15	
49	4.500000e-01	5.000000e+01	4.139303e-07	2.000146e-15	
50	5.000000e-01	5.000000e+01	2.492780e-06	2.090786e-15	
51	5.500000e-01	5.000000e+01	1.500646e-05	2.185519e-15	
52	6.000000e-01	5.000000e+01	9.013534e-05	2.280133e-15	
53	6.500000e-01	5.000000e+01	5.342215e-04	2.374048e-15	
54	7.000000e-01	5.000000e+01	2.950316e-03	2.464226e-15	
55	7.500000e-01	5.000000e+01	1.257535e-02	2.540741e-15	
56	8.000000e-01	5.000000e+01	3.446138e-02	2.594021e-15	
57	8.500000e-01	5.000000e+01	6.626921e-02	2.628497e-15	
58	9.000000e-01	5.000000e+01	1.037971e-01	2.652134e-15	
59	9.500000e-01	5.000000e+01	1.445732e-01	2.669614e-15	
60	1.000000e+00	5.000000e+01	1.872932e-01	2.683411e-15	
0 	-2.00000e+00	7.500000e+01	-2.86904e-12	9.384846e-16	
1 	-1.95000e+00	7.500000e+01	-2.81908e-12	9.454996e-16	
2 	-1.90000e+00	7.500000e+01	-2.76912e-12	9.526922e-16	
3 	-1.85000e+00	7.500000e+01	-2.71894e-12	9.600700e-16	
4 	-1.80000e+00	7.500000e+01	-2.66898e-12	9.676414e-16	
5 	-1.75000e+00	7.500000e+01	-2.61902e-12	9.754150e-16	
6 	-1.70000e+00	7.500000e+01	-2.56906e-12	9.834002e-16	
7 	-1.65000e+00	7.500000e+01	-2.51910e-12	9.916068e-16	
8 	-1.60000e+00	7.500000e+01	-2.46891e-12	1.000046e-15	
9 	-1.55000e+00	7.500000e+01	-2.41895e-12	1.008728e-15	
10	-1.50000e+00	7.500000e+01	-2.36899e-12	1.017665e-15	
11	-1.45000e+00	7.500000e+01	-2.31903e-12	1.026871e-15	
12	-1.40000e+00	7.500000e+01	-2.26907e-12	1.036360e-15	
13	-1.35000e+00	7.500000e+01	-2.21889e-12	1.046146e-15	
14	-1.30000e+00	7.500000e+01	-2.16893e-12	1.056245e-15	
15	-1.25000e+00	7.500000e+01	-2.11897e-12	1.066675e-15	
16	-1.20000e+00	7.500000e+01	-2.06901e-12	1.077455e-15	
17	-1.15000e+00	7.500000e+01	-2.01905e-12	1.088605e-15	
18	-1.10000e+00	7.500000e+01	-1.96887e-12	1.100146e-15	
19	-1.05000e+00	7.500000e+01	-1.91891e-12	1.112104e-15	
20	-1.00000e+00	7.500000e+01	-1.86895e-12	1.124502e-15	
21	-9.50000e-01	7.500000e+01	-1.81899e-12	1.137371e-15	
22	-9.00000e-01	7.500000e+01	-1.76881e-12	1.150741e-15	
