Index       FREQ            Re(V(3))          Im(V(3))          Re(V(2))          Im(V(2))          Re(V(4))          Im(V(4))     
0        1.00000000e+02    1.00000000e+00    0.00000000e+00    5.74371292e-01   -2.61390627e-02    4.32157810e-01    2.35183322e-01
1        1.58489319e+02    1.00000000e+00    0.00000000e+00    5.66712349e-01   -1.91224961e-02    5.01068304e-01    1.72052539e-01
2        2.51188643e+02    1.00000000e+00    0.00000000e+00    5.62937437e-01   -1.28833248e-02    5.35032652e-01    1.15916281e-01
3        3.98107171e+02    1.00000000e+00    0.00000000e+00    5.61288247e-01   -8.35427127e-03    5.49871057e-01    7.51666175e-02
4        6.30957344e+02    1.00000000e+00    0.00000000e+00    5.60605951e-01   -5.33003893e-03    5.56009941e-01    4.79564130e-02
5        1.00000000e+03    1.00000000e+00    0.00000000e+00    5.60330065e-01   -3.37804330e-03    5.58492192e-01    3.03935346e-02
6        1.58489319e+03    1.00000000e+00    0.00000000e+00    5.60219546e-01   -2.13519960e-03    5.59486574e-01    1.92111646e-02
7        2.51188643e+03    1.00000000e+00    0.00000000e+00    5.60175439e-01   -1.34818099e-03    5.59883430e-01    1.21300179e-02
8        3.98107171e+03    1.00000000e+00    0.00000000e+00    5.60157861e-01   -8.50893703e-04    5.60041578e-01    7.65567703e-03
9        6.30957344e+03    1.00000000e+00    0.00000000e+00    5.60150861e-01   -5.36951844e-04    5.60104563e-01    4.83093506e-03
10       1.00000000e+04    1.00000000e+00    0.00000000e+00    5.60148074e-01   -3.38830804e-04    5.60129641e-01    3.04822851e-03
11       1.58489319e+04    1.00000000e+00    0.00000000e+00    5.60146964e-01   -2.13826344e-04    5.60139626e-01    1.92330170e-03
12       2.51188643e+04    1.00000000e+00    0.00000000e+00    5.60146522e-01   -1.34971333e-04    5.60143601e-01    1.21347487e-03
13       3.98107171e+04    1.00000000e+00    0.00000000e+00    5.60146346e-01   -8.52486806e-05    5.60145184e-01    7.65565761e-04
14       6.30957344e+04    1.00000000e+00    0.00000000e+00    5.60146276e-01   -5.39266808e-05    5.60145814e-01    4.82901543e-04
15       1.00000000e+05    1.00000000e+00    0.00000000e+00    5.60146248e-01   -3.42447036e-05    5.60146064e-01    3.04471159e-04
16       1.58489319e+05    1.00000000e+00    0.00000000e+00    5.60146237e-01   -2.19544437e-05    5.60146164e-01    1.91760855e-04
17       2.51188643e+05    1.00000000e+00    0.00000000e+00    5.60146233e-01   -1.44030572e-05    5.60146204e-01    1.20442190e-04
18       3.98107171e+05    1.00000000e+00    0.00000000e+00    5.60146231e-01   -9.96057705e-06    5.60146220e-01    7.51210245e-05
19       6.30957344e+05    1.00000000e+00    0.00000000e+00    5.60146230e-01   -7.66809246e-06    5.60146226e-01    4.60147695e-05
20       1.00000000e+06    1.00000000e+00    0.00000000e+00    5.60146230e-01   -7.03076985e-06    5.60146229e-01    2.68408263e-05
21       1.58489319e+06    1.00000000e+00    0.00000000e+00    5.60146230e-01   -7.91104203e-06    5.60146230e-01    1.34604904e-05
22       2.51188643e+06    1.00000000e+00    0.00000000e+00    5.60146230e-01   -1.04989173e-05    5.60146230e-01    2.98560802e-06
23       3.98107171e+06    1.00000000e+00    0.00000000e+00    5.60146230e-01   -1.53529895e-05    5.60146230e-01   -6.84482923e-06
24       6.30957344e+06    1.00000000e+00    0.00000000e+00    5.60146229e-01   -2.35210152e-05    5.60146229e-01   -1.81527290e-05
25       1.00000000e+07    1.00000000e+00    0.00000000e+00    5.60146228e-01   -3.67660611e-05    5.60146228e-01   -3.33789015e-05
26       1.58489319e+07    1.00000000e+00    0.00000000e+00    5.60146224e-01   -5.79470824e-05    5.60146224e-01   -5.58099292e-05
27       2.51188643e+07    1.00000000e+00    0.00000000e+00    5.60146215e-01   -9.16360040e-05    5.60146215e-01   -9.02875515e-05
28       3.98107171e+07    1.00000000e+00    0.00000000e+00    5.60146192e-01   -1.45104604e-04    5.60146193e-01   -1.44253788e-04
29       6.30957344e+07    1.00000000e+00    0.00000000e+00    5.60146136e-01   -2.29894095e-04    5.60146136e-01   -2.29357266e-04
30       1.00000000e+08    1.00000000e+00    0.00000000e+00    5.60145993e-01   -3.64306288e-04    5.60145993e-01   -3.63967572e-04
End of Xyce(TM) Simulation
