Index       V(3)              V(2)              V(4)       
0       -1.00000000e+01   -2.69437018e-01    3.29737914e-30
1       -9.00000000e+00   -2.30414547e-01    7.19316044e-31
2       -8.00000000e+00   -1.90680596e-01    7.94791160e-31
3       -7.00000000e+00   -1.50201630e-01    8.80708439e-31
4       -6.00000000e+00   -1.08941495e-01    9.78884532e-31
5       -5.00000000e+00   -6.68611115e-02    1.09152138e-30
6       -4.00000000e+00   -2.39181490e-02    1.22130331e-30
7       -3.00000000e+00    4.67666848e-02    6.50887433e-28
8       -2.00000000e+00    6.43395297e-01    1.20581840e-26
9       -1.00000000e+00    1.26502842e+00    2.53770302e-26
10       0.00000000e+00    1.88731964e+00    4.39572265e-27
11       1.00000000e+00    2.50977786e+00    1.45974915e-27
12       2.00000000e+00    3.13230141e+00    6.33355423e-28
13       3.00000000e+00    3.75485552e+00    3.08854158e-28
14       4.00000000e+00    4.37742462e+00    1.49487919e-28
15       5.00000000e+00    5.00000000e+00    5.23278819e-29
16       6.00000000e+00    5.62257538e+00   -2.57272446e-29
17       7.00000000e+00    6.24514448e+00   -1.13022691e-28
18       8.00000000e+00    6.86769859e+00   -2.44839418e-28
19       9.00000000e+00    7.49022214e+00   -4.95633618e-28
20       1.00000000e+01    8.11268036e+00   -1.08611369e-27
21       1.10000000e+01    8.73497158e+00   -2.93572885e-27
22       1.20000000e+01    9.35660470e+00   -1.29253238e-26
23       1.30000000e+01    9.95323331e+00   -1.38756505e-28
24       1.40000000e+01    1.00239181e+01   -8.77202146e-32
25       1.50000000e+01    1.00668611e+01   -1.25085597e-30
End of Xyce(TM) Simulation
