Index   V(4)             {(ABS(I(VT1)))}  {(V(4)**2.0)}    I(VT1)
0       -2.00000000e-01  2.00000000e-02   4.00000000e-02   2.00000000e-02   
1       -1.90000000e-01  1.90000000e-02   3.61000000e-02   1.90000000e-02   
2       -1.80000000e-01  1.80000000e-02   3.24000000e-02   1.80000000e-02   
3       -1.70000000e-01  1.70000000e-02   2.89000000e-02   1.70000000e-02   
4       -1.60000000e-01  1.60000000e-02   2.56000000e-02   1.60000000e-02   
5       -1.50000000e-01  1.50000000e-02   2.25000000e-02   1.50000000e-02   
6       -1.40000000e-01  1.40000000e-02   1.96000000e-02   1.40000000e-02   
7       -1.30000000e-01  1.30000000e-02   1.69000000e-02   1.30000000e-02   
8       -1.20000000e-01  1.20000000e-02   1.44000000e-02   1.20000000e-02   
9       -1.10000000e-01  1.10000000e-02   1.21000000e-02   1.10000000e-02   
10      -1.00000000e-01  1.00000000e-02   1.00000000e-02   1.00000000e-02   
11      -9.00000000e-02  9.00000000e-03   8.10000000e-03   9.00000000e-03   
12      -8.00000000e-02  8.00000000e-03   6.40000000e-03   8.00000000e-03   
13      -7.00000000e-02  7.00000000e-03   4.90000000e-03   7.00000000e-03   
14      -6.00000000e-02  6.00000000e-03   3.60000000e-03   6.00000000e-03   
15      -5.00000000e-02  5.00000000e-03   2.50000000e-03   5.00000000e-03   
16      -4.00000000e-02  4.00000000e-03   1.60000000e-03   4.00000000e-03   
17      -3.00000000e-02  3.00000000e-03   9.00000000e-04   3.00000000e-03   
18      -2.00000000e-02  2.00000000e-03   4.00000000e-04   2.00000000e-03   
19      -1.00000000e-02  1.00000000e-03   1.00000000e-04   1.00000000e-03   
20      -6.93889390e-18  6.50521303e-19   4.81482486e-35   6.50521303e-19   
21      1.00000000e-02   1.00000000e-03   1.00000000e-04   -1.00000000e-03  
22      2.00000000e-02   2.00000000e-03   4.00000000e-04   -2.00000000e-03  
23      3.00000000e-02   3.00000000e-03   9.00000000e-04   -3.00000000e-03  
24      4.00000000e-02   4.00000000e-03   1.60000000e-03   -4.00000000e-03  
25      5.00000000e-02   5.00000000e-03   2.50000000e-03   -5.00000000e-03  
26      6.00000000e-02   6.00000000e-03   3.60000000e-03   -6.00000000e-03  
27      7.00000000e-02   7.00000000e-03   4.90000000e-03   -7.00000000e-03  
28      8.00000000e-02   8.00000000e-03   6.40000000e-03   -8.00000000e-03  
29      9.00000000e-02   9.00000000e-03   8.10000000e-03   -9.00000000e-03  
30      1.00000000e-01   1.00000000e-02   1.00000000e-02   -1.00000000e-02  
31      1.10000000e-01   1.10000000e-02   1.21000000e-02   -1.10000000e-02  
32      1.20000000e-01   1.20000000e-02   1.44000000e-02   -1.20000000e-02  
33      1.30000000e-01   1.30000000e-02   1.69000000e-02   -1.30000000e-02  
34      1.40000000e-01   1.40000000e-02   1.96000000e-02   -1.40000000e-02  
35      1.50000000e-01   1.50000000e-02   2.25000000e-02   -1.50000000e-02  
36      1.60000000e-01   1.60000000e-02   2.56000000e-02   -1.60000000e-02  
37      1.70000000e-01   1.70000000e-02   2.89000000e-02   -1.70000000e-02  
38      1.80000000e-01   1.80000000e-02   3.24000000e-02   -1.80000000e-02  
39      1.90000000e-01   1.90000000e-02   3.61000000e-02   -1.90000000e-02  
40      2.00000000e-01   2.00000000e-02   4.00000000e-02   -2.00000000e-02  
41      2.10000000e-01   2.10000000e-02   4.41000000e-02   -2.10000000e-02  
42      2.20000000e-01   2.20000000e-02   4.84000000e-02   -2.20000000e-02  
43      2.30000000e-01   2.30000000e-02   5.29000000e-02   -2.30000000e-02  
44      2.40000000e-01   2.40000000e-02   5.76000000e-02   -2.40000000e-02  
45      2.50000000e-01   2.50000000e-02   6.25000000e-02   -2.50000000e-02  
46      2.60000000e-01   2.60000000e-02   6.76000000e-02   -2.60000000e-02  
47      2.70000000e-01   2.70000000e-02   7.29000000e-02   -2.70000000e-02  
48      2.80000000e-01   2.80000000e-02   7.84000000e-02   -2.80000000e-02  
49      2.90000000e-01   2.90000000e-02   8.41000000e-02   -2.90000000e-02  
50      3.00000000e-01   3.00000000e-02   9.00000000e-02   -3.00000000e-02  
51      3.10000000e-01   3.10000000e-02   9.61000000e-02   -3.10000000e-02  
52      3.20000000e-01   3.20000000e-02   1.02400000e-01   -3.20000000e-02  
53      3.30000000e-01   3.30000000e-02   1.08900000e-01   -3.30000000e-02  
54      3.40000000e-01   3.40000000e-02   1.15600000e-01   -3.40000000e-02  
55      3.50000000e-01   3.50000000e-02   1.22500000e-01   -3.50000000e-02  
56      3.60000000e-01   3.60000000e-02   1.29600000e-01   -3.60000000e-02  
57      3.70000000e-01   3.70000000e-02   1.36900000e-01   -3.70000000e-02  
58      3.80000000e-01   3.80000000e-02   1.44400000e-01   -3.80000000e-02  
59      3.90000000e-01   3.90000000e-02   1.52100000e-01   -3.90000000e-02  
60      4.00000000e-01   4.00000000e-02   1.60000000e-01   -4.00000000e-02  
61      4.10000000e-01   4.10000000e-02   1.68100000e-01   -4.10000000e-02  
62      4.20000000e-01   4.20000000e-02   1.76400000e-01   -4.20000000e-02  
63      4.30000000e-01   4.30000000e-02   1.84900000e-01   -4.30000000e-02  
64      4.40000000e-01   4.40000000e-02   1.93600000e-01   -4.40000000e-02  
65      4.50000000e-01   4.50000000e-02   2.02500000e-01   -4.50000000e-02  
66      4.60000000e-01   4.60000000e-02   2.11600000e-01   -4.60000000e-02  
67      4.70000000e-01   4.70000000e-02   2.20900000e-01   -4.70000000e-02  
68      4.80000000e-01   4.80000000e-02   2.30400000e-01   -4.80000000e-02  
69      4.90000000e-01   4.90000000e-02   2.40100000e-01   -4.90000000e-02  
70      5.00000000e-01   5.00000000e-02   2.50000000e-01   -5.00000000e-02  
End of Xyce(TM) Simulation
