Index         TIME             I(IS)           I(VMON)         I(VMON1)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       2.00000000e-08   2.00000000e-04   1.99980004e-04   1.99960008e-08   
2       6.00000000e-08   6.00000000e-04   5.99940012e-04   5.99880024e-08   
3       1.40000000e-07   1.40000000e-03   1.39986003e-03   1.39972006e-07   
4       3.00000000e-07   3.00000000e-03   2.99970006e-03   2.99940012e-07   
5       6.20000000e-07   6.20000000e-03   6.19938012e-03   6.19876025e-07   
6       1.02000000e-06   1.02000000e-02   1.01989802e-02   1.01979604e-06   
7       1.42000000e-06   1.42000000e-02   1.41985803e-02   1.41971606e-06   
8       1.82000000e-06   1.82000000e-02   1.81981804e-02   1.81963607e-06   
9       2.00000000e-06   2.00000000e-02   1.99980004e-02   1.99960008e-06   
10      2.01000000e-06   2.01000000e-02   1.01000000e-02   1.00000000e-02   
11      2.01075505e-06   2.01075505e-02   1.01037940e-02   1.00037564e-02   
12      2.01151009e-06   2.01151009e-02   1.01075880e-02   1.00075129e-02   
13      2.01226514e-06   2.01226514e-02   1.01113820e-02   1.00112693e-02   
14      2.01377523e-06   2.01377523e-02   1.01189701e-02   1.00187822e-02   
15      2.01679542e-06   2.01679542e-02   1.01341461e-02   1.00338080e-02   
16      2.02283579e-06   2.02283579e-02   1.01644982e-02   1.00638596e-02   
17      2.03491653e-06   2.03491653e-02   1.02252024e-02   1.01239628e-02   
18      2.05907801e-06   2.05907801e-02   1.03466109e-02   1.02441692e-02   
19      2.10740097e-06   2.10740097e-02   1.05894277e-02   1.04845819e-02   
20      2.20404689e-06   2.20404689e-02   1.10750615e-02   1.09654074e-02   
21      2.39733872e-06   2.39733872e-02   1.20463289e-02   1.19270583e-02   
22      2.78392240e-06   2.78392240e-02   1.39888638e-02   1.38503602e-02   
23      3.18392240e-06   3.18392240e-02   1.59988141e-02   1.58404100e-02   
24      3.58392240e-06   3.58392240e-02   1.80087643e-02   1.78304597e-02   
25      3.98392240e-06   3.98392240e-02   2.00187146e-02   1.98205095e-02   
26      4.00000000e-06   4.00000000e-02   2.00995025e-02   1.99004975e-02   
End of Xyce(TM) Simulation
