Index       TIME              V(1)              I(L1)      
0        0.00000000e+00    5.84467724e-01    1.12682817e-07
1        4.76190476e-11    5.58372999e-01    3.49225208e-04
2        9.52380952e-11    4.82746115e-01    6.67260617e-04
3        1.42857143e-10    3.64333169e-01    9.26021443e-04
4        1.90476190e-10    2.13602301e-01    1.10256880e-03
5        2.38095238e-10    4.38454231e-02    1.18121880e-03
6        2.85714286e-10   -1.29922759e-01    1.15493016e-03
7        3.33333333e-10   -2.92237244e-01    1.02597124e-03
8        3.80952381e-10   -4.28579437e-01    8.05773213e-04
9        4.28571429e-10   -5.26749292e-01    5.13933615e-04
10       4.76190476e-10   -5.78010663e-01    1.76447235e-04
11       5.23809524e-10   -5.77868799e-01   -1.76650748e-04
12       5.71428571e-10   -5.26425548e-01   -5.13986148e-04
13       6.19047619e-10   -4.28311476e-01   -8.05633349e-04
14       6.66666667e-10   -2.92230883e-01   -1.02574161e-03
15       7.14285714e-10   -1.30189963e-01   -1.15478520e-03
16       7.61904762e-10    4.35092631e-02   -1.18127067e-03
17       8.09523810e-10    2.13458016e-01   -1.10277721e-03
18       8.57142857e-10    3.64486701e-01   -9.26226352e-04
19       9.04761905e-10    4.83074217e-01   -6.67308561e-04
20       9.52380952e-10    5.58630135e-01   -3.49083165e-04
End of Xyce(TM) Simulation
