Index       FREQ            Re(V(1))          Im(V(1))          Re(V(2))          Im(V(2))          Re(I(C1))         Im(I(C1))         Re(I(R1))         Im(I(R1))         Re(I(V1))         Im(I(V1))    
0       -1.10000000e+06   -5.47730877e-17   -3.37948100e-17   -2.26174755e-20   -4.07342432e-21    8.30481415e-20   -2.40800165e-19   -3.41609769e-20   -2.35696124e-21    5.07748189e-20    5.79199275e-20
1       -1.00000000e+06   -2.06706973e-17   -9.66011614e-18    4.05921283e-21   -1.00962336e-20   -1.32970261e-19   -3.67202597e-19   -2.45570503e-20   -7.07088373e-21    2.13531235e-20    2.91255163e-20
2       -9.00000000e+05   -9.77829478e-18   -1.93087651e-17    3.95204272e-20   -5.31366711e-21    7.74567979e-21   -1.01686873e-19   -2.27640105e-20   -2.82835349e-20    6.89531886e-21    1.85239654e-20
3       -8.00000000e+05   -2.68641915e-17   -1.44813736e-17   -5.33867134e-20   -1.15404396e-20   -1.39653945e-19    3.16359161e-19   -3.70530880e-20    1.17848062e-20    4.20326520e-20    9.77926578e-21
4       -7.00000000e+05   -2.33114041e-17   -4.94774231e-17    2.85401969e-20   -1.59330848e-20   -1.45956964e-19   -3.16359161e-19   -2.40898012e-20   -3.53544187e-20    3.26057715e-20    2.44252670e-20
5       -6.00000000e+05    7.73202653e-18   -1.32744469e-17   -1.57660979e-20    8.46232392e-21    2.74326159e-20   -2.03373746e-19   -4.93488761e-21   -4.47822636e-20   -2.06881119e-20   -2.94676193e-21
6       -5.00000000e+05    1.81466898e-17   -3.37894130e-17    4.31556031e-20   -1.38267993e-20   -6.30784660e-20   -1.12985415e-19    1.27054942e-20   -9.42784498e-21   -1.37746290e-20    7.21665400e-20
7       -4.00000000e+05    2.32816687e-17    4.22367634e-17   -2.57046341e-20    9.61113131e-21    8.21268249e-20   -1.35582498e-19    3.75456561e-20    4.12468218e-20   -2.42908862e-20   -4.77713495e-20
8       -3.00000000e+05    2.50280795e-17   -1.06798532e-16    3.79722499e-20   -1.29833073e-21    4.09068714e-20   -1.01686873e-19    2.15348920e-20   -5.95132714e-20   -2.52788177e-20    9.40958796e-20
9       -2.00000000e+05    1.50687890e-18    4.58576272e-17   -6.07164504e-20    7.97180198e-21   -6.96849130e-21    1.35582498e-19    8.52557075e-21   -1.17848062e-21   -3.49195435e-21   -6.00945228e-21
10      -1.00000000e+05    4.76313345e-17    5.00000000e-01   -3.97887106e-04    3.16628498e-07    3.97887106e-07    4.99999683e-04    3.97887106e-07    4.99999683e-04   -3.97887106e-07   -4.99999683e-04
11       0.00000000e+00    2.41419950e-17    0.00000000e+00    2.91757645e-17    0.00000000e+00    0.00000000e+00    0.00000000e+00   -1.18952888e-20    0.00000000e+00    1.17940131e-20    0.00000000e+00
12       1.00000000e+05    4.76313345e-17   -5.00000000e-01   -3.97887106e-04   -3.16628498e-07    3.97887106e-07   -4.99999683e-04    3.97887106e-07   -4.99999683e-04   -3.97887106e-07    4.99999683e-04
13       2.00000000e+05    1.50687890e-18   -4.58576272e-17   -6.07164504e-20   -7.97180198e-21   -6.96849130e-21   -1.35582498e-19    8.52557075e-21    1.17848062e-21   -3.49195435e-21    6.00945228e-21
14       3.00000000e+05    2.50280795e-17    1.06798532e-16    3.79722499e-20    1.29833073e-21    4.09068714e-20    1.01686873e-19    2.15348920e-20    5.95132714e-20   -2.52788177e-20   -9.40958796e-20
15       4.00000000e+05    2.32816687e-17   -4.22367634e-17   -2.57046341e-20   -9.61113131e-21    8.21268249e-20    1.35582498e-19    3.75456561e-20   -4.12468218e-20   -2.42908862e-20    4.77713495e-20
16       5.00000000e+05    1.81466898e-17    3.37894130e-17    4.31556031e-20    1.38267993e-20   -6.30784660e-20    1.12985415e-19    1.27054942e-20    9.42784498e-21   -1.37746290e-20   -7.21665400e-20
17       6.00000000e+05    7.73202653e-18    1.32744469e-17   -1.57660979e-20   -8.46232392e-21    2.74326159e-20    2.03373746e-19   -4.93488761e-21    4.47822636e-20   -2.06881119e-20    2.94676193e-21
18       7.00000000e+05   -2.33114041e-17    4.94774231e-17    2.85401969e-20    1.59330848e-20   -1.45956964e-19    3.16359161e-19   -2.40898012e-20    3.53544187e-20    3.26057715e-20   -2.44252670e-20
19       8.00000000e+05   -2.68641915e-17    1.44813736e-17   -5.33867134e-20    1.15404396e-20   -1.39653945e-19   -3.16359161e-19   -3.70530880e-20   -1.17848062e-20    4.20326520e-20   -9.77926578e-21
20       9.00000000e+05   -9.77829478e-18    1.93087651e-17    3.95204272e-20    5.31366711e-21    7.74567979e-21    1.01686873e-19   -2.27640105e-20    2.82835349e-20    6.89531886e-21   -1.85239654e-20
21       1.00000000e+06   -2.06706973e-17    9.66011614e-18    4.05921283e-21    1.00962336e-20   -1.32970261e-19    3.67202597e-19   -2.45570503e-20    7.07088373e-21    2.13531235e-20   -2.91255163e-20
22       1.10000000e+06   -5.47730877e-17    3.37948100e-17   -2.26174755e-20    4.07342432e-21    8.30481415e-20    2.40800165e-19   -3.41609769e-20    2.35696124e-21    5.07748189e-20   -5.79199275e-20
End of Xyce(TM) Simulation
