Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
0        0.00000000e+00    1.23259516e-32   -7.95774212e-04    7.95774212e-07    7.95774212e-07   -7.95774212e-07
1        4.34782609e-07    2.69796771e-01   -7.66093894e-04    2.70562865e-04    2.70562865e-04   -2.70562865e-04
2        8.69565217e-07    5.19583950e-01   -6.79595898e-04    5.20263546e-04    5.20263546e-04   -5.20263546e-04
3        1.30434783e-06    7.30835964e-01   -5.42695382e-04    7.31378660e-04    7.31378660e-04   -7.31378660e-04
4        1.73913043e-06    8.87885218e-01   -3.65545633e-04    8.88250764e-04    8.88250764e-04   -8.88250764e-04
5        2.17391304e-06    9.79084088e-01   -1.61285037e-04    9.79245373e-04    9.79245373e-04   -9.79245373e-04
6        2.60869565e-06    9.97668769e-01    5.49373334e-05    9.97613832e-04    9.97613832e-04   -9.97613832e-04
7        3.04347826e-06    9.42260922e-01    2.67085253e-04    9.41993837e-04    9.41993837e-04   -9.41993837e-04
8        3.47826087e-06    8.16969893e-01    4.59424681e-04    8.16510468e-04    8.16510468e-04   -8.16510468e-04
9        3.91304348e-06    6.31087944e-01    6.17690682e-04    6.30470254e-04    6.30470254e-04   -6.30470254e-04
10       4.34782609e-06    3.98401090e-01    7.30145391e-04    3.97670944e-04    3.97670944e-04   -3.97670944e-04
11       4.78260870e-06    1.36166649e-01    7.88448556e-04    1.35378201e-04    1.35378201e-04   -1.35378201e-04
12       5.21739130e-06   -1.36166649e-01    7.88276099e-04   -1.36954925e-04   -1.36954925e-04    1.36954925e-04
13       5.65217391e-06   -3.98401090e-01    7.29640810e-04   -3.99130731e-04   -3.99130731e-04    3.99130731e-04
14       6.08695652e-06   -6.31087944e-01    6.16891400e-04   -6.31704836e-04   -6.31704836e-04    6.31704836e-04
15       6.52173913e-06   -8.16969893e-01    4.58389977e-04   -8.17428283e-04   -8.17428283e-04    8.17428283e-04
16       6.95652174e-06   -9.42260922e-01    2.65891866e-04   -9.42526814e-04   -9.42526814e-04    9.42526814e-04
17       7.39130435e-06   -9.97668769e-01    5.36737720e-05   -9.97722443e-04   -9.97722443e-04    9.97722443e-04
18       7.82608696e-06   -9.79084088e-01   -1.62525060e-04   -9.78921563e-04   -9.78921563e-04    9.78921563e-04
19       8.26086957e-06   -8.87885218e-01   -3.66670152e-04   -8.87518548e-04   -8.87518548e-04    8.87518548e-04
20       8.69565217e-06   -7.30835964e-01   -5.43620996e-04   -7.30292343e-04   -7.30292343e-04    7.30292343e-04
21       9.13043478e-06   -5.19583950e-01   -6.80253958e-04   -5.18903696e-04   -5.18903696e-04    5.18903696e-04
22       9.56521739e-06   -2.69796771e-01   -7.66435596e-04   -2.69030336e-04   -2.69030336e-04    2.69030336e-04
End of Xyce(TM) Simulation
