Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    6.28318530e-05    3.14159249e-12    6.28318499e-08    6.28318499e-08   -6.28318499e-08
2        3.00000000e-10    1.88495558e-04    2.19911461e-11    1.88495536e-07    1.88495536e-07   -1.88495536e-07
3        7.00000000e-10    4.39822957e-04    1.09955716e-10    4.39822847e-07    4.39822847e-07   -4.39822847e-07
4        1.50000000e-09    9.42477657e-04    4.86946583e-10    9.42477170e-07    9.42477170e-07   -9.42477170e-07
5        3.10000000e-09    1.94778621e-03    2.04517392e-09    1.94778417e-06    1.94778417e-06   -1.94778417e-06
6        6.30000000e-09    3.95839641e-03    8.37859476e-09    3.95838803e-06    3.95838803e-06   -3.95838803e-06
7        1.27000000e-08    7.97956066e-03    3.39130803e-08    7.97952674e-06    7.97952674e-06   -7.97952674e-06
8        2.55000000e-08    1.60214370e-02    1.36449404e-07    1.60213006e-05    1.60213006e-05   -1.60213006e-05
9        5.11000000e-08    3.21015609e-02    5.47342377e-07    3.21010135e-05    3.21010135e-05   -3.21010135e-05
10       1.02300000e-07    6.42327344e-02    2.19164427e-06    6.42305428e-05    6.42305428e-05   -6.42305428e-05
11       1.53500000e-07    9.62974391e-02    4.65673950e-06    9.62927824e-05    9.62927824e-05   -9.62927824e-05
12       2.04700000e-07    1.28262494e-01    7.94005608e-06    1.28254554e-04    1.28254554e-04   -1.28254554e-04
13       2.55900000e-07    1.60094821e-01    1.20381753e-05    1.60082783e-04    1.60082783e-04   -1.60082783e-04
14       3.07100000e-07    1.91761479e-01    1.69468353e-05    1.91744533e-04    1.91744533e-04   -1.91744533e-04
15       3.58300000e-07    2.23229701e-01    2.26609356e-05    2.23207040e-04    2.23207040e-04   -2.23207040e-04
16       4.09500000e-07    2.54466921e-01    2.91745419e-05    2.54437746e-04    2.54437746e-04   -2.54437746e-04
17       4.60700000e-07    2.85440815e-01    3.64808928e-05    2.85404334e-04    2.85404334e-04   -2.85404334e-04
18       5.11900000e-07    3.16119331e-01    4.45724066e-05    3.16074758e-04    3.16074758e-04   -3.16074758e-04
19       5.63100000e-07    3.46470722e-01    5.34406890e-05    3.46417282e-04    3.46417282e-04   -3.46417282e-04
20       6.14300000e-07    3.76463581e-01    6.30765420e-05    3.76400504e-04    3.76400504e-04   -3.76400504e-04
21       6.65500000e-07    4.06066870e-01    7.34699730e-05    4.05993400e-04    4.05993400e-04   -4.05993400e-04
22       7.16700000e-07    4.35249956e-01    8.46102058e-05    4.35165345e-04    4.35165345e-04   -4.35165345e-04
23       7.67900000e-07    4.63982638e-01    9.64856913e-05    4.63886153e-04    4.63886153e-04   -4.63886153e-04
24       8.19100000e-07    4.92235185e-01    1.09084120e-04    4.92126101e-04    4.92126101e-04   -4.92126101e-04
25       8.70300000e-07    5.19978361e-01    1.22392432e-04    5.19855968e-04    5.19855968e-04   -5.19855968e-04
26       9.21500000e-07    5.47183456e-01    1.36396837e-04    5.47047059e-04    5.47047059e-04   -5.47047059e-04
27       9.72700000e-07    5.73822317e-01    1.51082821e-04    5.73671234e-04    5.73671234e-04   -5.73671234e-04
28       1.02390000e-06    5.99867380e-01    1.66435165e-04    5.99700944e-04    5.99700944e-04   -5.99700944e-04
29       1.07510000e-06    6.25291691e-01    1.82437962e-04    6.25109253e-04    6.25109253e-04   -6.25109253e-04
30       1.12630000e-06    6.50068942e-01    1.99074630e-04    6.49869867e-04    6.49869867e-04   -6.49869867e-04
31       1.17750000e-06    6.74173493e-01    2.16327934e-04    6.73957165e-04    6.73957165e-04   -6.73957165e-04
32       1.22870000e-06    6.97580399e-01    2.34179997e-04    6.97346219e-04    6.97346219e-04   -6.97346219e-04
33       1.27990000e-06    7.20265440e-01    2.52612325e-04    7.20012828e-04    7.20012828e-04   -7.20012828e-04
34       1.33110000e-06    7.42205140e-01    2.71605824e-04    7.41933534e-04    7.41933534e-04   -7.41933534e-04
35       1.38230000e-06    7.63376796e-01    2.91140817e-04    7.63085655e-04    7.63085655e-04   -7.63085655e-04
36       1.43350000e-06    7.83758499e-01    3.11197067e-04    7.83447302e-04    7.83447302e-04   -7.83447302e-04
37       1.48470000e-06    8.03329159e-01    3.31753801e-04    8.02997405e-04    8.02997405e-04   -8.02997405e-04
38       1.53590000e-06    8.22068522e-01    3.52789724e-04    8.21715732e-04    8.21715732e-04   -8.21715732e-04
39       1.58710000e-06    8.39957197e-01    3.74283046e-04    8.39582914e-04    8.39582914e-04   -8.39582914e-04
40       1.63830000e-06    8.56976673e-01    3.96211506e-04    8.56580461e-04    8.56580461e-04   -8.56580461e-04
41       1.68950000e-06    8.73109338e-01    4.18552390e-04    8.72690785e-04    8.72690785e-04   -8.72690785e-04
42       1.74070000e-06    8.88338497e-01    4.41282559e-04    8.87897214e-04    8.87897214e-04   -8.87897214e-04
43       1.79190000e-06    9.02648391e-01    4.64378470e-04    9.02184012e-04    9.02184012e-04   -9.02184012e-04
44       1.84310000e-06    9.16024212e-01    4.87816201e-04    9.15536396e-04    9.15536396e-04   -9.15536396e-04
45       1.89430000e-06    9.28452119e-01    5.11571479e-04    9.27940547e-04    9.27940547e-04   -9.27940547e-04
46       1.94550000e-06    9.39919250e-01    5.35619700e-04    9.39383631e-04    9.39383631e-04   -9.39383631e-04
47       1.99670000e-06    9.50413741e-01    5.59935958e-04    9.49853805e-04    9.49853805e-04   -9.49853805e-04
48       2.04790000e-06    9.59924730e-01    5.84495068e-04    9.59340235e-04    9.59340235e-04   -9.59340235e-04
49       2.09910000e-06    9.68442375e-01    6.09271595e-04    9.67833104e-04    9.67833104e-04   -9.67833104e-04
50       2.15030000e-06    9.75957864e-01    6.34239880e-04    9.75323624e-04    9.75323624e-04   -9.75323624e-04
51       2.20150000e-06    9.82463417e-01    6.59374064e-04    9.81804043e-04    9.81804043e-04   -9.81804043e-04
52       2.25270000e-06    9.87952304e-01    6.84648116e-04    9.87267656e-04    9.87267656e-04   -9.87267656e-04
