Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
0        0.00000000e+00    3.38963670e-32   -7.95774212e-04    7.95774212e-07    7.95774212e-07   -7.95774212e-07
1        9.70873786e-08    6.09639726e-02   -7.94255440e-04    6.17582281e-05    6.17582281e-05   -6.17582281e-05
2        1.94174757e-07    1.21701155e-01   -7.89781985e-04    1.22490937e-04    1.22490937e-04   -1.22490937e-04
3        2.91262136e-07    1.81985602e-01   -7.82370490e-04    1.82767972e-04    1.82767972e-04   -1.82767972e-04
4        3.88349515e-07    2.41593050e-01   -7.72048525e-04    2.42365098e-04    2.42365098e-04   -2.42365098e-04
5        4.85436893e-07    3.00301756e-01   -7.58854489e-04    3.01060610e-04    3.01060610e-04   -3.01060610e-04
6        5.82524272e-07    3.57893319e-01   -7.42837464e-04    3.58636157e-04    3.58636157e-04   -3.58636157e-04
7        6.79611650e-07    4.14153496e-01   -7.24057035e-04    4.14877553e-04    4.14877553e-04   -4.14877553e-04
8        7.76699029e-07    4.68872995e-01   -7.02583067e-04    4.69575578e-04    4.69575578e-04   -4.69575578e-04
9        8.73786408e-07    5.21848256e-01   -6.78495443e-04    5.22526751e-04    5.22526751e-04   -5.22526751e-04
10       9.70873786e-07    5.72882206e-01   -6.51883772e-04    5.73534090e-04    5.73534090e-04   -5.73534090e-04
11       1.06796117e-06    6.21784998e-01   -6.22847050e-04    6.22407845e-04    6.22407845e-04   -6.22407845e-04
12       1.16504854e-06    6.68374708e-01   -5.91493296e-04    6.68966201e-04    6.68966201e-04   -6.68966201e-04
13       1.26213592e-06    7.12478020e-01   -5.57939149e-04    7.13035959e-04    7.13035959e-04   -7.13035959e-04
14       1.35922330e-06    7.53930868e-01   -5.22309431e-04    7.54453177e-04    7.54453177e-04   -7.54453177e-04
15       1.45631068e-06    7.92579043e-01   -4.84736688e-04    7.93063779e-04    7.93063779e-04   -7.93063779e-04
16       1.55339806e-06    8.28278772e-01   -4.45360692e-04    8.28724132e-04    8.28724132e-04   -8.28724132e-04
17       1.65048544e-06    8.60897249e-01   -4.04327925e-04    8.61301577e-04    8.61301577e-04   -8.61301577e-04
18       1.74757282e-06    8.90313132e-01   -3.61791032e-04    8.90674923e-04    8.90674923e-04   -8.90674923e-04
19       1.84466019e-06    9.16416992e-01   -3.17908253e-04    9.16734901e-04    9.16734901e-04   -9.16734901e-04
20       1.94174757e-06    9.39111721e-01   -2.72842834e-04    9.39384564e-04    9.39384564e-04   -9.39384564e-04
21       2.03883495e-06    9.58312892e-01   -2.26762422e-04    9.58539654e-04    9.58539654e-04   -9.58539654e-04
22       2.13592233e-06    9.73949076e-01   -1.79838438e-04    9.74128915e-04    9.74128915e-04   -9.74128915e-04
23       2.23300971e-06    9.85962106e-01   -1.32245444e-04    9.86094351e-04    9.86094351e-04   -9.86094351e-04
24       2.33009709e-06    9.94307292e-01   -8.41604880e-05    9.94391453e-04    9.94391453e-04   -9.94391453e-04
25       2.42718447e-06    9.98953590e-01   -3.57624496e-05    9.98989352e-04    9.98989352e-04   -9.98989352e-04
26       2.52427184e-06    9.99883714e-01    1.27686276e-05    9.99870946e-04    9.99870946e-04   -9.99870946e-04
27       2.62135922e-06    9.97094206e-01    6.12522046e-05    9.97032953e-04    9.97032953e-04   -9.97032953e-04
28       2.71844660e-06    9.90595441e-01    1.09507919e-04    9.90485933e-04    9.90485933e-04   -9.90485933e-04
29       2.81553398e-06    9.80411597e-01    1.57356258e-04    9.80254240e-04    9.80254240e-04   -9.80254240e-04
30       2.91262136e-06    9.66580557e-01    2.04619220e-04    9.66375937e-04    9.66375937e-04   -9.66375937e-04
31       3.00970874e-06    9.49153773e-01    2.51120986e-04    9.48902652e-04    9.48902652e-04   -9.48902652e-04
32       3.10679612e-06    9.28196076e-01    2.96688565e-04    9.27899387e-04    9.27899387e-04   -9.27899387e-04
33       3.20388350e-06    9.03785428e-01    3.41152443e-04    9.03444275e-04    9.03444275e-04   -9.03444275e-04
34       3.30097087e-06    8.76012639e-01    3.84347211e-04    8.75628291e-04    8.75628291e-04   -8.75628291e-04
35       3.39805825e-06    8.44981025e-01    4.26112183e-04    8.44554913e-04    8.44554913e-04   -8.44554913e-04
36       3.49514563e-06    8.10806026e-01    4.66291989e-04    8.10339734e-04    8.10339734e-04   -8.10339734e-04
37       3.59223301e-06    7.73614776e-01    5.04737159e-04    7.73110039e-04    7.73110039e-04   -7.73110039e-04
38       3.68932039e-06    7.33545628e-01    5.41304673e-04    7.33004323e-04    7.33004323e-04   -7.33004323e-04
39       3.78640777e-06    6.90747642e-01    5.75858498e-04    6.90171784e-04    6.90171784e-04   -6.90171784e-04
40       3.88349515e-06    6.45380030e-01    6.08270092e-04    6.44771759e-04    6.44771759e-04   -6.44771759e-04
41       3.98058252e-06    5.97611561e-01    6.38418881e-04    5.96973142e-04    5.96973142e-04   -5.96973142e-04
42       4.07766990e-06    5.47619938e-01    6.66192710e-04    5.46953745e-04    5.46953745e-04   -5.46953745e-04
43       4.17475728e-06    4.95591133e-01    6.91488259e-04    4.94899645e-04    4.94899645e-04   -4.94899645e-04
44       4.27184466e-06    4.41718696e-01    7.14211425e-04    4.41004485e-04    4.41004485e-04   -4.41004485e-04
45       4.36893204e-06    3.86203037e-01    7.34277678e-04    3.85468759e-04    3.85468759e-04   -3.85468759e-04
46       4.46601942e-06    3.29250677e-01    7.51612370e-04    3.28499065e-04    3.28499065e-04   -3.28499065e-04
47       4.56310680e-06    2.71073483e-01    7.66151015e-04    2.70307332e-04    2.70307332e-04   -2.70307332e-04
48       4.66019417e-06    2.11887878e-01    7.77839527e-04    2.11110039e-04    2.11110039e-04   -2.11110039e-04
49       4.75728155e-06    1.51914036e-01    7.86634426e-04    1.51127402e-04    1.51127402e-04   -1.51127402e-04
50       4.85436893e-06    9.13750640e-02    7.92502992e-04    9.05825610e-05    9.05825610e-05   -9.05825610e-05
51       4.95145631e-06    3.04961706e-02    7.95423396e-04    2.97007472e-05    2.97007472e-05   -2.97007472e-05
52       5.04854369e-06   -3.04961706e-02    7.95384772e-04   -3.12915554e-05   -3.12915554e-05    3.12915554e-05
53       5.14563107e-06   -9.13750640e-02    7.92387265e-04   -9.21674512e-05   -9.21674512e-05    9.21674512e-05
54       5.24271845e-06   -1.51914036e-01    7.86442024e-04   -1.52700478e-04   -1.52700478e-04    1.52700478e-04
55       5.33980583e-06   -2.11887878e-01    7.77571168e-04   -2.12665449e-04   -2.12665449e-04    2.12665449e-04
56       5.43689320e-06   -2.71073483e-01    7.65807697e-04   -2.71839291e-04   -2.71839291e-04    2.71839291e-04
57       5.53398058e-06   -3.29250677e-01    7.51195370e-04   -3.30001873e-04   -3.30001873e-04    3.30001873e-04
58       5.63106796e-06   -3.86203037e-01    7.33788547e-04   -3.86936826e-04   -3.86936826e-04    3.86936826e-04
59       5.72815534e-06   -4.41718696e-01    7.13651982e-04   -4.42432348e-04   -4.42432348e-04    4.42432348e-04
60       5.82524272e-06   -4.95591133e-01    6.90860585e-04   -4.96281993e-04   -4.96281993e-04    4.96281993e-04
61       5.92233010e-06   -5.47619938e-01    6.65499142e-04   -5.48285437e-04   -5.48285437e-04    5.48285437e-04
62       6.01941748e-06   -5.97611561e-01    6.37661998e-04   -5.98249223e-04   -5.98249223e-04    5.98249223e-04
63       6.11650485e-06   -6.45380030e-01    6.07452709e-04   -6.45987482e-04   -6.45987482e-04    6.45987482e-04
64       6.21359223e-06   -6.90747642e-01    5.74983657e-04   -6.91322626e-04   -6.91322626e-04    6.91322626e-04
65       6.31067961e-06   -7.33545628e-01    5.40375627e-04   -7.34086004e-04   -7.34086004e-04    7.34086004e-04
66       6.40776699e-06   -7.73614776e-01    5.03757365e-04   -7.74118533e-04   -7.74118533e-04    7.74118533e-04
67       6.50485437e-06   -8.10806026e-01    4.65265092e-04   -8.11271291e-04   -8.11271291e-04    8.11271291e-04
68       6.60194175e-06   -8.44981025e-01    4.25042003e-04   -8.45406067e-04   -8.45406067e-04    8.45406067e-04
69       6.69902913e-06   -8.76012639e-01    3.83237729e-04   -8.76395876e-04   -8.76395876e-04    8.76395876e-04
70       6.79611650e-06   -9.03785428e-01    3.40007786e-04   -9.04125436e-04   -9.04125436e-04    9.04125436e-04
71       6.89320388e-06   -9.28196076e-01    2.95512991e-04   -9.28491589e-04   -9.28491589e-04    9.28491589e-04
72       6.99029126e-06   -9.49153773e-01    2.49918869e-04   -9.49403692e-04   -9.49403692e-04    9.49403692e-04
73       7.08737864e-06   -9.66580557e-01    2.03395032e-04   -9.66783952e-04   -9.66783952e-04    9.66783952e-04
74       7.18446602e-06   -9.80411597e-01    1.56114552e-04   -9.80567711e-04   -9.80567711e-04    9.80567711e-04
75       7.28155340e-06   -9.90595441e-01    1.08253316e-04   -9.90703695e-04   -9.90703695e-04    9.90703695e-04
76       7.37864078e-06   -9.97094206e-01    5.99893708e-05   -9.97154195e-04   -9.97154195e-04    9.97154195e-04
77       7.47572816e-06   -9.99883714e-01    1.15022609e-05   -9.99895216e-04   -9.99895216e-04    9.99895216e-04
78       7.57281553e-06   -9.98953590e-01   -3.70276383e-05   -9.98916562e-04   -9.98916562e-04    9.98916562e-04
79       7.66990291e-06   -9.94307292e-01   -8.54197921e-05   -9.94221872e-04   -9.94221872e-04    9.94221872e-04
80       7.76699029e-06   -9.85962106e-01   -1.33494179e-04   -9.85828612e-04   -9.85828612e-04    9.85828612e-04
81       7.86407767e-06   -9.73949076e-01   -1.81071958e-04   -9.73768004e-04   -9.73768004e-04    9.73768004e-04
82       7.96116505e-06   -9.58312892e-01   -2.27976138e-04   -9.58084916e-04   -9.58084916e-04    9.58084916e-04
