Index       TIME              V(VE)            V(OUT)      
0        0.00000000e+00    9.31892572e-01    2.98785867e-01
1        9.90099010e-09    9.92253913e-01   -3.21332563e-02
2        1.98019802e-08    1.05245019e+00   -3.58087220e-01
3        2.97029703e-08    1.11229171e+00   -6.87089240e-01
4        3.96039604e-08    1.17148122e+00   -1.00843353e+00
5        4.95049505e-08    1.22983528e+00   -1.33021660e+00
6        5.94059406e-08    1.28706377e+00   -1.64173017e+00
7        6.93069307e-08    1.34299267e+00   -1.95114494e+00
8        7.92079208e-08    1.39734254e+00   -2.24780081e+00
9        8.91089109e-08    1.44995179e+00   -2.53991795e+00
10       9.90099010e-08    1.50055523e+00   -2.81695038e+00
11       1.08910891e-07    1.54900641e+00   -3.08711884e+00
12       1.18811881e-07    1.59505794e+00   -3.34007915e+00
13       1.28712871e-07    1.63858083e+00   -3.58396322e+00
14       1.38613861e-07    1.67934896e+00   -3.80874923e+00
15       1.48514851e-07    1.71725240e+00   -4.02231169e+00
16       1.58415842e-07    1.75208989e+00   -4.21512793e+00
17       1.68316832e-07    1.78377062e+00   -4.39444037e+00
18       1.78217822e-07    1.81212220e+00   -4.55154939e+00
19       1.88118812e-07    1.83705768e+00   -4.69030611e+00
20       1.98019802e-07    1.85814933e+00   -4.76241824e+00
21       2.07920792e-07    1.87533980e+00   -4.77749440e+00
22       2.17821782e-07    1.88887092e+00   -4.78100129e+00
23       2.27722772e-07    1.89875794e+00   -4.78262374e+00
24       2.37623762e-07    1.90499274e+00   -4.78466950e+00
25       2.47524752e-07    1.90756225e+00   -4.78847506e+00
26       2.57425743e-07    1.90647411e+00   -4.79443926e+00
27       2.67326733e-07    1.90173675e+00   -4.80301354e+00
28       2.77227723e-07    1.89338428e+00   -4.81424122e+00
29       2.87128713e-07    1.88145091e+00   -4.82830623e+00
30       2.97029703e-07    1.86599935e+00   -4.84509284e+00
31       3.06930693e-07    1.84709023e+00   -4.86463699e+00
32       3.16831683e-07    1.82481572e+00   -4.88666499e+00
33       3.26732673e-07    1.79926194e+00   -4.91104438e+00
34       3.36633663e-07    1.77055066e+00   -4.93716886e+00
35       3.46534653e-07    1.73878944e+00   -4.96440760e+00
36       3.56435644e-07    1.70412364e+00   -4.99057644e+00
37       3.66336634e-07    1.66664421e+00   -5.00963601e+00
38       3.76237624e-07    1.62539608e+00   -4.85521591e+00
39       3.86138614e-07    1.57781005e+00   -4.14254378e+00
40       3.96039604e-07    1.52913447e+00   -3.64952581e+00
41       4.05940594e-07    1.47892531e+00   -3.26702917e+00
42       4.15841584e-07    1.42712510e+00   -2.95638819e+00
43       4.25742574e-07    1.37348964e+00   -2.64175245e+00
44       4.35643564e-07    1.31830866e+00   -2.33854064e+00
45       4.45544554e-07    1.26162641e+00   -2.01724005e+00
46       4.55445545e-07    1.20378879e+00   -1.70017162e+00
47       4.65346535e-07    1.14490908e+00   -1.36769240e+00
48       4.75247525e-07    1.08532916e+00   -1.03970651e+00
49       4.85148515e-07    1.02519101e+00   -7.00117452e-01
50       4.95049505e-07    9.64829265e-01   -3.66509300e-01
51       5.04950495e-07    9.04403175e-01   -2.49001393e-02
52       5.14851485e-07    8.44240340e-01    3.08804642e-01
53       5.24752475e-07    7.84510536e-01    6.47110067e-01
54       5.34653465e-07    7.25533405e-01    9.75357378e-01
55       5.44554455e-07    6.67484047e-01    1.30496548e+00
56       5.54455446e-07    6.10672458e-01    1.62224311e+00
57       5.64356436e-07    5.55274832e-01    1.93778818e+00
58       5.74257426e-07    5.01589428e-01    2.23868912e+00
59       5.84158416e-07    4.49790050e-01    2.53491256e+00
60       5.94059406e-07    4.00160839e-01    2.81419640e+00
61       6.03960396e-07    3.52870226e-01    3.08601760e+00
62       6.13861386e-07    3.08185259e-01    3.33867457e+00
63       6.23762376e-07    2.66265795e-01    3.58126762e+00
64       6.33663366e-07    2.27356878e-01    3.80260620e+00
65       6.43564356e-07    1.91604075e-01    4.01152230e+00
66       6.53465347e-07    1.59219621e-01    4.19734594e+00
67       6.63366337e-07    1.30320123e-01    4.36879139e+00
68       6.73267327e-07    1.05058913e-01    4.51583261e+00
69       6.83168317e-07    8.34866286e-02    4.64734441e+00
70       6.93069307e-07    6.56430148e-02    4.75424899e+00
71       7.02970297e-07    5.14439521e-02    4.84602676e+00
72       7.12871287e-07    4.07457986e-02    4.91489334e+00
73       7.22772277e-07    3.32780461e-02    4.97118951e+00
74       7.32673267e-07    2.87278130e-02    5.00814720e+00
75       7.42574257e-07    2.67311358e-02    5.03629081e+00
76       7.52475248e-07    2.69993930e-02    5.04854918e+00
77       7.62376238e-07    2.93181098e-02    5.05422463e+00
78       7.72277228e-07    3.36769784e-02    5.04450092e+00
79       7.82178218e-07    4.02085602e-02    5.02652131e+00
80       7.92079208e-07    4.92729072e-02    4.98940506e+00
81       8.01980198e-07    6.12699101e-02    4.93898851e+00
82       8.11881188e-07    7.66443868e-02    4.86437691e+00
83       8.21782178e-07    9.56434390e-02    4.77282297e+00
84       8.31683168e-07    1.18428201e-01    4.65536739e+00
85       8.41584158e-07    1.44945070e-01    4.52101842e+00
86       8.51485149e-07    1.75137760e-01    4.36182965e+00
87       8.61386139e-07    2.08812221e-01    4.18742544e+00
88       8.71287129e-07    2.45836707e-01    3.99008066e+00
89       8.81188119e-07    2.85970397e-01    3.77963737e+00
90       8.91089109e-07    3.29056716e-01    3.54840586e+00
91       9.00990099e-07    3.74834957e-01    3.30637385e+00
