Index       FREQ           Re(V(6,2))        Im(V(6,2))       Re(V(15,10))      Im(V(15,10))       Re(V(5,3))        Im(V(5,3))    
0       -2.00000000e+05   -2.98980731e-16   -1.05358916e-16   -4.05825467e-17   -1.90495644e-18    5.60187415e-12   -2.77938806e-11
1       -1.90000000e+05    1.49841047e-16    2.26047899e-16    2.32130089e-18   -1.36746936e-17   -4.10000801e-11    1.11884860e-11
2       -1.80000000e+05    1.87193824e-16    1.22771912e-16    8.21899749e-17    2.83072497e-17    2.58832305e-11    4.68573694e-11
3       -1.70000000e+05    3.99791027e-16    2.11995637e-16   -1.90197332e-17    7.88870074e-17    4.95189621e-11   -3.63912368e-11
4       -1.60000000e+05   -1.08489609e-16   -2.13589855e-16   -4.76658004e-17    1.43360455e-17   -3.92768005e-11   -4.65342155e-11
5       -1.50000000e+05    2.68939283e-17    1.86414546e-16    2.10503460e-18   -3.02359644e-17   -4.30754185e-11    7.89368678e-11
6       -1.40000000e+05    4.20026956e-16   -4.77599133e-18    5.85789806e-17   -4.77490008e-17    2.50096346e-11    3.55896532e-11
7       -1.30000000e+05    6.45287211e-17   -9.33055670e-17   -2.98914549e-17    4.04799253e-17    1.08248027e-11    6.92254504e-10
8       -1.20000000e+05    2.96446505e-18    5.15815369e-18   -4.74920132e-17   -2.09800833e-17    7.86507963e-13   -1.84560318e-11
9       -1.10000000e+05    3.04937244e-18   -9.44564906e-17    4.54267496e-17    5.19997791e-17   -1.11183067e-11   -1.17061035e-08
10      -1.00000000e+05   -5.38279108e-17   -1.33332531e-16   -2.57544603e-17    2.51396280e-18   -1.53258371e-11    7.01137006e-14
11      -9.00000000e+04    8.40417413e-17    4.97837624e-17    9.75567098e-17   -6.51579062e-17    6.64704068e-09   -5.95676433e-07
12      -8.00000000e+04    1.39846792e-17    1.31949801e-16    4.60792534e-17   -9.80145208e-17    9.78000066e-12    9.04548470e-12
13      -7.00000000e+04   -5.37174853e-16   -3.13831780e-16   -5.20084582e-17   -5.06272858e-17    8.83444610e-08   -3.12469235e-06
14      -6.00000000e+04    3.17026304e-16    3.39897927e-17   -2.85063671e-17    2.11119389e-17    2.82404078e-11   -7.83145230e-12
15      -5.00000000e+04    1.93834730e-16   -1.62865842e-17   -1.27030151e-17    2.17739529e-17   -1.80521553e-06    4.37528319e-04
16      -4.00000000e+04   -6.27154179e-17    3.60525545e-17   -4.87105884e-17    4.31263516e-17   -1.24531728e-10    5.95259288e-12
17      -3.00000000e+04   -2.74979087e-16   -7.96971106e-17    8.79660656e-17   -3.70982212e-18   -7.86027413e-05    1.99451166e-02
18      -2.00000000e+04   -5.90708072e-17    8.07324043e-17   -2.95716143e-17   -2.44064073e-17    2.56003473e-10   -4.90337347e-12
19      -1.00000000e+04    3.98577345e-16   -2.26456985e-16    6.90504564e-17    2.50000000e-02   -1.07296615e-03    6.36322967e-01
20       0.00000000e+00    5.00000000e-02    0.00000000e+00   -2.22044605e-16    0.00000000e+00   -3.21405125e-10    0.00000000e+00
21       1.00000000e+04    3.98577345e-16    2.26456985e-16    6.90504564e-17   -2.50000000e-02   -1.07296615e-03   -6.36322967e-01
22       2.00000000e+04   -5.90708072e-17   -8.07324043e-17   -2.95716143e-17    2.44064073e-17    2.56003473e-10    4.90337347e-12
23       3.00000000e+04   -2.74979087e-16    7.96971106e-17    8.79660656e-17    3.70982212e-18   -7.86027413e-05   -1.99451166e-02
24       4.00000000e+04   -6.27154179e-17   -3.60525545e-17   -4.87105884e-17   -4.31263516e-17   -1.24531728e-10   -5.95259288e-12
25       5.00000000e+04    1.93834730e-16    1.62865842e-17   -1.27030151e-17   -2.17739529e-17   -1.80521553e-06   -4.37528319e-04
26       6.00000000e+04    3.17026304e-16   -3.39897927e-17   -2.85063671e-17   -2.11119389e-17    2.82404078e-11    7.83145230e-12
27       7.00000000e+04   -5.37174853e-16    3.13831780e-16   -5.20084582e-17    5.06272858e-17    8.83444610e-08    3.12469235e-06
28       8.00000000e+04    1.39846792e-17   -1.31949801e-16    4.60792534e-17    9.80145208e-17    9.78000066e-12   -9.04548470e-12
29       9.00000000e+04    8.40417413e-17   -4.97837624e-17    9.75567098e-17    6.51579062e-17    6.64704068e-09    5.95676433e-07
30       1.00000000e+05   -5.38279108e-17    1.33332531e-16   -2.57544603e-17   -2.51396280e-18   -1.53258371e-11   -7.01137006e-14
31       1.10000000e+05    3.04937244e-18    9.44564906e-17    4.54267496e-17   -5.19997791e-17   -1.11183067e-11    1.17061035e-08
32       1.20000000e+05    2.96446505e-18   -5.15815369e-18   -4.74920132e-17    2.09800833e-17    7.86507963e-13    1.84560318e-11
33       1.30000000e+05    6.45287211e-17    9.33055670e-17   -2.98914549e-17   -4.04799253e-17    1.08248027e-11   -6.92254504e-10
34       1.40000000e+05    4.20026956e-16    4.77599133e-18    5.85789806e-17    4.77490008e-17    2.50096346e-11   -3.55896532e-11
35       1.50000000e+05    2.68939283e-17   -1.86414546e-16    2.10503460e-18    3.02359644e-17   -4.30754185e-11   -7.89368678e-11
36       1.60000000e+05   -1.08489609e-16    2.13589855e-16   -4.76658004e-17   -1.43360455e-17   -3.92768005e-11    4.65342155e-11
37       1.70000000e+05    3.99791027e-16   -2.11995637e-16   -1.90197332e-17   -7.88870074e-17    4.95189621e-11    3.63912368e-11
38       1.80000000e+05    1.87193824e-16   -1.22771912e-16    8.21899749e-17   -2.83072497e-17    2.58832305e-11   -4.68573694e-11
39       1.90000000e+05    1.49841047e-16   -2.26047899e-16    2.32130089e-18    1.36746936e-17   -4.10000801e-11   -1.11884860e-11
40       2.00000000e+05   -2.98980731e-16    1.05358916e-16   -4.05825467e-17    1.90495644e-18    5.60187415e-12    2.77938806e-11
End of Xyce(TM) Simulation
