Index       TIME          {V(VOUT)+1.0}     {V(IN)+4.0}       {V(1)+4.0}         IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
0        0.00000000e+00    3.91210983e+00    3.99875273e+00    4.00000000e+00    9.07388384e-07    3.39885280e-07    2.90358594e-04    1.93826222e-08   -2.91265983e-04
1        1.63934426e-07    3.89066726e+00    4.30714634e+00    4.30846299e+00    9.09257092e-07    4.07394894e-07    3.22267538e-04    3.41833432e-05   -3.23176796e-04
2        3.27868852e-07    3.83754335e+00    4.61233879e+00    4.61365620e+00    9.77054768e-07    3.40349263e-07    4.18778366e-04    1.35979317e-04   -4.19755421e-04
3        4.91803279e-07    3.73801899e+00    4.91095219e+00    4.91234450e+00    9.91322481e-07    4.00980891e-07    5.73484926e-04    3.00845397e-04   -5.74476249e-04
4        6.55737705e-07    3.56027050e+00    5.19993066e+00    5.20136172e+00    1.14544987e-06    2.85608477e-07    7.76992736e-04    5.22114074e-04   -7.78138186e-04
5        8.19672131e-07    3.19739784e+00    5.47599230e+00    5.47764420e+00    1.15954495e-06    4.92357208e-07    1.00768761e-03    7.89740105e-04   -1.00884715e-03
6        9.83606557e-07    1.85060956e+00    5.73679384e+00    5.73826329e+00    6.54618172e-07    8.14831448e-07    8.92162692e-04    8.08428134e-04   -8.92817313e-04
7        1.14754098e-06    1.42180083e+00    5.97939876e+00    5.98045636e+00    3.75830954e-07    6.81772841e-07    5.82258035e-04    5.40482166e-04   -5.82633870e-04
8        1.31147541e-06    1.22153538e+00    6.20071559e+00    6.20165610e+00    4.38720400e-07    5.01790674e-07    3.56981494e-04    3.35447070e-04   -3.57420219e-04
9        1.47540984e-06    1.11253414e+00    6.39877226e+00    6.39951773e+00    3.20010303e-07    4.25462316e-07    2.01862035e-04    1.90908287e-04   -2.02182049e-04
10       1.63934426e-06    1.05299483e+00    6.57129253e+00    6.57194388e+00    3.29930461e-07    3.21420768e-07    1.02510848e-04    9.76226371e-05   -1.02840782e-04
11       1.80327869e-06    1.02183214e+00    6.71661152e+00    6.71710679e+00    2.22094163e-07    2.73170468e-07    4.46780419e-05    4.26836969e-05   -4.49001402e-05
12       1.96721311e-06    1.00731876e+00    6.83306636e+00    6.83346769e+00    2.18651388e-07    1.82675921e-07    1.53954635e-05    1.49277146e-05   -1.56141190e-05
13       2.13114754e-06    1.00164469e+00    6.91953641e+00    6.91979312e+00    1.08593414e-07    1.48120701e-07    3.48772403e-06    3.39834461e-06   -3.59632161e-06
14       2.29508197e-06    1.00019011e+00    6.97500771e+00    6.97516802e+00    1.02442912e-07    5.78733404e-08    2.73423004e-07    3.88957968e-07   -3.75870076e-07
15       2.45901639e-06    9.99986320e-01    6.99898575e+00    6.99900540e+00   -1.30506746e-08    3.27054422e-08   -1.42930778e-08   -5.49943015e-08    2.73395924e-08
16       2.62295082e-06    1.00002591e+00    6.99113113e+00    6.99105258e+00   -1.46749288e-08   -6.38732188e-08    8.86487409e-08    9.81467325e-08   -7.39779719e-08
17       2.78688525e-06    1.00054542e+00    6.95161190e+00    6.95139385e+00   -1.37769731e-07   -8.02794592e-08    1.41483671e-06    1.19674010e-06   -1.27707114e-06
