Index       FREQ          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}        Re(IG(MP1))       Im(IG(MP1))       Re(IG(MN1))       Im(IG(MN1))       Re(IS(MP1))       Im(IS(MP1))       Re(ID(MN1))       Im(ID(MN1))       Re(ID(MP1))       Im(ID(MP1))   
0       -2.00000000e+07    1.00003768e+00    3.99999952e+00    4.00000000e+00    1.95985509e-10   -1.54826501e-09    2.87432302e-10    1.12323238e-09    3.39607374e-08    1.07704234e-08    2.75998016e-08   -1.24990237e-08   -3.41567229e-08   -9.22215810e-09
1       -1.99000000e+07    1.00027507e+00    4.00000077e+00    4.00000000e+00   -1.79541727e-09   -1.73713041e-09    1.02494157e-09    6.62622074e-10    4.15085227e-08   -4.63883442e-08    1.55391884e-08   -1.80301619e-08   -3.97131051e-08    4.81254743e-08
2       -1.98000000e+07    9.99748913e-01    4.00000051e+00    4.00000000e+00   -1.63959562e-09    3.64916463e-10    1.12804334e-09    2.24626494e-10   -1.46190196e-08   -3.43285210e-08    9.79245253e-09   -2.95124571e-08    1.62586149e-08    3.39636045e-08
3       -1.97000000e+07    1.00018947e+00    4.00000014e+00    4.00000000e+00   -1.41256174e-09    3.57313290e-11    1.27655495e-09   -5.69035694e-10    3.76560373e-09   -3.13513576e-08   -1.66072771e-08   -2.90787428e-08   -2.35304172e-09    3.13156263e-08
4       -1.96000000e+07    9.99745313e-01    4.00000090e+00    4.00000000e+00   -1.56812270e-09    1.88132532e-09    6.72405257e-10   -9.34263787e-10   -4.81472431e-08   -3.76125163e-08   -2.08404316e-08   -1.12085995e-08    4.97153654e-08    3.57311906e-08
5       -1.95000000e+07    9.99891128e-01    3.99999922e+00    4.00000000e+00    5.85165686e-10    1.67955479e-09    1.97711161e-10   -1.18086471e-09   -3.63409990e-08    1.99663321e-08   -2.82694016e-08   -7.44421074e-09    3.57558331e-08   -2.16458865e-08
6       -1.94000000e+07    1.00004170e+00    4.00000019e+00    4.00000000e+00    2.28761700e-10    1.27423597e-09   -4.19409648e-10   -9.70980509e-10   -2.70378928e-08    1.49210538e-09   -2.90821595e-08    1.88409487e-08    2.68091312e-08   -2.76634156e-09
7       -1.93000000e+07    9.99726920e-01    3.99999907e+00    4.00000000e+00    1.94190760e-09    1.38793708e-09   -1.01520543e-09   -5.26244212e-10   -3.43691780e-08    4.93255890e-08   -7.99975876e-09    2.36486925e-08    3.24272700e-08   -5.07135257e-08
8       -1.92000000e+07    1.00030020e+00    3.99999916e+00    4.00000000e+00    1.67602367e-09   -7.88537114e-10   -8.39196146e-10    2.37435816e-10    2.58952207e-08    3.78164806e-08   -4.11889864e-09    2.68058069e-08   -2.75712439e-08   -3.70279433e-08
9       -1.91000000e+07    9.99879337e-01    3.99999991e+00    4.00000000e+00    1.09970431e-09   -4.20368180e-10   -1.00731462e-09    6.34643145e-10    5.96400115e-09    2.22518774e-08    2.01350978e-08    2.87582390e-08   -7.06370563e-09   -2.18315094e-08
10      -1.90000000e+07    1.00021496e+00    3.99999892e+00    4.00000000e+00    1.19082012e-09   -1.97025249e-09   -1.14033335e-10    1.37673952e-09    5.05287198e-08    3.09091148e-08    2.70601072e-08    5.01004927e-09   -5.17195396e-08   -2.89388619e-08
11      -1.89000000e+07    1.00016428e+00    4.00000082e+00    4.00000000e+00   -1.01392036e-09   -1.67457976e-09    1.94802667e-10    1.05769430e-09    3.83381724e-08   -3.17134548e-08    2.46800999e-08    4.28208678e-10   -3.73242518e-08    3.33880341e-08
