Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
0        2.00000000e-05    3.91212331e+00    3.99873083e+00    4.00000000e+00    8.68649929e-07    3.24687629e-07    2.90374778e-04    1.58260716e-08   -2.91243428e-04
1        2.00001000e-05    3.91211771e+00    3.99891910e+00    4.00018850e+00    8.90525589e-07    3.78872203e-07    2.90315654e-04    4.03804438e-12   -2.91206180e-04
2        2.00003000e-05    3.91210666e+00    3.99929576e+00    4.00056549e+00    8.90643851e-07    3.79081215e-07    2.90314499e-04    4.03802905e-12   -2.91205143e-04
3        2.00007000e-05    3.91208461e+00    4.00004928e+00    4.00131947e+00    8.90835955e-07    3.79349681e-07    2.90312118e-04    4.91864657e-12   -2.91202954e-04
4        2.00015000e-05    3.91204024e+00    4.00155672e+00    4.00282743e+00    8.91147278e-07    3.79561240e-07    2.90308213e-04    8.82711293e-10   -2.91199360e-04
5        2.00031000e-05    3.91194986e+00    4.00457218e+00    4.00584336e+00    8.91549162e-07    3.79632955e-07    2.90305371e-04    7.58370159e-09   -2.91196920e-04
6        2.00063000e-05    3.91176257e+00    4.01060346e+00    4.01187519e+00    8.92073659e-07    3.79656757e-07    2.90319101e-04    4.07701285e-08   -2.91211174e-04
7        2.00127000e-05    3.91136192e+00    4.02266601e+00    4.02393868e+00    8.93011406e-07    3.79656465e-07    2.90423198e-04    1.86278908e-07   -2.91316210e-04
8        2.00255000e-05    3.91045489e+00    4.04678981e+00    4.04806431e+00    8.94865270e-07    3.79635776e-07    2.90937324e-04    7.93795682e-07   -2.91832190e-04
9        2.00511000e-05    3.90820555e+00    4.09502655e+00    4.09630468e+00    8.98579477e-07    3.79550405e-07    2.93187195e-04    3.27411884e-06   -2.94085774e-04
10       2.00767000e-05    3.90535177e+00    4.14323726e+00    4.14452014e+00    9.03531105e-07    3.79345570e-07    2.97059526e-04    7.43902840e-06   -2.97963058e-04
11       2.01023000e-05    3.90186189e+00    4.19141060e+00    4.19269820e+00    9.08551111e-07    3.79051522e-07    3.02548226e-04    1.32842202e-05   -3.03456777e-04
12       2.01279000e-05    3.89770258e+00    4.23953412e+00    4.24082641e+00    9.13631488e-07    3.78659534e-07    3.09643995e-04    2.08036158e-05   -3.10557626e-04
13       2.01535000e-05    3.89283819e+00    4.28759536e+00    4.28889232e+00    9.18789117e-07    3.78169439e-07    3.18335428e-04    2.99893993e-05   -3.19254217e-04
14       2.01791000e-05    3.88723046e+00    4.33558185e+00    4.33688348e+00    9.24043732e-07    3.77581338e-07    3.28609125e-04    4.08320273e-05   -3.29533168e-04
15       2.02021400e-05    3.88151418e+00    4.37869529e+00    4.38000136e+00    9.29137138e-07    3.76930757e-07    3.39194911e-04    5.19976592e-05   -3.40124048e-04
16       2.02251800e-05    3.87512981e+00    4.42172927e+00    4.42303960e+00    9.34094820e-07    3.76236128e-07    3.51037855e-04    6.44868953e-05   -3.51971950e-04
17       2.02482200e-05    3.86804273e+00    4.46467454e+00    4.46598919e+00    9.39180423e-07    3.75460633e-07    3.64123278e-04    7.82891807e-05   -3.65062459e-04
