Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
0        0.00000000e+00    3.91195120e+00    4.00000000e+00    4.00000000e+00    0.00000000e+00    0.00000000e+00    2.91195043e-04    4.03781348e-12   -2.91195043e-04
1        1.00000000e-10    3.91196022e+00    4.00002727e+00    4.00018850e+00    1.06292384e-07    5.49324151e-08    2.91098760e-04    4.30747476e-12   -2.91205052e-04
2        3.00000000e-10    3.91198091e+00    4.00015685e+00    4.00056549e+00    2.78137095e-07    1.30503738e-07    2.90930308e-04    1.29575491e-11   -2.91208445e-04
3        5.00000000e-10    3.91199975e+00    4.00031810e+00    4.00094248e+00    4.30055510e-07    1.94320183e-07    2.90778464e-04    4.07269760e-11   -2.91208520e-04
4        9.00000000e-10    3.91202049e+00    4.00078530e+00    4.00169646e+00    6.34926747e-07    2.76229665e-07    2.90569213e-04    2.27641649e-10   -2.91204140e-04
5        1.70000000e-09    3.91201440e+00    4.00203178e+00    4.00320442e+00    8.21165697e-07    3.51476259e-07    2.90378391e-04    1.50081853e-09   -2.91199557e-04
6        3.30000000e-09    3.91193952e+00    4.00494250e+00    4.00622035e+00    8.96433461e-07    3.81417897e-07    2.90300404e-04    8.86124703e-09   -2.91196838e-04
7        4.90000000e-09    3.91184556e+00    4.00796491e+00    4.00923627e+00    8.91754598e-07    3.79601090e-07    2.90310037e-04    2.30060557e-08   -2.91201791e-04
8        8.10000000e-09    3.91165367e+00    4.01399557e+00    4.01526807e+00    8.92872667e-07    3.79633581e-07    2.90337296e-04    7.10247506e-08   -2.91230169e-04
9        1.13000000e-08    3.91145273e+00    4.02002689e+00    4.02129982e+00    8.93249816e-07    3.79684301e-07    2.90391113e-04    1.45426259e-07   -2.91284363e-04
10       1.77000000e-08    3.91102496e+00    4.03208881e+00    4.03336303e+00    8.94631907e-07    3.79588676e-07    2.90574182e-04    3.73349664e-07   -2.91468814e-04
11       3.05000000e-08    3.91006234e+00    4.05621101e+00    4.05748763e+00    8.96982105e-07    3.79632835e-07    2.91246878e-04    1.14564033e-06   -2.92143860e-04
12       5.61000000e-08    3.90769794e+00    4.10444267e+00    4.10572411e+00    9.02058263e-07    3.79387905e-07    2.93812365e-04    3.95512578e-06   -2.94714424e-04
13       8.17000000e-08    3.90472247e+00    4.15264708e+00    4.15393325e+00    9.06957540e-07    3.79204203e-07    2.98000971e-04    8.44853066e-06   -2.98907929e-04
14       1.07300000e-07    3.90110470e+00    4.20081167e+00    4.20210255e+00    9.12115709e-07    3.78761191e-07    3.03804031e-04    1.46211657e-05   -3.04716147e-04
15       1.32900000e-07    3.89681058e+00    4.24892404e+00    4.25021957e+00    9.17149305e-07    3.78382277e-07    3.11212389e-04    2.24666188e-05   -3.12129538e-04
16       1.58500000e-07    3.89180430e+00    4.29697165e+00    4.29827185e+00    9.22461258e-07    3.77742178e-07    3.20213636e-04    3.19767262e-05   -3.21136098e-04
17       1.84100000e-07    3.88604672e+00    4.34494209e+00    4.34624697e+00    9.27704339e-07    3.77167897e-07    3.30794565e-04    4.31416141e-05   -3.31722269e-04
