Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
0        2.00000000e-05    3.91209793e+00    3.99872308e+00    4.00000000e+00    9.28027516e-07    3.51229881e-07    2.90440961e-04    4.03801694e-12   -2.91368988e-04
1        2.00001000e-05    3.91210703e+00    3.99891678e+00    4.00018850e+00    8.81915905e-07    3.89800171e-07    2.90337898e-04    4.03802957e-12   -2.91219814e-04
2        2.00003000e-05    3.91210373e+00    3.99929604e+00    4.00056549e+00    8.87754968e-07    3.81692955e-07    2.90320968e-04    4.03802499e-12   -2.91208724e-04
3        2.00007000e-05    3.91208407e+00    4.00004997e+00    4.00131947e+00    8.89937408e-07    3.79557798e-07    2.90313561e-04    4.94349341e-12   -2.91203498e-04
4        2.00015000e-05    3.91204015e+00    4.00155711e+00    4.00282743e+00    8.90840234e-07    3.79484122e-07    2.90308567e-04    8.83145008e-10   -2.91199407e-04
5        2.00031000e-05    3.91194984e+00    4.00457230e+00    4.00584336e+00    8.91461817e-07    3.79599766e-07    2.90305462e-04    7.58410123e-09   -2.91196923e-04
6        2.00063000e-05    3.91176257e+00    4.01060348e+00    4.01187519e+00    8.92058105e-07    3.79650540e-07    2.90319116e-04    4.07702959e-08   -2.91211175e-04
7        2.00127000e-05    3.91136192e+00    4.02266602e+00    4.02393868e+00    8.93009870e-07    3.79655848e-07    2.90423200e-04    1.86278943e-07   -2.91316210e-04
8        2.00255000e-05    3.91045489e+00    4.04678981e+00    4.04806431e+00    8.94865190e-07    3.79635744e-07    2.90937324e-04    7.93795686e-07   -2.91832190e-04
9        2.00511000e-05    3.90820555e+00    4.09502655e+00    4.09630468e+00    8.98579475e-07    3.79550404e-07    2.93187195e-04    3.27411884e-06   -2.94085774e-04
10       2.01023000e-05    3.90186050e+00    4.19141293e+00    4.19269820e+00    9.06068227e-07    3.79207700e-07    3.02552132e-04    1.32845432e-05   -3.03458200e-04
11       2.01535000e-05    3.89283659e+00    4.28759769e+00    4.28889232e+00    9.16210672e-07    3.78414513e-07    3.18339709e-04    2.99898860e-05   -3.19255920e-04
12       2.02047000e-05    3.88083628e+00    4.38348351e+00    4.38478748e+00    9.26730541e-07    3.77238393e-07    3.40454350e-04    5.33208899e-05   -3.41381080e-04
13       2.02559000e-05    3.86551532e+00    4.47897101e+00    4.48028446e+00    9.37777788e-07    3.75671305e-07    3.68764506e-04    8.31806762e-05   -3.69702284e-04
14       2.03071000e-05    3.84646754e+00    4.57396115e+00    4.57528444e+00    9.49571901e-07    3.73714560e-07    4.03105254e-04    1.19445275e-04   -4.04054827e-04
15       2.03583000e-05    3.82320542e+00    4.66835534e+00    4.66968910e+00    9.62390455e-07    3.71369950e-07    4.43276839e-04    1.61964122e-04   -4.44239230e-04
16       2.04095000e-05    3.79513178e+00    4.76205553e+00    4.76340076e+00    9.76589891e-07    3.68639589e-07    4.89042406e-04    2.10560650e-04   -4.90018996e-04
17       2.04607000e-05    3.76149768e+00    4.85496428e+00    4.85632244e+00    9.92637154e-07    3.65525861e-07    5.40124414e-04    2.65032975e-04   -5.41117051e-04
18       2.05119000e-05    3.72133705e+00    4.94698480e+00    4.94835799e+00    1.01115865e-06    3.62031355e-07    5.96198770e-04    3.25154663e-04   -5.97209929e-04
19       2.05631000e-05    3.67336032e+00    5.03802099e+00    5.03941217e+00    1.03301910e-06    3.58158739e-07    6.56884862e-04    3.90675554e-04   -6.57917881e-04
20       2.06091800e-05    3.62203078e+00    5.11903187e+00    5.12044395e+00    1.05794617e-06    3.54129711e-07    7.15068264e-04    4.54034527e-04   -7.16126211e-04
21       2.06506520e-05    3.56767002e+00    5.19113576e+00    5.19257148e+00    1.08508059e-06    3.50215318e-07    7.69950161e-04    5.14430241e-04   -7.71035242e-04
22       2.06879768e-05    3.51042332e+00    5.25533334e+00    5.25679535e+00    1.11497523e-06    3.46459640e-07    8.21116750e-04    5.71376130e-04   -8.22231725e-04
