Index     V(BASE)     V(COLL)     I(V_COLL)     I(V_BASE)
0     7.500000000E-01     5.000000000E-01     3.930137027E-04     3.983379100E-06
1     7.600000000E-01     5.000000000E-01     5.740612613E-04     5.837656800E-06
2     7.700000000E-01     5.000000000E-01     8.354794876E-04     8.536523500E-06
3     7.800000000E-01     5.000000000E-01     1.209672100E-03     1.244371440E-05
4     7.900000000E-01     5.000000000E-01     1.738837100E-03     1.805749420E-05
5     8.000000000E-01     5.000000000E-01     2.475017300E-03     2.603941040E-05
6     8.100000000E-01     5.000000000E-01     3.477709500E-03     3.723175310E-05
7     8.200000000E-01     5.000000000E-01     4.808141800E-03     5.265046790E-05
8     8.300000000E-01     5.000000000E-01     6.520575400E-03     7.344133110E-05
9     8.400000000E-01     5.000000000E-01     8.652909800E-03     1.007957235E-04
10     8.500000000E-01     5.000000000E-01     1.122005990E-02     1.358357536E-04
11     8.600000000E-01     5.000000000E-01     1.421263590E-02     1.794889430E-04
12     8.700000000E-01     5.000000000E-01     1.760086180E-02     2.323742697E-04
13     8.800000000E-01     5.000000000E-01     2.134146450E-02     2.947155508E-04
14     8.900000000E-01     5.000000000E-01     2.538485330E-02     3.662903373E-04
15     9.000000000E-01     5.000000000E-01     2.968085860E-02     4.464159725E-04
16     9.100000000E-01     5.000000000E-01     3.418248220E-02     5.339696679E-04
17     9.200000000E-01     5.000000000E-01     3.884786960E-02     6.274362055E-04
18     9.300000000E-01     5.000000000E-01     4.364098410E-02     7.249753225E-04
19     9.400000000E-01     5.000000000E-01     4.853145670E-02     8.245010378E-04
20     9.500000000E-01     5.000000000E-01     5.349397440E-02     9.237667446E-04
21     9.600000000E-01     5.000000000E-01     5.850744400E-02     1.020452200E-03
22     9.700000000E-01     5.000000000E-01     6.355406730E-02     1.112251600E-03
23     9.800000000E-01     5.000000000E-01     6.861837600E-02     1.196963800E-03
24     9.900000000E-01     5.000000000E-01     7.368619420E-02     1.272592900E-03
25     1.000000000E+00     5.000000000E-01     7.874339930E-02     1.337470700E-03
26     1.010000000E+00     5.000000000E-01     8.377418850E-02     1.390432500E-03
27     1.020000000E+00     5.000000000E-01     8.875830130E-02     1.431100300E-03
28     1.030000000E+00     5.000000000E-01     9.366624780E-02     1.460377400E-03
29     1.040000000E+00     5.000000000E-01     9.845126210E-02     1.481317900E-03
30     1.050000000E+00     5.000000000E-01     1.030374395E-01     1.500530600E-03
0     7.500000000E-01     1.000000000E+00     3.962113369E-04     4.045411100E-06
1     7.600000000E-01     1.000000000E+00     5.806353525E-04     5.968586900E-06
2     7.700000000E-01     1.000000000E+00     8.488646702E-04     8.811632600E-06
3     7.800000000E-01     1.000000000E+00     1.236558600E-03     1.301800200E-05
4     7.900000000E-01     1.000000000E+00     1.791846300E-03     1.924512380E-05
5     8.000000000E-01     1.000000000E+00     2.576941800E-03     2.846331500E-05
6     8.100000000E-01     1.000000000E+00     3.667396600E-03     4.209091770E-05
7     8.200000000E-01     1.000000000E+00     5.147110200E-03     6.216524860E-05
8     8.300000000E-01     1.000000000E+00     7.097954200E-03     9.153183400E-05
9     8.400000000E-01     1.000000000E+00     9.585244100E-03     1.340055452E-04
10     8.500000000E-01     1.000000000E+00     1.264336570E-02     1.944241086E-04
11     8.600000000E-01     1.000000000E+00     1.626705700E-02     2.784980461E-04
12     8.700000000E-01     1.000000000E+00     2.041165830E-02     3.923903095E-04
13     8.800000000E-01     1.000000000E+00     2.500169790E-02     5.420491111E-04
14     8.900000000E-01     1.000000000E+00     2.994431050E-02     7.324397657E-04
15     9.000000000E-01     1.000000000E+00     3.514327420E-02     9.668980886E-04
16     9.100000000E-01     1.000000000E+00     4.051032170E-02     1.246790900E-03
17     9.200000000E-01     1.000000000E+00     4.597204040E-02     1.571535200E-03
18     9.300000000E-01     1.000000000E+00     5.147237710E-02     1.938890200E-03
19     9.400000000E-01     1.000000000E+00     5.697190410E-02     2.345373600E-03
20     9.500000000E-01     1.000000000E+00     6.244531760E-02     2.786674200E-03
21     9.600000000E-01     1.000000000E+00     6.787837770E-02     3.257985300E-03
22     9.700000000E-01     1.000000000E+00     7.326502260E-02     3.754239100E-03
23     9.800000000E-01     1.000000000E+00     7.860498230E-02     4.270250900E-03
24     9.900000000E-01     1.000000000E+00     8.390195740E-02     4.800791400E-03
25     1.000000000E+00     1.000000000E+00     8.916230210E-02     5.340611100E-03
26     1.010000000E+00     1.000000000E+00     9.439410800E-02     5.884431400E-03
27     1.020000000E+00     1.000000000E+00     9.960658570E-02     6.426915300E-03
28     1.030000000E+00     1.000000000E+00     1.048096580E-01     6.962625600E-03
29     1.040000000E+00     1.000000000E+00     1.100136946E-01     7.485976400E-03
30     1.050000000E+00     1.000000000E+00     1.152293372E-01     7.991180000E-03
0     7.500000000E-01     1.500000000E+00     3.994843105E-04     4.109371500E-06
1     7.600000000E-01     1.500000000E+00     5.874282541E-04     6.105345400E-06
2     7.700000000E-01     1.500000000E+00     8.628762663E-04     9.104254300E-06
3     7.800000000E-01     1.500000000E+00     1.265202700E-03     1.364445130E-05
4     7.900000000E-01     1.500000000E+00     1.849650800E-03     2.058615590E-05
5     8.000000000E-01     1.500000000E+00     2.691457800E-03     3.133018700E-05
6     8.100000000E-01     1.500000000E+00     3.888499400E-03     4.819680120E-05
7     8.200000000E-01     1.500000000E+00     5.559474200E-03     7.506855470E-05
8     8.300000000E-01     1.500000000E+00     7.833416400E-03     1.184198520E-04
9     8.400000000E-01     1.500000000E+00     1.082665500E-02     1.887688424E-04
10     8.500000000E-01     1.500000000E+00     1.460699580E-02     3.022006734E-04
11     8.600000000E-01     1.500000000E+00     1.915343910E-02     4.807616889E-04
12     8.700000000E-01     1.500000000E+00     2.433275470E-02     7.497855423E-04
13     8.800000000E-01     1.500000000E+00     2.991988680E-02     1.131530200E-03
14     8.900000000E-01     1.500000000E+00     3.566394050E-02     1.638444500E-03
15     9.000000000E-01     1.500000000E+00     4.135845550E-02     2.271004900E-03
16     9.100000000E-01     1.500000000E+00     4.687328130E-02     3.020807100E-03
17     9.200000000E-01     1.500000000E+00     5.214694560E-02     3.875367500E-03
18     9.300000000E-01     1.500000000E+00     5.716348980E-02     4.821668600E-03
19     9.400000000E-01     1.500000000E+00     6.193155320E-02     5.847884700E-03
20     9.500000000E-01     1.500000000E+00     6.647075940E-02     6.943895400E-03
21     9.600000000E-01     1.500000000E+00     7.080423590E-02     8.101231300E-03
22     9.700000000E-01     1.500000000E+00     7.495496330E-02     9.312828300E-03
23     9.800000000E-01     1.500000000E+00     7.894421100E-02     1.057275620E-02
24     9.900000000E-01     1.500000000E+00     8.279101950E-02     1.187598210E-02
25     1.000000000E+00     1.500000000E+00     8.651217220E-02     1.321817960E-02
26     1.010000000E+00     1.500000000E+00     9.012237370E-02     1.459558110E-02
27     1.020000000E+00     1.500000000E+00     9.363449850E-02     1.600486440E-02
28     1.030000000E+00     1.500000000E+00     9.705984710E-02     1.744306590E-02
29     1.040000000E+00     1.500000000E+00     1.004083821E-01     1.890751310E-02
30     1.050000000E+00     1.500000000E+00     1.036889364E-01     2.039577230E-02
End of Xyce(TM) Parameter Sweep
