Index    V(BASE)    V(COLL)    I(V_COLL)    I(V_BASE)
0    3.0000000000E-01    5.0000000000E-01    1.1802781000E-11    2.1172646970E-13
1    3.2000000000E-01    5.0000000000E-01    2.4737378800E-11    3.8207631500E-13
2    3.4000000000E-01    5.0000000000E-01    5.2787330100E-11    7.0452671470E-13
3    3.6000000000E-01    5.0000000000E-01    1.1358897160E-10    1.3565468000E-12
4    3.8000000000E-01    5.0000000000E-01    2.4535681820E-10    2.7226693000E-12
5    4.0000000000E-01    5.0000000000E-01    5.3089327380E-10    5.6360749000E-12
6    4.2000000000E-01    5.0000000000E-01    1.1496145000E-09    1.1902201400E-11
7    4.4000000000E-01    5.0000000000E-01    2.4902770000E-09    2.5432878000E-11
8    4.6000000000E-01    5.0000000000E-01    5.3952349000E-09    5.4704324300E-11
9    4.8000000000E-01    5.0000000000E-01    1.1689692300E-08    1.1808280690E-10
10    5.0000000000E-01    5.0000000000E-01    2.5328479700E-08    2.5536393600E-10
11    5.2000000000E-01    5.0000000000E-01    5.4880865500E-08    5.5277670260E-10
12    5.4000000000E-01    5.0000000000E-01    1.1891455610E-07    1.1971607000E-09
13    5.6000000000E-01    5.0000000000E-01    2.5766137000E-07    2.5933563000E-09
14    5.8000000000E-01    5.0000000000E-01    5.5829271510E-07    5.6185580000E-09
15    6.0000000000E-01    5.0000000000E-01    1.2096784000E-06    1.2173409100E-08
16    6.2000000000E-01    5.0000000000E-01    2.6209993000E-06    2.6375931400E-08
17    6.4000000000E-01    5.0000000000E-01    5.6785680000E-06    5.7147604700E-08
18    6.6000000000E-01    5.0000000000E-01    1.2301392700E-05    1.2381221990E-07
19    6.8000000000E-01    5.0000000000E-01    2.6640518700E-05    2.6820401020E-07
20    7.0000000000E-01    5.0000000000E-01    5.7656215800E-05    5.8078617270E-07
21    7.2000000000E-01    5.0000000000E-01    1.2459866670E-04    1.2566619000E-06
22    7.4000000000E-01    5.0000000000E-01    2.6839320070E-04    2.7140871000E-06
23    7.6000000000E-01    5.0000000000E-01    5.7406126130E-04    5.8376568000E-06
24    7.8000000000E-01    5.0000000000E-01    1.2096721000E-03    1.2443714400E-05
25    8.0000000000E-01    5.0000000000E-01    2.4750173000E-03    2.6039410400E-05
26    8.2000000000E-01    5.0000000000E-01    4.8081418000E-03    5.2650467900E-05
27    8.4000000000E-01    5.0000000000E-01    8.6529098000E-03    1.0079572350E-04
28    8.6000000000E-01    5.0000000000E-01    1.4212635900E-02    1.7948894300E-04
29    8.8000000000E-01    5.0000000000E-01    2.1341464500E-02    2.9471555080E-04
30    9.0000000000E-01    5.0000000000E-01    2.9680858600E-02    4.4641597250E-04
31    9.2000000000E-01    5.0000000000E-01    3.8847869600E-02    6.2743620550E-04
32    9.4000000000E-01    5.0000000000E-01    4.8531456500E-02    8.2450103640E-04
33    9.6000000000E-01    5.0000000000E-01    5.8507443900E-02    1.0204522000E-03
34    9.8000000000E-01    5.0000000000E-01    6.8618376000E-02    1.1969638000E-03
35    1.0000000000E+00    5.0000000000E-01    7.8743399300E-02    1.3374707000E-03
36    1.0200000000E+00    5.0000000000E-01    8.8758301300E-02    1.4311003000E-03
37    1.0400000000E+00    5.0000000000E-01    9.8451262100E-02    1.4813179000E-03
0    3.0000000000E-01    1.0000000000E+00    1.2802758900E-11    -2.8828328610E-13
1    3.2000000000E-01    1.0000000000E+00    2.5737356700E-11    -1.1791956300E-13
2    3.4000000000E-01    1.0000000000E+00    5.3787363500E-11    2.0453083670E-13
3    3.6000000000E-01    1.0000000000E+00    1.1458906050E-10    8.5655094120E-13
4    3.8000000000E-01    1.0000000000E+00    2.4635699040E-10    2.2226734000E-12
