Index    V(COLL)    V(BASE)    I(V_COLL)    I(V_BASE)
0    0.0000000000E+00    6.0000000000E-01    -1.4596562000E-12    1.2174033400E-08
1    5.0000000000E-02    6.0000000000E-01    1.0345873000E-06    1.2173311000E-08
2    1.0000000000E-01    6.0000000000E-01    1.1843108000E-06    1.2173235700E-08
3    1.5000000000E-01    6.0000000000E-01    1.2059799000E-06    1.2173246200E-08
4    2.0000000000E-01    6.0000000000E-01    1.2091194000E-06    1.2173268100E-08
5    2.5000000000E-01    6.0000000000E-01    1.2095778000E-06    1.2173291400E-08
6    3.0000000000E-01    6.0000000000E-01    1.2096482000E-06    1.2173314900E-08
7    3.5000000000E-01    6.0000000000E-01    1.2096625000E-06    1.2173338500E-08
8    4.0000000000E-01    6.0000000000E-01    1.2096686000E-06    1.2173362000E-08
9    4.5000000000E-01    6.0000000000E-01    1.2096736000E-06    1.2173385600E-08
10    5.0000000000E-01    6.0000000000E-01    1.2096784000E-06    1.2173409100E-08
11    5.5000000000E-01    6.0000000000E-01    1.2096832000E-06    1.2173432700E-08
12    6.0000000000E-01    6.0000000000E-01    1.2096880000E-06    1.2173456200E-08
13    6.5000000000E-01    6.0000000000E-01    1.2096927000E-06    1.2173479800E-08
14    7.0000000000E-01    6.0000000000E-01    1.2096975000E-06    1.2173503300E-08
15    7.5000000000E-01    6.0000000000E-01    1.2097023000E-06    1.2173526900E-08
16    8.0000000000E-01    6.0000000000E-01    1.2097070000E-06    1.2173550400E-08
17    8.5000000000E-01    6.0000000000E-01    1.2097118000E-06    1.2173574000E-08
18    9.0000000000E-01    6.0000000000E-01    1.2097166000E-06    1.2173597500E-08
19    9.5000000000E-01    6.0000000000E-01    1.2097213000E-06    1.2173621100E-08
20    1.0000000000E+00    6.0000000000E-01    1.2097261000E-06    1.2173644600E-08
21    1.0500000000E+00    6.0000000000E-01    1.2097309000E-06    1.2173668200E-08
22    1.1000000000E+00    6.0000000000E-01    1.2097356000E-06    1.2173691800E-08
23    1.1500000000E+00    6.0000000000E-01    1.2097404000E-06    1.2173715300E-08
24    1.2000000000E+00    6.0000000000E-01    1.2097451000E-06    1.2173738900E-08
25    1.2500000000E+00    6.0000000000E-01    1.2097499000E-06    1.2173762400E-08
26    1.3000000000E+00    6.0000000000E-01    1.2097547000E-06    1.2173786000E-08
27    1.3500000000E+00    6.0000000000E-01    1.2097594000E-06    1.2173809500E-08
28    1.4000000000E+00    6.0000000000E-01    1.2097642000E-06    1.2173833100E-08
29    1.4500000000E+00    6.0000000000E-01    1.2097690000E-06    1.2173856700E-08
30    1.5000000000E+00    6.0000000000E-01    1.2097737000E-06    1.2173880300E-08
31    1.5500000000E+00    6.0000000000E-01    1.2097785000E-06    1.2173903800E-08
32    1.6000000000E+00    6.0000000000E-01    1.2097832000E-06    1.2173927400E-08
33    1.6500000000E+00    6.0000000000E-01    1.2097880000E-06    1.2173951000E-08
34    1.7000000000E+00    6.0000000000E-01    1.2097928000E-06    1.2173974500E-08
35    1.7500000000E+00    6.0000000000E-01    1.2097975000E-06    1.2173998100E-08
36    1.8000000000E+00    6.0000000000E-01    1.2098023000E-06    1.2174021700E-08
37    1.8500000000E+00    6.0000000000E-01    1.2098070000E-06    1.2174045200E-08
38    1.9000000000E+00    6.0000000000E-01    1.2098118000E-06    1.2174068800E-08
39    1.9500000000E+00    6.0000000000E-01    1.2098165000E-06    1.2174092400E-08
40    2.0000000000E+00    6.0000000000E-01    1.2098213000E-06    1.2174116000E-08
0    0.0000000000E+00    6.5000000000E-01    -4.1663343300E-11    8.4126314600E-08
1    5.0000000000E-02    6.5000000000E-01    7.1463314000E-06    8.4093953400E-08
2    1.0000000000E-01    6.5000000000E-01    8.1814107000E-06    8.4092413800E-08
3    1.5000000000E-01    6.5000000000E-01    8.3313758000E-06    8.4094992500E-08
4    2.0000000000E-01    6.5000000000E-01    8.3532441000E-06    8.4098117500E-08
5    2.5000000000E-01    6.5000000000E-01    8.3565758000E-06    8.4101314600E-08
6    3.0000000000E-01    6.5000000000E-01    8.3572251000E-06    8.4104521200E-08
7    3.5000000000E-01    6.5000000000E-01    8.3574863000E-06    8.4107729300E-08
8    4.0000000000E-01    6.5000000000E-01    8.3576913000E-06    8.4110937900E-08
9    4.5000000000E-01    6.5000000000E-01    8.3578882000E-06    8.4114146800E-08
10    5.0000000000E-01    6.5000000000E-01    8.3580840000E-06    8.4117355900E-08
11    5.5000000000E-01    6.5000000000E-01    8.3582795000E-06    8.4120565200E-08
12    6.0000000000E-01    6.5000000000E-01    8.3584750000E-06    8.4123774900E-08
13    6.5000000000E-01    6.5000000000E-01    8.3586706000E-06    8.4126984800E-08
14    7.0000000000E-01    6.5000000000E-01    8.3588661000E-06    8.4130195000E-08
15    7.5000000000E-01    6.5000000000E-01    8.3590616000E-06    8.4133405400E-08
16    8.0000000000E-01    6.5000000000E-01    8.3592572000E-06    8.4136616200E-08
17    8.5000000000E-01    6.5000000000E-01    8.3594528000E-06    8.4139827200E-08
18    9.0000000000E-01    6.5000000000E-01    8.3596483000E-06    8.4143038400E-08
19    9.5000000000E-01    6.5000000000E-01    8.3598439000E-06    8.4146250000E-08
20    1.0000000000E+00    6.5000000000E-01    8.3600395000E-06    8.4149461800E-08
21    1.0500000000E+00    6.5000000000E-01    8.3602351000E-06    8.4152673900E-08
22    1.1000000000E+00    6.5000000000E-01    8.3604307000E-06    8.4155886200E-08
23    1.1500000000E+00    6.5000000000E-01    8.3606263000E-06    8.4159098900E-08
24    1.2000000000E+00    6.5000000000E-01    8.3608219000E-06    8.4162311700E-08
