Index       TIME             V(BASE)           V(COLL)          I(V_COLL)         I(V_BASE)    
0        0.00000000e+00    3.00000000e-01    5.00000000e-01    9.67143295e-12    1.65506626e-11
1        1.00000000e-03    3.00750000e-01    5.00000000e-01    9.90842056e-12    1.68581971e-11
2        3.00000000e-03    3.02250000e-01    5.00000000e-01    1.04550608e-11    1.73951202e-11
3        7.00000000e-03    3.05250000e-01    5.00000000e-01    1.16390529e-11    1.85163021e-11
4        1.50000000e-02    3.11250000e-01    5.00000000e-01    1.44565642e-11    2.09799784e-11
5        3.10000000e-02    3.23250000e-01    5.00000000e-01    2.24581662e-11    2.69353730e-11
6        6.30000000e-02    3.47250000e-01    5.00000000e-01    5.51192366e-11    4.44182593e-11
7        1.27000000e-01    3.95250000e-01    5.00000000e-01    3.40263275e-10    1.21204923e-10
8        2.27000000e-01    4.70250000e-01    5.00000000e-01    5.88868041e-09    5.90375582e-10
9        3.27000000e-01    5.45250000e-01    5.00000000e-01    1.00791411e-07    2.98748944e-09
10       4.27000000e-01    6.20250000e-01    5.00000000e-01    1.68650951e-06    1.67339800e-08
11       5.27000000e-01    6.95250000e-01    5.00000000e-01    2.70929706e-05    1.18442314e-07
12       5.50922240e-01    7.13191680e-01    5.00000000e-01    5.22562500e-05    1.98962766e-07
13       5.62683719e-01    7.22012790e-01    5.00000000e-01    7.21147890e-05    2.58748072e-07
14       5.74445199e-01    7.30833899e-01    5.00000000e-01    9.94661464e-05    3.38180622e-07
15       5.85030531e-01    7.38772898e-01    5.00000000e-01    1.32780724e-04    4.32104737e-07
16       5.94331611e-01    7.45748708e-01    5.00000000e-01    1.71061035e-04    5.37603909e-07
17       6.02475602e-01    7.51856702e-01    5.00000000e-01    2.13431033e-04    6.52405990e-07
18       6.09677512e-01    7.57258134e-01    5.00000000e-01    2.59431204e-04    7.75488445e-07
19       6.16133792e-01    7.62100344e-01    5.00000000e-01    3.08877055e-04    9.06582501e-07
20       6.21944443e-01    7.66458333e-01    5.00000000e-01    3.61201807e-04    1.04440790e-06
21       6.27174030e-01    7.70380522e-01    5.00000000e-01    4.15625852e-04    1.18713584e-06
22       6.31880658e-01    7.73910493e-01    5.00000000e-01    4.71364396e-04    1.33292169e-06
23       6.36116623e-01    7.77087467e-01    5.00000000e-01    5.27664142e-04    1.47998365e-06
24       6.40352588e-01    7.80264441e-01    5.00000000e-01    5.90415321e-04    1.64386300e-06
25       6.44164956e-01    7.83123717e-01    5.00000000e-01    6.52959749e-04    1.80732595e-06
26       6.47977325e-01    7.85982993e-01    5.00000000e-01    7.21796541e-04    1.98752933e-06
27       6.51408456e-01    7.88556342e-01    5.00000000e-01    7.89591897e-04    2.16543439e-06
28       6.54839588e-01    7.91129691e-01    5.00000000e-01    8.63370132e-04    2.35964137e-06
29       6.58270720e-01    7.93703040e-01    5.00000000e-01    9.43586781e-04    2.57162767e-06
30       6.61358738e-01    7.96019054e-01    5.00000000e-01    1.02168097e-03    2.77893903e-06
31       6.64446757e-01    7.98335067e-01    5.00000000e-01    1.10573986e-03    3.00321060e-06
32       6.67534775e-01    8.00651081e-01    5.00000000e-01    1.19613953e-03    3.24579861e-06
33       6.70313992e-01    8.02735494e-01    5.00000000e-01    1.28324124e-03    3.48098986e-06
34       6.73093208e-01    8.04819906e-01    5.00000000e-01    1.37608395e-03    3.73333059e-06
35       6.75872425e-01    8.06904319e-01    5.00000000e-01    1.47496472e-03    4.00402906e-06
36       6.78651642e-01    8.08988731e-01    5.00000000e-01    1.58018597e-03    4.29437049e-06
37       6.81430858e-01    8.11073144e-01    5.00000000e-01    1.69205459e-03    4.60572118e-06
38       6.84210075e-01    8.13157556e-01    5.00000000e-01    1.81088064e-03    4.93953217e-06
39       6.86989291e-01    8.15241969e-01    5.00000000e-01    1.93697620e-03    5.29734357e-06
40       6.89768508e-01    8.17326381e-01    5.00000000e-01    2.07065396e-03    5.68078835e-06
41       6.92547725e-01    8.19410794e-01    5.00000000e-01    2.21222592e-03    6.09159683e-06
42       6.95326941e-01    8.21495206e-01    5.00000000e-01    2.36200175e-03    6.53160056e-06
43       6.98106158e-01    8.23579618e-01    5.00000000e-01    2.52028747e-03    7.00273690e-06
44       7.00885375e-01    8.25664031e-01    5.00000000e-01    2.68738376e-03    7.50705303e-06
45       7.03664591e-01    8.27748443e-01    5.00000000e-01    2.86358456e-03    8.04671055e-06
46       7.06443808e-01    8.29832856e-01    5.00000000e-01    3.04917546e-03    8.62398957e-06
47       7.12002241e-01    8.34001681e-01    5.00000000e-01    3.44961949e-03    9.90115183e-06
48       7.17560674e-01    8.38170506e-01    5.00000000e-01    3.89078129e-03    1.13593209e-05
49       7.23119108e-01    8.42339331e-01    5.00000000e-01    4.37450478e-03    1.30214500e-05
50       7.28677541e-01    8.46508156e-01    5.00000000e-01    4.90238524e-03    1.49128127e-05
51       7.34235974e-01    8.50676981e-01    5.00000000e-01    5.47573699e-03    1.70611253e-05
52       7.39794408e-01    8.54845806e-01    5.00000000e-01    6.09558581e-03    1.94966947e-05
53       7.45352841e-01    8.59014631e-01    5.00000000e-01    6.76265489e-03    2.22525352e-05
54       7.50911274e-01    8.63183456e-01    5.00000000e-01    7.47737234e-03    2.53645107e-05
55       7.56469707e-01    8.67352280e-01    5.00000000e-01    8.23988502e-03    2.88714973e-05
56       7.62028141e-01    8.71521105e-01    5.00000000e-01    9.05005402e-03    3.28154816e-05
57       7.67586574e-01    8.75689930e-01    5.00000000e-01    9.90750138e-03    3.72418532e-05
58       7.73145007e-01    8.79858755e-01    5.00000000e-01    1.08115995e-02    4.21995839e-05
59       7.84261874e-01    8.88196405e-01    5.00000000e-01    1.27562339e-02    5.39260415e-05
60       7.95378740e-01    8.96534055e-01    5.00000000e-01    1.48749989e-02    6.84820923e-05
61       8.06495607e-01    9.04871705e-01    5.00000000e-01    1.71561685e-02    8.64811590e-05
62       8.28729340e-01    9.21547005e-01    5.00000000e-01    2.21427903e-02    1.36803791e-04
63       8.50963073e-01    9.38222305e-01    5.00000000e-01    2.75282238e-02    2.22854239e-04
64       8.73196806e-01    9.54897604e-01    5.00000000e-01    3.29285664e-02    3.98609088e-04
65       8.93207166e-01    9.69905374e-01    5.00000000e-01    3.74164582e-02    6.84933592e-04
66       9.11216490e-01    9.83412367e-01    5.00000000e-01    4.11403924e-02    1.03303669e-03
67       9.29225813e-01    9.96919360e-01    5.00000000e-01    4.47041843e-02    1.43929844e-03
68       9.47235137e-01    1.01042635e+00    5.00000000e-01    4.81906932e-02    1.89256734e-03
69       9.65244461e-01    1.02393335e+00    5.00000000e-01    5.16272406e-02    2.39258479e-03
70       9.83253785e-01    1.03744034e+00    5.00000000e-01    5.50074322e-02    2.94389383e-03
71       1.00000000e+00    1.05000000e+00    5.00000000e-01    5.80773918e-02    3.50853965e-03
0        0.00000000e+00    3.00000000e-01    1.00000000e+00    1.07003112e-11    1.60470405e-11
1        1.00000000e-03    3.00750000e-01    1.00000000e+00    1.09388625e-11    1.63537305e-11
2        3.00000000e-03    3.02250000e-01    1.00000000e+00    1.14872215e-11    1.68904679e-11
3        7.00000000e-03    3.05250000e-01    1.00000000e+00    1.26749297e-11    1.80112518e-11
4        1.50000000e-02    3.11250000e-01    1.00000000e+00    1.55012396e-11    2.04740133e-11
5        3.10000000e-02    3.23250000e-01    1.00000000e+00    2.35276128e-11    2.64269576e-11
6        6.30000000e-02    3.47250000e-01    1.00000000e+00    5.62880629e-11    4.39010252e-11
7        1.27000000e-01    3.95250000e-01    1.00000000e+00    3.42271290e-10    1.20628906e-10
8        2.27000000e-01    4.70250000e-01    1.00000000e+00    5.90617885e-09    5.89097111e-10
9        3.27000000e-01    5.45250000e-01    1.00000000e+00    1.01059246e-07    2.97937042e-09
10       4.27000000e-01    6.20250000e-01    1.00000000e+00    1.69074361e-06    1.66654318e-08
11       4.97305094e-01    6.72978821e-01    1.00000000e+00    1.19726887e-05    6.37621347e-08
12       5.16718883e-01    6.87539162e-01    1.00000000e+00    2.04684759e-05    9.49930054e-08
13       5.36132671e-01    7.02099504e-01    1.00000000e+00    3.49300027e-05    1.43497337e-07
14       5.55546460e-01    7.16659845e-01    1.00000000e+00    5.95204748e-05    2.19890776e-07
15       5.74960249e-01    7.31220186e-01    1.00000000e+00    1.01303640e-04    3.41835996e-07
16       5.92432658e-01    7.44324494e-01    1.00000000e+00    1.63320312e-04    5.14666443e-07
17       6.07891156e-01    7.55918367e-01    1.00000000e+00    2.48888115e-04    7.46069328e-07
18       6.20760487e-01    7.65570365e-01    1.00000000e+00    3.52912988e-04    1.02283505e-06
19       6.31427901e-01    7.73570926e-01    1.00000000e+00    4.70632325e-04    1.33424421e-06
20       6.40551569e-01    7.80413676e-01    1.00000000e+00    6.01028592e-04    1.67976114e-06
21       6.48592467e-01    7.86444350e-01    1.00000000e+00    7.44376290e-04    2.06227440e-06
22       6.55821230e-01    7.91865922e-01    1.00000000e+00    9.00736448e-04    2.48422487e-06
23       6.62327117e-01    7.96745337e-01    1.00000000e+00    1.06765619e-03    2.94129615e-06
24       6.68182415e-01    8.01136811e-01    1.00000000e+00    1.24230340e-03    3.42780759e-06
25       6.74037713e-01    8.05528285e-01    1.00000000e+00    1.44315897e-03    3.99874073e-06
26       6.79893011e-01    8.09919758e-01    1.00000000e+00    1.67339548e-03    4.66925269e-06
27       6.85748309e-01    8.14311232e-01    1.00000000e+00    1.93635316e-03    5.45727055e-06
28       6.91603607e-01    8.18702705e-01    1.00000000e+00    2.23549315e-03    6.38399098e-06
29       6.97458905e-01    8.23094179e-01    1.00000000e+00    2.57433882e-03    7.47446304e-06
30       7.03314203e-01    8.27485653e-01    1.00000000e+00    2.95640717e-03    8.75826580e-06
31       7.09169501e-01    8.31877126e-01    1.00000000e+00    3.38513291e-03    1.02702926e-05
32       7.15024800e-01    8.36268600e-01    1.00000000e+00    3.86378950e-03    1.20516551e-05
33       7.20880098e-01    8.40660073e-01    1.00000000e+00    4.39541159e-03    1.41507201e-05
34       7.26735396e-01    8.45051547e-01    1.00000000e+00    4.98272352e-03    1.66242936e-05
35       7.32590694e-01    8.49443020e-01    1.00000000e+00    5.62807793e-03    1.95389646e-05
36       7.38445992e-01    8.53834494e-01    1.00000000e+00    6.33340777e-03    2.29726230e-05
37       7.44301290e-01    8.58225968e-01    1.00000000e+00    7.10019310e-03    2.70161611e-05
38       7.50156588e-01    8.62617441e-01    1.00000000e+00    7.92944306e-03    3.17753686e-05
39       7.56011886e-01    8.67008915e-01    1.00000000e+00    8.82169185e-03    3.73730226e-05
40       7.61867185e-01    8.71400388e-01    1.00000000e+00    9.77700649e-03    4.39511726e-05
41       7.67722483e-01    8.75791862e-01    1.00000000e+00    1.07950038e-02    5.16736063e-05
42       7.73577781e-01    8.80183336e-01    1.00000000e+00    1.18748733e-02    6.07284751e-05
43       7.79433079e-01    8.84574809e-01    1.00000000e+00    1.30154046e-02    7.13310410e-05
44       7.85288377e-01    8.88966283e-01    1.00000000e+00    1.42150146e-02    8.37264919e-05
