Index      V(BASE)           V(COLL)          I(V_COLL)         I(V_BASE)    
0        7.50000000e-01    5.00000000e-01    1.99557862e-04    6.14996333e-07
1        7.60000000e-01    5.00000000e-01    2.86386098e-04    8.47078045e-07
2        7.70000000e-01    5.00000000e-01    4.10014248e-04    1.17244054e-06
3        7.80000000e-01    5.00000000e-01    5.84929997e-04    1.62953478e-06
4        7.90000000e-01    5.00000000e-01    8.30216356e-04    2.27228588e-06
5        8.00000000e-01    5.00000000e-01    1.17006327e-03    3.17566867e-06
6        8.10000000e-01    5.00000000e-01    1.63361062e-03    4.44271315e-06
7        8.20000000e-01    5.00000000e-01    2.25371839e-03    6.21293197e-06
8        8.30000000e-01    5.00000000e-01    3.06447263e-03    8.67198096e-06
9        8.40000000e-01    5.00000000e-01    4.09772297e-03    1.20621971e-05
10       8.50000000e-01    5.00000000e-01    5.37949106e-03    1.66935533e-05
11       8.60000000e-01    5.00000000e-01    6.92728052e-03    2.29545674e-05
12       8.70000000e-01    5.00000000e-01    8.74894094e-03    3.13229956e-05
13       8.80000000e-01    5.00000000e-01    1.08430418e-02    4.23774941e-05
14       8.90000000e-01    5.00000000e-01    1.32001638e-02    5.68162981e-05
15       9.00000000e-01    5.00000000e-01    1.58043235e-02    7.55044932e-05
16       9.10000000e-01    5.00000000e-01    1.86337060e-02    9.96178404e-05
17       9.20000000e-01    5.00000000e-01    2.16595308e-02    1.31077521e-04
18       9.30000000e-01    5.00000000e-01    2.48408112e-02    1.73738291e-04
19       9.40000000e-01    5.00000000e-01    2.81123838e-02    2.35923781e-04
20       9.50000000e-01    5.00000000e-01    3.13727418e-02    3.32898214e-04
21       9.60000000e-01    5.00000000e-01    3.45039238e-02    4.81790529e-04
22       9.70000000e-01    5.00000000e-01    3.74434126e-02    6.87115008e-04
23       9.80000000e-01    5.00000000e-01    4.02195392e-02    9.38801021e-04
24       9.90000000e-01    5.00000000e-01    4.28918027e-02    1.22495737e-03
25       1.00000000e+00    5.00000000e-01    4.55044879e-02    1.53866723e-03
26       1.01000000e+00    5.00000000e-01    4.80814437e-02    1.87756050e-03
27       1.02000000e+00    5.00000000e-01    5.06315544e-02    2.24193849e-03
28       1.03000000e+00    5.00000000e-01    5.31536373e-02    2.63349225e-03
29       1.04000000e+00    5.00000000e-01    5.56397354e-02    3.05468559e-03
30       1.05000000e+00    5.00000000e-01    5.80773898e-02    3.50853967e-03
0        7.50000000e-01    1.00000000e+00    2.00765339e-04    6.16594650e-07
1        7.60000000e-01    1.00000000e+00    2.88556499e-04    8.51965736e-07
2        7.70000000e-01    1.00000000e+00    4.13979573e-04    1.18443655e-06
3        7.80000000e-01    1.00000000e+00    5.92238204e-04    1.65641162e-06
4        7.90000000e-01    1.00000000e+00    8.43691163e-04    2.32963854e-06
5        8.00000000e-01    1.00000000e+00    1.19470210e-03    3.29432084e-06
6        8.10000000e-01    1.00000000e+00    1.67789644e-03    4.68253833e-06
7        8.20000000e-01    1.00000000e+00    2.33130124e-03    6.68785181e-06
8        8.30000000e-01    1.00000000e+00    3.19595107e-03    9.59356972e-06
9        8.40000000e-01    1.00000000e+00    4.31201119e-03    1.38127941e-05
10       8.50000000e-01    1.00000000e+00    5.71418015e-03    1.99439694e-05
