Index      V(BASE)           V(COLL)          I(V_COLL)         I(V_BASE)    
0        3.00000000e-01    5.00000000e-01    9.67143295e-12    1.65506626e-11
1        3.20000000e-01    5.00000000e-01    1.99367096e-11    2.51241654e-11
2        3.40000000e-01    5.00000000e-01    4.19779111e-11    3.81368559e-11
3        3.60000000e-01    5.00000000e-01    8.92564530e-11    5.79129094e-11
4        3.80000000e-01    5.00000000e-01    1.90592858e-10    8.80053837e-11
5        4.00000000e-01    5.00000000e-01    4.07650704e-10    1.33857098e-10
6        4.20000000e-01    5.00000000e-01    8.72266225e-10    2.03828054e-10
7        4.40000000e-01    5.00000000e-01    1.86606768e-09    3.10804229e-10
8        4.60000000e-01    5.00000000e-01    3.99008991e-09    4.74740301e-10
9        4.80000000e-01    5.00000000e-01    8.52559943e-09    7.26726736e-10
10       5.00000000e-01    5.00000000e-01    1.82003978e-08    1.11560099e-09
11       5.20000000e-01    5.00000000e-01    3.88130625e-08    1.71883540e-09
12       5.40000000e-01    5.00000000e-01    8.26670654e-08    2.66103033e-09
13       5.60000000e-01    5.00000000e-01    1.75810023e-07    4.14572647e-09
14       5.80000000e-01    5.00000000e-01    3.73237662e-07    6.51209036e-09
15       6.00000000e-01    5.00000000e-01    7.90686577e-07    1.03380383e-08
16       6.20000000e-01    5.00000000e-01    1.67083933e-06    1.66331183e-08
17       6.40000000e-01    5.00000000e-01    3.52074343e-06    2.72076779e-08
18       6.60000000e-01    5.00000000e-01    7.39246987e-06    4.53941576e-08
19       6.80000000e-01    5.00000000e-01    1.54684611e-05    7.74806213e-08
20       7.00000000e-01    5.00000000e-01    3.22471306e-05    1.35597641e-07
21       7.20000000e-01    5.00000000e-01    6.70078524e-05    2.43583560e-07
22       7.40000000e-01    5.00000000e-01    1.38836768e-04    4.48940110e-07
23       7.60000000e-01    5.00000000e-01    2.86386098e-04    8.47078045e-07
24       7.80000000e-01    5.00000000e-01    5.84929997e-04    1.62953478e-06
25       8.00000000e-01    5.00000000e-01    1.17006327e-03    3.17566867e-06
26       8.20000000e-01    5.00000000e-01    2.25371839e-03    6.21293197e-06
27       8.40000000e-01    5.00000000e-01    4.09772297e-03    1.20621971e-05
28       8.60000000e-01    5.00000000e-01    6.92728052e-03    2.29545674e-05
29       8.80000000e-01    5.00000000e-01    1.08430418e-02    4.23774941e-05
30       9.00000000e-01    5.00000000e-01    1.58043235e-02    7.55044931e-05
31       9.20000000e-01    5.00000000e-01    2.16595308e-02    1.31077521e-04
32       9.40000000e-01    5.00000000e-01    2.81123838e-02    2.35923781e-04
33       9.60000000e-01    5.00000000e-01    3.45039239e-02    4.81790528e-04
34       9.80000000e-01    5.00000000e-01    4.02195392e-02    9.38801021e-04
35       1.00000000e+00    5.00000000e-01    4.55044879e-02    1.53866723e-03
36       1.02000000e+00    5.00000000e-01    5.06315544e-02    2.24193849e-03
37       1.04000000e+00    5.00000000e-01    5.56397354e-02    3.05468559e-03
0        3.00000000e-01    1.00000000e+00    1.07003112e-11    1.60470405e-11
1        3.20000000e-01    1.00000000e+00    2.09975448e-11    2.46172826e-11
2        3.40000000e-01    1.00000000e+00    4.31061326e-11    3.76238109e-11
3        3.60000000e-01    1.00000000e+00    9.05268035e-11    5.73882532e-11
4        3.80000000e-01    1.00000000e+00    1.92163007e-10    8.74589182e-11
5        4.00000000e-01    1.00000000e+00    4.09853167e-10    1.33269805e-10
6        4.20000000e-01    1.00000000e+00    8.75801955e-10    2.03164607e-10
7        4.40000000e-01    1.00000000e+00    1.87241328e-09    3.09999275e-10
8        4.60000000e-01    1.00000000e+00    4.00235311e-09    4.73673489e-10
9        4.80000000e-01    1.00000000e+00    8.55031294e-09    7.25177489e-10
10       5.00000000e-01    1.00000000e+00    1.82512817e-08    1.11315897e-09
11       5.20000000e-01    1.00000000e+00    3.89188421e-08    1.71477557e-09
12       5.40000000e-01    1.00000000e+00    8.28878152e-08    2.65401886e-09
13       5.60000000e-01    1.00000000e+00    1.76271104e-07    4.13341208e-09
14       5.80000000e-01    1.00000000e+00    3.74200285e-07    6.49028985e-09
15       6.00000000e-01    1.00000000e+00    7.92695197e-07    1.02994223e-08
16       6.20000000e-01    1.00000000e+00    1.67503454e-06    1.65650515e-08
17       6.40000000e-01    1.00000000e+00    3.52955156e-06    2.70889457e-08
18       6.60000000e-01    1.00000000e+00    7.41120329e-06    4.51910387e-08
19       6.80000000e-01    1.00000000e+00    1.55095479e-05    7.71459502e-08
20       7.00000000e-01    1.00000000e+00    3.23424613e-05    1.35092324e-07
21       7.20000000e-01    1.00000000e+00    6.72497148e-05    2.43003231e-07
22       7.40000000e-01    1.00000000e+00    1.39523899e-04    4.49095884e-07
23       7.60000000e-01    1.00000000e+00    2.88556499e-04    8.51965736e-07
24       7.80000000e-01    1.00000000e+00    5.92238204e-04    1.65641162e-06
25       8.00000000e-01    1.00000000e+00    1.19470210e-03    3.29432084e-06
26       8.20000000e-01    1.00000000e+00    2.33130124e-03    6.68785181e-06
27       8.40000000e-01    1.00000000e+00    4.31201119e-03    1.38127940e-05
28       8.60000000e-01    1.00000000e+00    7.42762620e-03    2.88460787e-05
29       8.80000000e-01    1.00000000e+00    1.18285680e-02    6.03210915e-05
30       9.00000000e-01    1.00000000e+00    1.74761833e-02    1.24716172e-04
31       9.20000000e-01    1.00000000e+00    2.41718683e-02    2.51288666e-04
32       9.40000000e-01    1.00000000e+00    3.16040429e-02    4.86069683e-04
33       9.60000000e-01    1.00000000e+00    3.93933296e-02    8.90786843e-04
34       9.80000000e-01    1.00000000e+00    4.71294998e-02    1.53822035e-03
35       1.00000000e+00    1.00000000e+00    5.43431115e-02    2.52619043e-03
36       1.02000000e+00    1.00000000e+00    6.06895077e-02    3.95871260e-03
37       1.04000000e+00    1.00000000e+00    6.64178826e-02    5.78657704e-03
0        3.00000000e-01    1.50000000e+00    1.17700564e-11    1.55006299e-11
1        3.20000000e-01    1.50000000e+00    2.21386666e-11    2.40258825e-11
2        3.40000000e-01    1.50000000e+00    4.43917021e-11    3.69441196e-11
3        3.60000000e-01    1.50000000e+00    9.21047497e-11    5.65356014e-11
4        3.80000000e-01    1.50000000e+00    1.94332872e-10    8.62680592e-11
5        4.00000000e-01    1.50000000e+00    4.13221628e-10    1.31418852e-10
6        4.20000000e-01    1.50000000e+00    8.81597956e-10    2.00027795e-10
7        4.40000000e-01    1.50000000e+00    1.88312657e-09    3.04362595e-10
8        4.60000000e-01    1.50000000e+00    4.02302769e-09    4.63186817e-10
9        4.80000000e-01    1.50000000e+00    8.59116600e-09    7.05301816e-10
10       5.00000000e-01    1.50000000e+00    1.83330020e-08    1.07514930e-09
11       5.20000000e-01    1.50000000e+00    3.90832994e-08    1.64182875e-09
12       5.40000000e-01    1.50000000e+00    8.32196812e-08    2.51394438e-09
13       5.60000000e-01    1.50000000e+00    1.76941472e-07    3.86474776e-09
