Index      V(COLL)           V(BASE)          I(V_COLL)         I(V_BASE)    
0        0.00000000e+00    6.00000000e-01   -2.71824566e-08    3.98185413e-08
1        5.00000000e-02    6.00000000e-01    6.69361697e-07    1.69636110e-08
2        1.00000000e-01    6.00000000e-01    7.71343768e-07    1.18962148e-08
3        1.50000000e-01    6.00000000e-01    7.86498419e-07    1.07149686e-08
4        2.00000000e-01    6.00000000e-01    7.88937789e-07    1.04342662e-08
5        2.50000000e-01    6.00000000e-01    7.89503957e-07    1.03645449e-08
6        3.00000000e-01    6.00000000e-01    7.89788245e-07    1.03460223e-08
7        3.50000000e-01    6.00000000e-01    7.90025623e-07    1.03406497e-08
8        4.00000000e-01    6.00000000e-01    7.90251406e-07    1.03389213e-08
9        4.50000000e-01    6.00000000e-01    7.90471309e-07    1.03382964e-08
10       5.00000000e-01    6.00000000e-01    7.90686577e-07    1.03380383e-08
11       5.50000000e-01    6.00000000e-01    7.90897724e-07    1.03379134e-08
12       6.00000000e-01    6.00000000e-01    7.91105107e-07    1.03378411e-08
13       6.50000000e-01    6.00000000e-01    7.91309793e-07    1.03370164e-08
14       7.00000000e-01    6.00000000e-01    7.91511280e-07    1.03361827e-08
15       7.50000000e-01    6.00000000e-01    7.91710394e-07    1.03347292e-08
16       8.00000000e-01    6.00000000e-01    7.91907695e-07    1.03322892e-08
17       8.50000000e-01    6.00000000e-01    7.92103867e-07    1.03283493e-08
18       9.00000000e-01    6.00000000e-01    7.92299762e-07    1.03222136e-08
19       9.50000000e-01    6.00000000e-01    7.92496435e-07    1.03129651e-08
20       1.00000000e+00    6.00000000e-01    7.92695197e-07    1.02994223e-08
21       1.05000000e+00    6.00000000e-01    7.92897664e-07    1.02800884e-08
22       1.10000000e+00    6.00000000e-01    7.93105825e-07    1.02530897e-08
23       1.15000000e+00    6.00000000e-01    7.93322122e-07    1.02160946e-08
24       1.20000000e+00    6.00000000e-01    7.93549561e-07    1.01662072e-08
25       1.25000000e+00    6.00000000e-01    7.93791857e-07    1.00998238e-08
26       1.30000000e+00    6.00000000e-01    7.94053625e-07    1.00124471e-08
27       1.35000000e+00    6.00000000e-01    7.94340604e-07    9.89845833e-09
28       1.40000000e+00    6.00000000e-01    7.94659923e-07    9.75085891e-09
29       1.45000000e+00    6.00000000e-01    7.95020351e-07    9.56101130e-09
30       1.50000000e+00    6.00000000e-01    7.95432521e-07    9.31841938e-09
31       1.55000000e+00    6.00000000e-01    7.95909061e-07    9.01059215e-09
32       1.60000000e+00    6.00000000e-01    7.96464613e-07    8.62301672e-09
33       1.65000000e+00    6.00000000e-01    7.97115759e-07    8.13923400e-09
34       1.70000000e+00    6.00000000e-01    7.97880874e-07    7.54097498e-09
35       1.75000000e+00    6.00000000e-01    7.98779995e-07    6.80829803e-09
36       1.80000000e+00    6.00000000e-01    7.99834723e-07    5.91967805e-09
37       1.85000000e+00    6.00000000e-01    8.01068209e-07    4.85202951e-09
38       1.90000000e+00    6.00000000e-01    8.02505177e-07    3.58067825e-09
39       1.95000000e+00    6.00000000e-01    8.04171980e-07    2.07931461e-09
40       2.00000000e+00    6.00000000e-01    8.06096631e-07    3.19960015e-10
0        0.00000000e+00    6.50000000e-01   -1.45933586e-07    1.95878469e-07
1        5.00000000e-02    6.50000000e-01    4.32532537e-06    7.23430810e-08
2        1.00000000e-01    6.50000000e-01    4.97940388e-06    4.40877928e-08
3        1.50000000e-01    6.50000000e-01    5.07794225e-06    3.72907453e-08
4        2.00000000e-01    6.50000000e-01    5.09355615e-06    3.56325619e-08
5        2.50000000e-01    6.50000000e-01    5.09719007e-06    3.52114555e-08
6        3.00000000e-01    6.50000000e-01    5.09902259e-06    3.50977305e-08
7        3.50000000e-01    6.50000000e-01    5.10055373e-06    3.50646258e-08
8        4.00000000e-01    6.50000000e-01    5.10200885e-06    3.50542632e-08
9        4.50000000e-01    6.50000000e-01    5.10342480e-06    3.50508834e-08
10       5.00000000e-01    6.50000000e-01    5.10480988e-06    3.50498463e-08
11       5.50000000e-01    6.50000000e-01    5.10616769e-06    3.50496657e-08
12       6.00000000e-01    6.50000000e-01    5.10750074e-06    3.50498238e-08
13       6.50000000e-01    6.50000000e-01    5.10881109e-06    3.50501254e-08
14       7.00000000e-01    6.50000000e-01    5.11010551e-06    3.50454895e-08
15       7.50000000e-01    6.50000000e-01    5.11138064e-06    3.50407636e-08
16       8.00000000e-01    6.50000000e-01    5.11264174e-06    3.50320247e-08
17       8.50000000e-01    6.50000000e-01    5.11389234e-06    3.50169086e-08
18       9.00000000e-01    6.50000000e-01    5.11513678e-06    3.49921017e-08
19       9.50000000e-01    6.50000000e-01    5.11638052e-06    3.49531134e-08
20       1.00000000e+00    6.50000000e-01    5.11763031e-06    3.48940248e-08
21       1.05000000e+00    6.50000000e-01    5.11889457e-06    3.48072076e-08
22       1.10000000e+00    6.50000000e-01    5.12018372e-06    3.46829979e-08
23       1.15000000e+00    6.50000000e-01    5.12151056e-06    3.45092961e-08
24       1.20000000e+00    6.50000000e-01    5.12289082e-06    3.42710486e-08
25       1.25000000e+00    6.50000000e-01    5.12434392e-06    3.39495559e-08
26       1.30000000e+00    6.50000000e-01    5.12589382e-06    3.35215489e-08
27       1.35000000e+00    6.50000000e-01    5.12757032e-06    3.29579898e-08
28       1.40000000e+00    6.50000000e-01    5.12941049e-06    3.22225982e-08
29       1.45000000e+00    6.50000000e-01    5.13146037e-06    3.12701856e-08
30       1.50000000e+00    6.50000000e-01    5.13377663e-06    3.00449802e-08
31       1.55000000e+00    6.50000000e-01    5.13642798e-06    2.84792098e-08
32       1.60000000e+00    6.50000000e-01    5.13949602e-06    2.64922206e-08
33       1.65000000e+00    6.50000000e-01    5.14307542e-06    2.39903028e-08
34       1.70000000e+00    6.50000000e-01    5.14727337e-06    2.08671791e-08
35       1.75000000e+00    6.50000000e-01    5.15220869e-06    1.70048835e-08
36       1.80000000e+00    6.50000000e-01    5.15801096e-06    1.22746483e-08
37       1.85000000e+00    6.50000000e-01    5.16481989e-06    6.53747840e-09
38       1.90000000e+00    6.50000000e-01    5.17278522e-06   -3.55699795e-10
39       1.95000000e+00    6.50000000e-01    5.18206690e-06   -8.56422217e-09
40       2.00000000e+00    6.50000000e-01    5.19283541e-06   -1.82579907e-08
0        0.00000000e+00    7.00000000e-01   -7.81920839e-07    1.01382227e-06
1        5.00000000e-02    7.00000000e-01    2.73281756e-05    3.46081354e-07
2        1.00000000e-01    7.00000000e-01    3.14515094e-05    1.88087278e-07
3        1.50000000e-01    7.00000000e-01    3.20653136e-05    1.48871978e-07
4        2.00000000e-01    7.00000000e-01    3.21657946e-05    1.39076152e-07
5        2.50000000e-01    7.00000000e-01    3.21906623e-05    1.36544165e-07
6        3.00000000e-01    7.00000000e-01    3.22040519e-05    1.35855915e-07
7        3.50000000e-01    7.00000000e-01    3.22154437e-05    1.35660046e-07
8        4.00000000e-01    7.00000000e-01    3.22262841e-05    1.35605134e-07
9        4.50000000e-01    7.00000000e-01    3.22368244e-05    1.35593988e-07
10       5.00000000e-01    7.00000000e-01    3.22471306e-05    1.35597641e-07
11       5.50000000e-01    7.00000000e-01    3.22572351e-05    1.35606733e-07
12       6.00000000e-01    7.00000000e-01    3.22671608e-05    1.35617987e-07
13       6.50000000e-01    7.00000000e-01    3.22769263e-05    1.35630161e-07
14       7.00000000e-01    7.00000000e-01    3.22865468e-05    1.35642748e-07
15       7.50000000e-01    7.00000000e-01    3.22960668e-05    1.35623972e-07
16       8.00000000e-01    7.00000000e-01    3.23054663e-05    1.35604561e-07
17       8.50000000e-01    7.00000000e-01    3.23147795e-05    1.35559758e-07
18       9.00000000e-01    7.00000000e-01    3.23240298e-05    1.35474639e-07
19       9.50000000e-01    7.00000000e-01    3.23332454e-05    1.35328284e-07
20       1.00000000e+00    7.00000000e-01    3.23424613e-05    1.35092324e-07
21       1.05000000e+00    7.00000000e-01    3.23517209e-05    1.34729352e-07
22       1.10000000e+00    7.00000000e-01    3.23610782e-05    1.34191146e-07
23       1.15000000e+00    7.00000000e-01    3.23705996e-05    1.33416615e-07
24       1.20000000e+00    7.00000000e-01    3.23803669e-05    1.32329258e-07
25       1.25000000e+00    7.00000000e-01    3.23904806e-05    1.30833888e-07
26       1.30000000e+00    7.00000000e-01    3.24010643e-05    1.28812260e-07
27       1.35000000e+00    7.00000000e-01    3.24122712e-05    1.26117227e-07
28       1.40000000e+00    7.00000000e-01    3.24242911e-05    1.22565149e-07
29       1.45000000e+00    7.00000000e-01    3.24373606e-05    1.17926576e-07
30       1.50000000e+00    7.00000000e-01    3.24517734e-05    1.11915705e-07
31       1.55000000e+00    7.00000000e-01    3.24678911e-05    1.04179769e-07
32       1.60000000e+00    7.00000000e-01    3.24861522e-05    9.42900548e-08
33       1.65000000e+00    7.00000000e-01    3.25070779e-05    8.17362973e-08
34       1.70000000e+00    7.00000000e-01    3.25312728e-05    6.59255407e-08
35       1.75000000e+00    7.00000000e-01    3.25594219e-05    4.61851829e-08
36       1.80000000e+00    7.00000000e-01    3.25922848e-05    2.17684995e-08
37       1.85000000e+00    7.00000000e-01    3.26306904e-05   -8.13978826e-09
38       1.90000000e+00    7.00000000e-01    3.26755328e-05   -4.44199122e-08
39       1.95000000e+00    7.00000000e-01    3.27277705e-05   -8.80161623e-08
40       2.00000000e+00    7.00000000e-01    3.27884283e-05   -1.39938101e-07
0        0.00000000e+00    7.50000000e-01   -4.14063920e-06    5.42521391e-06
1        5.00000000e-02    7.50000000e-01    1.68105369e-04    1.82060481e-06
2        1.00000000e-01    7.50000000e-01    1.93959260e-04    9.24839655e-07
3        1.50000000e-01    7.50000000e-01    1.97911400e-04    6.93936215e-07
