Index       FREQ             INOISE            ONOISE      
0        1.00000000e+03    2.87096504e+00    2.87096504e-20
1        3.16227766e+03    2.87096504e+00    2.87096504e-20
2        1.00000000e+04    2.87096502e+00    2.87096502e-20
3        3.16227766e+04    2.87096480e+00    2.87096480e-20
4        1.00000000e+05    2.87096258e+00    2.87096258e-20
5        3.16227766e+05    2.87094044e+00    2.87094044e-20
6        1.00000000e+06    2.87071965e+00    2.87071965e-20
7        3.16227766e+06    2.86857648e+00    2.86857648e-20
8        1.00000000e+07    2.85210613e+00    2.85210613e-20
9        3.16227766e+07    2.81021393e+00    2.81021393e-20
10       1.00000000e+08    2.79280198e+00    2.79280198e-20
11       3.16227766e+08    2.78982596e+00    2.78982596e-20
12       1.00000000e+09    2.78284485e+00    2.78284485e-20
13       3.16227766e+09    2.72129757e+00    2.72129757e-20
14       1.00000000e+10    2.40635388e+00    2.40635388e-20
15       3.16227766e+10    2.08370649e+00    2.08370649e-20
16       1.00000000e+11    2.01371942e+00    2.01371942e-20
End of Xyce(TM) Simulation
