Index      TIME           mosfet:gainscale           mosfet:nltermscale           V(VOUT)           V(OUT20)           V(IN)           V(1)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   1.53716634e+00   1.55758419e+00   2.00000000e+00   2.00000000e+00   
1       0.00000000e+00   1.86317119e-01   0.00000000e+00   1.52367603e+00   1.54637525e+00   2.00000000e+00   2.00000000e+00   
2       0.00000000e+00   3.45011888e-01   0.00000000e+00   1.50049830e+00   1.52611485e+00   2.00000000e+00   2.00000000e+00   
3       0.00000000e+00   4.81677512e-01   0.00000000e+00   1.46748272e+00   1.49681209e+00   2.00000000e+00   2.00000000e+00   
4       0.00000000e+00   5.99684310e-01   0.00000000e+00   1.42538495e+00   1.45935284e+00   2.00000000e+00   2.00000000e+00   
5       0.00000000e+00   6.98978703e-01   0.00000000e+00   1.37762143e+00   1.41706674e+00   2.00000000e+00   2.00000000e+00   
6       0.00000000e+00   7.39560697e-01   0.00000000e+00   1.35463038e+00   1.39642914e+00   2.00000000e+00   2.00000000e+00   
7       0.00000000e+00   7.69111425e-01   0.00000000e+00   1.34127393e+00   1.37410380e+00   2.00000000e+00   2.00000000e+00   
8       0.00000000e+00   7.79047958e-01   0.00000000e+00   1.34456357e+00   1.35704829e+00   2.00000000e+00   2.00000000e+00   
9       0.00000000e+00   7.86209735e-01   0.00000000e+00   1.35553455e+00   1.33485142e+00   2.00000000e+00   2.00000000e+00   
10      0.00000000e+00   7.91324241e-01   0.00000000e+00   1.37097588e+00   1.31008462e+00   2.00000000e+00   2.00000000e+00   
11      0.00000000e+00   7.95019306e-01   0.00000000e+00   1.38818877e+00   1.28480067e+00   2.00000000e+00   2.00000000e+00   
12      0.00000000e+00   8.00287315e-01   0.00000000e+00   1.42502342e+00   1.23251689e+00   2.00000000e+00   2.00000000e+00   
13      0.00000000e+00   8.07144695e-01   0.00000000e+00   1.49959299e+00   1.12372012e+00   2.00000000e+00   2.00000000e+00   
14      0.00000000e+00   8.15763558e-01   0.00000000e+00   1.62335427e+00   9.18465702e-01   2.00000000e+00   2.00000000e+00   
15      0.00000000e+00   8.29836046e-01   0.00000000e+00   1.74613625e+00   6.52669451e-01   2.00000000e+00   2.00000000e+00   
16      0.00000000e+00   8.60281082e-01   0.00000000e+00   1.85391791e+00   3.65191882e-01   2.00000000e+00   2.00000000e+00   
17      0.00000000e+00   9.00381195e-01   0.00000000e+00   1.92952526e+00   1.44042099e-01   2.00000000e+00   2.00000000e+00   
18      0.00000000e+00   9.85914761e-01   0.00000000e+00   1.97079550e+00   3.69020597e-03   2.00000000e+00   2.00000000e+00   
19      0.00000000e+00   1.00434651e+00   0.00000000e+00   1.97106102e+00   1.27683394e-03   2.00000000e+00   2.00000000e+00   
