Index   TIME           I(VMON)           
0       0.00000000e+00  1.00000000e+00  
1       1.00000000e+00  1.00000000e+00  
2       1.00064000e+00  1.01277954e+00  
3       1.00128000e+00  1.02551825e+00  
4       1.00192000e+00  1.03821627e+00  
5       1.00256000e+00  1.05087371e+00  
6       1.00320000e+00  1.06349072e+00  
7       1.00448000e+00  1.08860393e+00  
8       1.00704000e+00  1.13835074e+00  
9       1.01216000e+00  1.23595431e+00  
10      1.02240000e+00  1.42382297e+00  
11      1.02799801e+00  1.52253240e+00  
12      1.03359601e+00  1.61851725e+00  
13      1.03919402e+00  1.71185274e+00  
14      1.04728093e+00  1.84215542e+00  
15      1.05860664e+00  2.01601045e+00  
16      1.06710091e+00  2.14009105e+00  
17      1.07559519e+00  2.25901211e+00  
18      1.08408947e+00  2.37298818e+00  
19      1.09258375e+00  2.48222489e+00  
20      1.10333799e+00  2.61403321e+00  
21      1.11409223e+00  2.73894122e+00  
22      1.12484648e+00  2.85731016e+00  
23      1.13560072e+00  2.96948235e+00  
24      1.14635496e+00  3.07578220e+00  
25      1.15710921e+00  3.17651714e+00  
26      1.16786345e+00  3.27197849e+00  
27      1.17861769e+00  3.36244234e+00  
28      1.19226553e+00  3.47046052e+00  
29      1.20591337e+00  3.57135351e+00  
30      1.21956122e+00  3.66559129e+00  
31      1.23320906e+00  3.75361287e+00  
32      1.24685690e+00  3.83582828e+00  
33      1.26050474e+00  3.91262052e+00  
34      1.27415258e+00  3.98434731e+00  
35      1.28780042e+00  4.05134279e+00  
36      1.30503771e+00  4.12967989e+00  
37      1.32227500e+00  4.20154816e+00  
38      1.33951228e+00  4.26748178e+00  
39      1.35674957e+00  4.32797080e+00  
40      1.37398686e+00  4.38346484e+00  
41      1.39122414e+00  4.43437636e+00  
42      1.40846143e+00  4.48108376e+00  
43      1.42569872e+00  4.52393421e+00  
44      1.44788866e+00  4.57392885e+00  
45      1.47007860e+00  4.61867323e+00  
46      1.49226853e+00  4.65871873e+00  
47      1.51445847e+00  4.69455881e+00  
48      1.53664841e+00  4.72663509e+00  
49      1.55883835e+00  4.75534284e+00  
50      1.58102829e+00  4.78103581e+00  
51      1.60972410e+00  4.81030280e+00  
52      1.63841992e+00  4.83565793e+00  
53      1.66711573e+00  4.85762407e+00  
54      1.69581155e+00  4.87665419e+00  
55      1.72450736e+00  4.89314072e+00  
56      1.75320317e+00  4.90742364e+00  
57      1.79074331e+00  4.92326691e+00  
58      1.82828345e+00  4.93639880e+00  
59      1.86582359e+00  4.94728333e+00  
60      1.90336373e+00  4.95630512e+00  
61      1.94090387e+00  4.96378294e+00  
62      1.99054844e+00  4.97174395e+00  
63      1.99571684e+00  4.97246479e+00  
64      1.99959314e+00  4.97299333e+00  
65      2.00021507e+00  4.97135702e+00  
66      2.00068151e+00  4.96769152e+00  
67      2.00103134e+00  4.96494458e+00  
68      2.00129372e+00  4.96288561e+00  
69      2.00155610e+00  4.96082769e+00  
70      2.00181847e+00  4.95877082e+00  
71      2.00208085e+00  4.95671500e+00  
72      2.00260560e+00  4.95260652e+00  
73      2.00365510e+00  4.94440214e+00  
74      2.00575410e+00  4.92804366e+00  
75      2.00995210e+00  4.89552685e+00  
76      2.01834810e+00  4.83128650e+00  
77      2.03514011e+00  4.70592127e+00  
78      2.06872413e+00  4.46720359e+00  
79      2.08840373e+00  4.33444147e+00  
80      2.10808333e+00  4.20670454e+00  
81      2.12776293e+00  4.08380810e+00  
82      2.15675285e+00  3.91121243e+00  
83      2.19642356e+00  3.69043388e+00  
84      2.21873834e+00  3.57362607e+00  
85      2.24105312e+00  3.46185073e+00  
86      2.26336790e+00  3.35489516e+00  
87      2.29255004e+00  3.22195845e+00  
88      2.32973765e+00  3.06330750e+00  
89      2.35762836e+00  2.95175793e+00  
90      2.38551907e+00  2.84620916e+00  
91      2.41340978e+00  2.74634232e+00  
92      2.44130049e+00  2.65185491e+00  
93      2.46919120e+00  2.56246013e+00  
94      2.49708190e+00  2.47788608e+00  
95      2.52497261e+00  2.39787502e+00  
96      2.55286332e+00  2.32218271e+00  
97      2.58075403e+00  2.25057773e+00  
98      2.60864474e+00  2.18284083e+00  
99      2.63653545e+00  2.11876435e+00  
100     2.66442616e+00  2.05815158e+00  
101     2.69231687e+00  2.00081626e+00  
102     2.72020757e+00  1.94658202e+00  
103     2.75522021e+00  1.88263331e+00  
104     2.79023285e+00  1.82299845e+00  
105     2.82524548e+00  1.76738747e+00  
106     2.86025812e+00  1.71552970e+00  
107     2.89527076e+00  1.66717256e+00  
108     2.93028339e+00  1.62208035e+00  
109     2.96529603e+00  1.58003314e+00  
110     3.00030866e+00  1.54082573e+00  
111     3.03532130e+00  1.50426668e+00  
112     3.07033394e+00  1.47017741e+00  
113     3.10534657e+00  1.43839131e+00  
114     3.14035921e+00  1.40875298e+00  
115     3.17537184e+00  1.38111749e+00  
116     3.21038448e+00  1.35534964e+00  
117     3.24539712e+00  1.33132333e+00  
118     3.28040975e+00  1.30892097e+00  
119     3.32423502e+00  1.28300166e+00  
120     3.36806029e+00  1.25925648e+00  
121     3.41188556e+00  1.23750318e+00  
122     3.45571083e+00  1.21757475e+00  
123     3.49953610e+00  1.19931819e+00  
124     3.54336137e+00  1.18259328e+00  
125     3.58718664e+00  1.16727158e+00  
126     3.63101191e+00  1.15323540e+00  
127     3.67483718e+00  1.14037691e+00  
