Index          TIME              {V(2)+1.0}           {V(5)+1.0}
0       0.000000000000e+00   3.000000000000e+00   1.000000015475e+00   
1       1.000000000000e-11   2.562402696248e+00   9.990072509914e-01   
2       1.125000000000e-11   2.509488186950e+00   9.988940948392e-01   
3       1.250000000000e-11   2.458544142452e+00   9.987812639085e-01   
4       1.375000000000e-11   2.409291319219e+00   9.987246321831e-01   
5       1.500000000000e-11   2.361130304708e+00   9.987350207373e-01   
6       1.625000000000e-11   2.313795107945e+00   9.988123363419e-01   
7       1.750000000000e-11   2.267199887892e+00   9.989501966398e-01   
8       1.875000000000e-11   2.221322591442e+00   9.991395027256e-01   
9       2.000000000000e-11   2.176162099965e+00   9.993706380453e-01   
10      2.125000000000e-11   2.131725487589e+00   9.996343898462e-01   
11      2.250000000000e-11   2.088024717007e+00   9.999217115778e-01   
12      2.375000000000e-11   2.045076065275e+00   1.000216324270e+00   
13      2.500000000000e-11   2.002900665875e+00   1.000518431481e+00   
14      2.625000000000e-11   1.961524911799e+00   1.000826795568e+00   
15      2.750000000000e-11   1.920979822700e+00   1.001137569132e+00   
16      2.875000000000e-11   1.881304096663e+00   1.001459836631e+00   
17      3.000000000000e-11   1.842538889716e+00   1.001788839617e+00   
18      3.125000000000e-11   1.804728890696e+00   1.002110201000e+00   
19      3.250000000000e-11   1.767926700063e+00   1.002423303382e+00   
20      3.375000000000e-11   1.732187201545e+00   1.002728175555e+00   
21      3.500000000000e-11   1.697556733564e+00   1.003019597052e+00   
22      3.625000000000e-11   1.664058666318e+00   1.003281000029e+00   
23      3.750000000000e-11   1.631762378751e+00   1.003548536758e+00   
24      3.875000000000e-11   1.600679366807e+00   1.003827847830e+00   
25      4.000000000000e-11   1.570797812460e+00   1.004126491539e+00   
26      4.125000000000e-11   1.542106009359e+00   1.004451446948e+00   
27      4.250000000000e-11   1.514635166094e+00   1.004803267700e+00   
28      4.375000000000e-11   1.488444047347e+00   1.005176260935e+00   
29      4.500000000000e-11   1.463561358700e+00   1.005563544299e+00   
30      4.625000000000e-11   1.439971544595e+00   1.005957622031e+00   
31      4.750000000000e-11   1.417628222562e+00   1.006350100486e+00   
32      4.875000000000e-11   1.396468500806e+00   1.006731019737e+00   
33      5.000000000000e-11   1.376427972257e+00   1.007085692238e+00   
34      5.125000000000e-11   1.357453041430e+00   1.007392033413e+00   
35      5.250000000000e-11   1.339498826308e+00   1.007622859037e+00   
36      5.375000000000e-11   1.322521880750e+00   1.007751831380e+00   
37      5.500000000000e-11   1.306479339052e+00   1.007759111403e+00   
38      5.625000000000e-11   1.291331052075e+00   1.007634244452e+00   
39      5.750000000000e-11   1.277040158951e+00   1.007375687419e+00   
40      5.875000000000e-11   1.263571880086e+00   1.006988265033e+00   
41      6.000000000000e-11   1.250891893129e+00   1.006480328703e+00   
42      6.125000000000e-11   1.238965237199e+00   1.005861582061e+00   
43      6.250000000000e-11   1.227755955295e+00   1.005142692846e+00   
