Index   TIME           I(VMON)           
0       0.00000000e+00  1.00000000e+00  
1       1.00000000e-01  1.00000000e+00  
2       2.00000000e-01  1.00000000e+00  
3       3.00000000e-01  1.00000000e+00  
4       4.00000000e-01  1.00000000e+00  
5       5.00000000e-01  1.00000000e+00  
6       6.00000000e-01  1.00000000e+00  
7       7.00000000e-01  1.00000000e+00  
8       8.00000000e-01  1.00000000e+00  
9       9.00000000e-01  1.00000000e+00  
10      1.00000000e+00  1.00000000e+00  
11      1.10000000e+00  5.00000000e+00  
12      1.20000000e+00  5.00000000e+00  
13      1.30000000e+00  5.00000000e+00  
14      1.40000000e+00  5.00000000e+00  
15      1.50000000e+00  5.00000000e+00  
16      1.60000000e+00  5.00000000e+00  
17      1.70000000e+00  4.00000000e+00  
18      1.80000000e+00  3.00000000e+00  
19      1.90000000e+00  2.00000000e+00  
20      2.00000000e+00  1.00000000e+00  
21      2.10000000e+00  1.00000000e+00  
22      2.20000000e+00  1.00000000e+00  
23      2.30000000e+00  1.00000000e+00  
24      2.40000000e+00  1.00000000e+00  
25      2.50000000e+00  1.00000000e+00  
26      2.60000000e+00  1.00000000e+00  
27      2.70000000e+00  1.00000000e+00  
28      2.80000000e+00  1.00000000e+00  
29      2.90000000e+00  1.00000000e+00  
30      3.00000000e+00  1.00000000e+00  
31      3.10000000e+00  5.00000000e+00  
32      3.20000000e+00  5.00000000e+00  
33      3.30000000e+00  5.00000000e+00  
34      3.40000000e+00  5.00000000e+00  
35      3.50000000e+00  5.00000000e+00  
36      3.60000000e+00  5.00000000e+00  
37      3.70000000e+00  4.00000000e+00  
38      3.80000000e+00  3.00000000e+00  
39      3.90000000e+00  2.00000000e+00  
40      4.00000000e+00  1.00000000e+00  
41      4.10000000e+00  1.00000000e+00  
42      4.20000000e+00  1.00000000e+00  
43      4.30000000e+00  1.00000000e+00  
44      4.40000000e+00  1.00000000e+00  
45      4.50000000e+00  1.00000000e+00  
46      4.60000000e+00  1.00000000e+00  
47      4.70000000e+00  1.00000000e+00  
48      4.80000000e+00  1.00000000e+00  
49      4.90000000e+00  1.00000000e+00  
50      5.00000000e+00  1.00000000e+00  
51      5.10000000e+00  5.00000000e+00  
52      5.20000000e+00  5.00000000e+00  
53      5.30000000e+00  5.00000000e+00  
54      5.40000000e+00  5.00000000e+00  
55      5.50000000e+00  5.00000000e+00  
56      5.60000000e+00  5.00000000e+00  
57      5.70000000e+00  4.00000000e+00  
58      5.80000000e+00  3.00000000e+00  
59      5.90000000e+00  2.00000000e+00  
60      6.00000000e+00  1.00000000e+00  
61      6.10000000e+00  1.00000000e+00  
62      6.20000000e+00  1.00000000e+00  
63      6.30000000e+00  1.00000000e+00  
64      6.40000000e+00  1.00000000e+00  
65      6.50000000e+00  1.00000000e+00  
66      6.60000000e+00  1.00000000e+00  
67      6.70000000e+00  1.00000000e+00  
68      6.80000000e+00  1.00000000e+00  
69      6.90000000e+00  1.00000000e+00  
70      7.00000000e+00  1.00000000e+00  
End of Xyce(TM) Simulation
