Index         TIME            I(VMON)
0       0.00000000e+00   3.00000000e-01   
1       3.00000000e-05   3.92707223e-01   
2       6.04913792e-05   4.83269664e-01   
3       9.09827584e-05   5.69415477e-01   
4       1.21474138e-04   6.50479660e-01   
5       1.51965517e-04   7.25864231e-01   
6       1.82456896e-04   7.95041755e-01   
7       2.12948275e-04   8.57558111e-01   
8       2.43439654e-04   9.13034491e-01   
9       2.73931034e-04   9.61168647e-01   
10      3.04422413e-04   1.00173539e+00   
11      3.34913792e-04   1.03458637e+00   
12      3.65405171e-04   1.05964912e+00   
13      3.95896551e-04   1.07692547e+00   
14      4.26387930e-04   1.08648930e+00   
15      4.56879309e-04   1.08848366e+00   
16      4.87370688e-04   1.08311741e+00   
17      5.17862067e-04   1.07066128e+00   
18      5.48353447e-04   1.05144353e+00   
19      5.78844826e-04   1.02584516e+00   
20      6.09336205e-04   9.94294796e-01   
21      6.39827584e-04   9.57263325e-01   
22      6.70318963e-04   9.15258231e-01   
23      7.00810343e-04   8.68817809e-01   
24      7.31301722e-04   8.18505258e-01   
25      7.61793101e-04   7.64902717e-01   
26      7.92284480e-04   7.08605304e-01   
27      8.22775859e-04   6.50215217e-01   
28      8.53267239e-04   5.90335946e-01   
29      9.14249997e-04   4.68496724e-01   
30      9.75232756e-04   3.47733157e-01   
31      1.01917161e-03   2.63839409e-01   
32      1.06311046e-03   1.84242101e-01   
33      1.09754703e-03   1.25732854e-01   
34      1.12288555e-03   8.52282017e-02   
35      1.14222864e-03   5.59063907e-02   
36      1.15741391e-03   3.39181227e-02   
37      1.16934797e-03   1.73007463e-02   
38      1.17577003e-03   8.60662514e-03   
39      1.18027551e-03   2.61256928e-03   
40      1.18277834e-03   -6.79256861e-04  
41      1.18411634e-03   -2.42787623e-03  
42      1.18545435e-03   -4.16868219e-03  
43      1.18679235e-03   -5.90165370e-03  
44      1.18946836e-03   -9.34400987e-03  
45      1.19214436e-03   -1.27547796e-02  
46      1.19482037e-03   -1.61338005e-02  
47      1.20017238e-03   -2.27959596e-02  
48      1.20552439e-03   -2.93292426e-02  
49      1.21087640e-03   -3.57324486e-02  
50      1.21622841e-03   -4.20044210e-02  
51      1.22158042e-03   -4.81440471e-02  
52      1.22693244e-03   -5.41502584e-02  
53      1.23228445e-03   -6.00220307e-02  
54      1.24298847e-03   -7.13583835e-02  
55      1.25369249e-03   -8.21457996e-02  
56      1.26439651e-03   -9.23776836e-02  
57      1.27510054e-03   -1.02048151e-01  
58      1.28580456e-03   -1.11152028e-01  
59      1.29650858e-03   -1.19684848e-01  
60      1.30721261e-03   -1.27642852e-01  
61      1.31791663e-03   -1.35022983e-01  
62      1.32862065e-03   -1.41822882e-01  
63      1.33932467e-03   -1.48040886e-01  
64      1.35002870e-03   -1.53676020e-01  
65      1.36073272e-03   -1.58727992e-01  
66      1.37143674e-03   -1.63197184e-01  
67      1.38214077e-03   -1.67084648e-01  
68      1.39284479e-03   -1.70392095e-01  
69      1.40354881e-03   -1.73121885e-01  
70      1.41425283e-03   -1.75277021e-01  
71      1.42495686e-03   -1.76861137e-01  
72      1.43566088e-03   -1.77878484e-01  
73      1.44636490e-03   -1.78333925e-01  
74      1.45706892e-03   -1.78232916e-01  
75      1.46777295e-03   -1.77581499e-01  
76      1.47847697e-03   -1.76386285e-01  
77      1.48918099e-03   -1.74654442e-01  
78      1.49988502e-03   -1.72393680e-01  
79      1.51058904e-03   -1.69612239e-01  
80      1.52129306e-03   -1.66318868e-01  
81      1.53199708e-03   -1.62522817e-01  
82      1.54270111e-03   -1.58233814e-01  
83      1.55340513e-03   -1.53462055e-01  
84      1.56410915e-03   -1.48218182e-01  
85      1.57481317e-03   -1.42513268e-01  
86      1.58551720e-03   -1.36358801e-01  
87      1.59622122e-03   -1.29766664e-01  
88      1.60692524e-03   -1.22749120e-01  
89      1.61762927e-03   -1.15318789e-01  
90      1.62833329e-03   -1.07488635e-01  
91      1.63903731e-03   -9.92719447e-02  
92      1.64974133e-03   -9.06823085e-02  
93      1.66044536e-03   -8.17336026e-02  
94      1.67114938e-03   -7.24399692e-02  
95      1.68185340e-03   -6.28157980e-02  
96      1.69255742e-03   -5.28757064e-02  
97      1.70326145e-03   -4.26345207e-02  
98      1.71396547e-03   -3.21072563e-02  
99      1.72466949e-03   -2.13090990e-02  
100     1.73537352e-03   -1.02553850e-02  
101     1.74240303e-03   -2.86464757e-03  
102     1.74624696e-03   1.21902542e-03   
103     1.74884276e-03   3.99311461e-03   
104     1.75143855e-03   6.78016978e-03   
105     1.75403434e-03   9.57996753e-03   
106     1.75922592e-03   1.52168957e-02   
107     1.76441750e-03   2.09021063e-02   
108     1.76960908e-03   2.66338029e-02   
109     1.77999225e-03   3.82294510e-02   
110     1.79037541e-03   4.99894097e-02   
111     1.80075858e-03   6.18992192e-02   
112     1.81114174e-03   7.39444063e-02   
113     1.83190807e-03   9.83830503e-02   
114     1.85267440e-03   1.23189890e-01   
115     1.87344072e-03   1.48250257e-01   
116     1.91497338e-03   1.98679671e-01   
117     1.95650604e-03   2.48787414e-01   
118     2.01135659e-03   3.13048034e-01   
119     2.06620714e-03   3.73493268e-01   
120     2.12105769e-03   4.28540561e-01   
121     2.16668621e-03   4.69249054e-01   
122     2.21231473e-03   5.04662217e-01   
123     2.25794324e-03   5.34288177e-01   
124     2.30357176e-03   5.57775982e-01   
125     2.34920028e-03   5.74916523e-01   
126     2.39482880e-03   5.85640517e-01   
127     2.44045731e-03   5.90013687e-01   
128     2.48608583e-03   5.88229391e-01   
129     2.53171435e-03   5.80598956e-01   
130     2.57734287e-03   5.67540012e-01   
