Index            I(IS)          I(VMON)           I(VMON1)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-03   9.99852935e-04   1.47064782e-07   
2       2.00000000e-03   1.99916073e-03   8.39274081e-07   
3       3.00000000e-03   2.99415534e-03   5.84465663e-06   
4       4.00000000e-03   3.95389127e-03   4.61087339e-05   
5       5.00000000e-03   4.73916687e-03   2.60833134e-04   
6       6.00000000e-03   5.24818249e-03   7.51817506e-04   
7       7.00000000e-03   5.58978553e-03   1.41021447e-03   
8       8.00000000e-03   5.85485855e-03   2.14514145e-03   
9       9.00000000e-03   6.08665993e-03   2.91334007e-03   
10      1.00000000e-02   6.30760207e-03   3.69239793e-03   
11      1.10000000e-02   6.53167746e-03   4.46832254e-03   
12      1.20000000e-02   6.77318695e-03   5.22681305e-03   
13      1.30000000e-02   7.04469977e-03   5.95530023e-03   
14      1.40000000e-02   7.35933270e-03   6.64066730e-03   
15      1.50000000e-02   7.72462875e-03   7.27537125e-03   
16      1.60000000e-02   8.13834688e-03   7.86165312e-03   
17      1.70000000e-02   8.58884391e-03   8.41115609e-03   
18      1.80000000e-02   9.06286754e-03   8.93713246e-03   
19      1.90000000e-02   9.55123503e-03   9.44876497e-03   
20      2.00000000e-02   1.00497512e-02   9.95024876e-03   
21      2.10000000e-02   1.05522388e-02   1.04477612e-02   
22      2.20000000e-02   1.10547264e-02   1.09452736e-02   
23      2.30000000e-02   1.15572139e-02   1.14427861e-02   
24      2.40000000e-02   1.20597015e-02   1.19402985e-02   
25      2.50000000e-02   1.25621891e-02   1.24378109e-02   
26      2.60000000e-02   1.30646766e-02   1.29353234e-02   
27      2.70000000e-02   1.35671642e-02   1.34328358e-02   
28      2.80000000e-02   1.40696517e-02   1.39303483e-02   
29      2.90000000e-02   1.45721393e-02   1.44278607e-02   
30      3.00000000e-02   1.50746269e-02   1.49253731e-02   
31      3.10000000e-02   1.55771144e-02   1.54228856e-02   
32      3.20000000e-02   1.60796020e-02   1.59203980e-02   
33      3.30000000e-02   1.65820896e-02   1.64179104e-02   
34      3.40000000e-02   1.70845771e-02   1.69154229e-02   
35      3.50000000e-02   1.75870647e-02   1.74129353e-02   
36      3.60000000e-02   1.80895522e-02   1.79104478e-02   
37      3.70000000e-02   1.85920398e-02   1.84079602e-02   
38      3.80000000e-02   1.90945274e-02   1.89054726e-02   
39      3.90000000e-02   1.95970149e-02   1.94029851e-02   
40      4.00000000e-02   2.00995025e-02   1.99004975e-02   
End of Xyce(TM) Simulation
