Index          I(IS)           I(VMON)          I(VMON1)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-03   9.99852828e-04   1.47171755e-07   
2       2.00000000e-03   1.99916019e-03   8.39810814e-07   
3       3.00000000e-03   2.99415202e-03   5.84798392e-06   
4       4.00000000e-03   3.95385441e-03   4.61455938e-05   
5       5.00000000e-03   4.73908820e-03   2.60911798e-04   
6       6.00000000e-03   5.24822450e-03   7.51775497e-04   
7       7.00000000e-03   5.58964895e-03   1.41035105e-03   
8       8.00000000e-03   5.85504160e-03   2.14495840e-03   
9       9.00000000e-03   6.08687969e-03   2.91312031e-03   
10      1.00000000e-02   6.30744763e-03   3.69255237e-03   
11      1.10000000e-02   6.53183290e-03   4.46816710e-03   
12      1.20000000e-02   6.77315699e-03   5.22684301e-03   
13      1.30000000e-02   7.04474215e-03   5.95525785e-03   
14      1.40000000e-02   7.35927394e-03   6.64072606e-03   
15      1.50000000e-02   7.72459636e-03   7.27540364e-03   
16      1.60000000e-02   8.13832739e-03   7.86167261e-03   
17      1.70000000e-02   8.58882939e-03   8.41117061e-03   
18      1.80000000e-02   9.06285994e-03   8.93714006e-03   
19      1.90000000e-02   9.55122855e-03   9.44877145e-03   
20      2.00000000e-02   1.00497512e-02   9.95024876e-03   
21      2.10000000e-02   1.05522388e-02   1.04477612e-02   
22      2.20000000e-02   1.10547264e-02   1.09452736e-02   
23      2.30000000e-02   1.15572139e-02   1.14427861e-02   
24      2.40000000e-02   1.20597015e-02   1.19402985e-02   
25      2.50000000e-02   1.25621891e-02   1.24378109e-02   
26      2.60000000e-02   1.30646766e-02   1.29353234e-02   
27      2.70000000e-02   1.35671642e-02   1.34328358e-02   
28      2.80000000e-02   1.40696517e-02   1.39303483e-02   
29      2.90000000e-02   1.45721393e-02   1.44278607e-02   
30      3.00000000e-02   1.50746269e-02   1.49253731e-02   
31      3.10000000e-02   1.55771144e-02   1.54228856e-02   
32      3.20000000e-02   1.60796020e-02   1.59203980e-02   
33      3.30000000e-02   1.65820896e-02   1.64179104e-02   
34      3.40000000e-02   1.70845771e-02   1.69154229e-02   
35      3.50000000e-02   1.75870647e-02   1.74129353e-02   
36      3.60000000e-02   1.80895522e-02   1.79104478e-02   
37      3.70000000e-02   1.85920398e-02   1.84079602e-02   
38      3.80000000e-02   1.90945274e-02   1.89054726e-02   
39      3.90000000e-02   1.95970149e-02   1.94029851e-02   
40      4.00000000e-02   2.00995025e-02   1.99004975e-02   
End of Xyce(TM) Simulation
