Index       FREQ            Re(V(4))          Im(V(4))          Re(I(V1))         Im(I(V1))         Re(I(B6))         Im(I(B6))        Re(I(EAMP))       Im(I(EAMP))        Re(I(H5))         Im(I(H5))    
0        1.00000000e+02    4.99999995e-01   -4.99513227e-05   -5.00000000e-01    0.00000000e+00   -4.99999995e-01    4.99513227e-05   -4.99026931e-11   -4.99513227e-07    5.00000000e-01    0.00000000e+00
1        1.58489319e+02    4.99999987e-01   -7.91675101e-05   -5.00000000e-01    0.00000000e+00   -4.99999987e-01    7.91675101e-05   -1.25349896e-10   -7.91675101e-07    5.00000000e-01    0.00000000e+00
2        2.51188643e+02    4.99999969e-01   -1.25472043e-04   -5.00000000e-01    0.00000000e+00   -4.99999969e-01    1.25472043e-04   -3.14864692e-10   -1.25472043e-06    5.00000000e-01    0.00000000e+00
3        3.98107171e+02    4.99999921e-01   -1.98859768e-04   -5.00000000e-01    0.00000000e+00   -4.99999921e-01    1.98859768e-04   -7.90904272e-10   -1.98859768e-06    5.00000000e-01    0.00000000e+00
4        6.30957344e+02    4.99999801e-01   -3.15171417e-04   -5.00000000e-01    0.00000000e+00   -4.99999801e-01    3.15171417e-04   -1.98666123e-09   -3.15171417e-06    5.00000000e-01    0.00000000e+00
5        1.00000000e+03    4.99999501e-01   -4.99512733e-04   -5.00000000e-01    0.00000000e+00   -4.99999501e-01    4.99512733e-04   -4.99026440e-09   -4.99512733e-06    5.00000000e-01    0.00000000e+00
6        1.58489319e+03    4.99998747e-01   -7.91673136e-04   -5.00000000e-01    0.00000000e+00   -4.99998747e-01    7.91673136e-04   -1.25349585e-08   -7.91673136e-06    5.00000000e-01    0.00000000e+00
7        2.51188643e+03    4.99996851e-01   -1.25471261e-03   -5.00000000e-01    0.00000000e+00   -4.99996851e-01    1.25471261e-03   -3.14862729e-08   -1.25471261e-05    5.00000000e-01    0.00000000e+00
8        3.98107171e+03    4.99992091e-01   -1.98856654e-03   -5.00000000e-01    0.00000000e+00   -4.99992091e-01    1.98856654e-03   -7.90891886e-08   -1.98856654e-05    5.00000000e-01    0.00000000e+00
9        6.30957344e+03    4.99980134e-01   -3.15159020e-03   -5.00000000e-01    0.00000000e+00   -4.99980134e-01    3.15159020e-03   -1.98658309e-07   -3.15159020e-05    5.00000000e-01    0.00000000e+00
10       1.00000000e+04    4.99950102e-01   -4.99463383e-03   -5.00000000e-01    0.00000000e+00   -4.99950102e-01    4.99463383e-03   -4.98977137e-07   -4.99463383e-05    5.00000000e-01    0.00000000e+00
11       1.58489319e+04    4.99874682e-01   -7.91476698e-03   -5.00000000e-01    0.00000000e+00   -4.99874682e-01    7.91476698e-03   -1.25318482e-06   -7.91476698e-05    5.00000000e-01    0.00000000e+00
12       2.51188643e+04    4.99685333e-01   -1.25393087e-02   -5.00000000e-01    0.00000000e+00   -4.99685333e-01    1.25393087e-02   -3.14666557e-06   -1.25393087e-04    5.00000000e-01    0.00000000e+00
13       3.98107171e+04    4.99210345e-01   -1.98545738e-02   -5.00000000e-01    0.00000000e+00   -4.99210345e-01    1.98545738e-02   -7.89655313e-06   -1.98545738e-04    5.00000000e-01    0.00000000e+00
14       6.30957344e+04    4.98021200e-01   -3.13924220e-02   -5.00000000e-01    0.00000000e+00   -4.98021200e-01    3.13924220e-02   -1.97879961e-05   -3.13924220e-04    5.00000000e-01    0.00000000e+00
15       1.00000000e+05    4.95059044e-01   -4.94577086e-02   -5.00000000e-01    0.00000000e+00   -4.95059044e-01    4.94577086e-02   -4.94095597e-05   -4.94577086e-04    5.00000000e-01    0.00000000e+00
