Index       FREQ              VM(4)          Re(I(LLP1))       Im(I(LLP1))       Re(I(VMON))       Im(I(VMON))   
0        1.00000000e+02    3.14153064e-03    4.99980262e-03   -3.14146863e-05    4.99980262e-03   -3.14146863e-05
1        1.58489319e+02    4.97884195e-03    4.99950422e-03   -4.97859511e-05    4.99950422e-03   -4.97859511e-05
2        2.51188643e+02    7.89034131e-03    4.99875485e-03   -7.88935878e-05    4.99875485e-03   -7.88935878e-05
3        3.98107171e+02    1.25029947e-02    4.99687350e-03   -1.24990851e-04    4.99687350e-03   -1.24990851e-04
4        6.30957344e+02    1.98065511e-02    4.99215401e-03   -1.97910048e-04    4.99215401e-03   -1.97910048e-04
5        1.00000000e+03    3.13540970e-02    4.98033841e-03   -3.12923891e-04    4.98033841e-03   -3.12923891e-04
6        1.58489319e+03    4.95458328e-02    4.95090421e-03   -4.93019835e-04    4.95090421e-03   -4.93019835e-04
7        2.51188643e+03    7.79483950e-02    4.87848095e-03   -7.69953473e-04    4.87848095e-03   -7.69953473e-04
8        3.98107171e+03    1.21330863e-01    4.70557643e-03   -1.17704401e-03    4.70557643e-03   -1.17704401e-03
9        6.30957344e+03    1.84268866e-01    4.32089970e-03   -1.71298695e-03    4.32089970e-03   -1.71298695e-03
10       1.00000000e+04    2.66009022e-01    3.58478400e-03   -2.25238622e-03    3.58478400e-03   -2.25238622e-03
11       1.58489319e+04    3.52811745e-01    2.51047746e-03   -2.49997804e-03    2.51047746e-03   -2.49997804e-03
12       2.51188643e+04    4.22357237e-01    1.43228729e-03   -2.26052860e-03    1.43228729e-03   -2.26052860e-03
13       3.98107171e+04    4.64273695e-01    6.88998720e-04   -1.72344839e-03    6.88998720e-04   -1.72344839e-03
14       6.30957344e+04    4.84814235e-01    2.99103149e-04   -1.18577108e-03    2.99103149e-04   -1.18577108e-03
15       1.00000000e+05    4.93785246e-01    1.23522615e-04   -7.76115481e-04    1.23522615e-04   -7.76115481e-04
End of Xyce(TM) Simulation
