Index       FREQ              VM(2)             VM(3)          Re(I(VP1))        Im(I(VP1))        Re(I(VP2))        Im(I(VP2))         Re(I(L1))         Im(I(L1))         Re(I(L2))         Im(I(L2))    
0        1.00000000e+02    4.33116473e-01    3.13218788e-01    7.14304112e-01   -3.25526863e-01   -2.61616024e-01   -1.72229687e-01    7.14304112e-01   -3.25526863e-01   -2.61616024e-01   -1.72229687e-01
1        1.58489319e+02    5.24607612e-01    3.60709269e-01    5.94675676e-01   -3.33054559e-01   -3.46963138e-01   -9.86293952e-02    5.94675676e-01   -3.33054559e-01   -3.46963138e-01   -9.86293952e-02
2        2.51188643e+02    6.07368084e-01    3.74848416e-01    4.90592676e-01   -3.30756961e-01   -3.74696894e-01    1.06570552e-02    4.90592676e-01   -3.30756961e-01   -3.74696894e-01    1.06570552e-02
3        3.98107171e+02    7.00194107e-01    3.54245453e-01    3.84238372e-01   -3.33330774e-01   -3.34639575e-01    1.16216158e-01    3.84238372e-01   -3.33330774e-01   -3.34639575e-01    1.16216158e-01
4        6.30957344e+02    8.04250286e-01    3.01282817e-01    2.62410142e-01   -3.20592768e-01   -2.42056896e-01    1.79387277e-01    2.62410142e-01   -3.20592768e-01   -2.42056896e-01    1.79387277e-01
5        1.00000000e+03    8.93958152e-01    2.29209445e-01    1.48301853e-01   -2.71608990e-01   -1.40098586e-01    1.81409360e-01    1.48301853e-01   -2.71608990e-01   -1.40098586e-01    1.81409360e-01
6        1.58489319e+03    9.50504866e-01    1.59480848e-01    7.11063596e-02   -2.01534375e-01   -6.78243755e-02    1.44339859e-01    7.11063596e-02   -2.01534375e-01   -6.78243755e-02    1.44339859e-01
7        2.51188643e+03    9.78823709e-01    1.05220521e-01    3.08327889e-02   -1.37152361e-01   -2.95236213e-02    1.00993632e-01    3.08327889e-02   -1.37152361e-01   -2.95236213e-02    1.00993632e-01
8        3.98107171e+03    9.91309632e-01    6.76561097e-02    1.27278645e-02   -8.93785028e-02   -1.22062645e-02    6.65458961e-02    1.27278645e-02   -8.93785028e-02   -1.22062645e-02    6.65458961e-02
9        6.30957344e+03    9.96497200e-01    4.30188486e-02    5.14270813e-03   -5.71457728e-02   -4.93499022e-03    4.27348476e-02    5.14270813e-03   -5.71457728e-02   -4.93499022e-03    4.27348476e-02
10       1.00000000e+04    9.98598553e-01    2.72274577e-02    2.05959620e-03   -3.62494112e-02   -1.97689187e-03    2.71555952e-02    2.05959620e-03   -3.62494112e-02   -1.97689187e-03    2.71555952e-02
11       1.58489319e+04    9.99440963e-01    1.72006995e-02    8.21897666e-04   -2.29206912e-02   -7.88970840e-04    1.71825956e-02    8.21897666e-04   -2.29206912e-02   -7.88970840e-04    1.71825956e-02
12       2.51188643e+04    9.99777267e-01    1.08582805e-02    3.27514678e-04   -1.44742930e-02   -3.14406012e-04    1.08537276e-02    3.27514678e-04   -1.44742930e-02   -3.14406012e-04    1.08537276e-02
13       3.98107171e+04    9.99911300e-01    6.85246275e-03    1.30435350e-04   -9.13575891e-03   -1.25216655e-04    6.85131860e-03    1.30435350e-04   -9.13575891e-03   -1.25216655e-04    6.85131860e-03
14       6.30957344e+04    9.99964684e-01    4.32395118e-03    5.19350831e-05   -5.76505265e-03   -4.98574767e-05    4.32366372e-03    5.19350831e-05   -5.76505265e-03   -4.98574767e-05    4.32366372e-03
15       1.00000000e+05    9.99985940e-01    2.72831404e-03    2.06769710e-05   -3.63769789e-03   -1.98498600e-05    2.72824183e-03    2.06769710e-05   -3.63769789e-03   -1.98498600e-05    2.72824183e-03
End of Xyce(TM) Simulation
