Index        TIME             V(2)             V(3)
0       0.00000000e+00   8.50000000e-01   5.50000000e-01   
1       1.00000000e-12   8.50000000e-01   5.50000000e-01   
2       3.00000000e-12   8.50000000e-01   5.50000000e-01   
3       7.00000000e-12   8.50000000e-01   5.50000000e-01   
4       1.50000000e-11   8.50000000e-01   5.50000000e-01   
5       3.10000000e-11   8.50000000e-01   5.50000000e-01   
6       6.30000000e-11   8.50000000e-01   5.50000000e-01   
7       1.27000000e-10   8.50000000e-01   5.50000000e-01   
8       2.27000000e-10   8.50000000e-01   5.50000000e-01   
9       3.27000000e-10   8.50000000e-01   5.50000000e-01   
10      4.27000000e-10   8.50000000e-01   5.50000000e-01   
11      5.27000000e-10   8.50000000e-01   5.50000000e-01   
12      6.27000000e-10   8.50000000e-01   5.50000000e-01   
13      7.27000000e-10   8.50000000e-01   5.50000000e-01   
14      8.27000000e-10   8.50000000e-01   5.50000000e-01   
15      9.27000000e-10   8.50000000e-01   5.50000000e-01   
16      1.00000000e-09   8.50000000e-01   5.50000000e-01   
End of Xyce(TM) Simulation
