Index       TIME              V(2)              V(3)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    1.57079622e-03    0.00000000e+00
2        3.00000000e-10    4.71238619e-03    0.00000000e+00
3        7.00000000e-10    1.09955388e-02    0.00000000e+00
4        1.50000000e-09    2.35615961e-02    0.00000000e+00
5        3.10000000e-09    4.86916072e-02    0.00000000e+00
6        6.30000000e-09    9.89343272e-02    0.00000000e+00
7        1.27000000e-08    1.99279492e-01    0.00000000e+00
8        1.91000000e-08    2.99302458e-01    0.00000000e+00
9        2.55000000e-08    3.98841506e-01    0.00000000e+00
10       3.19000000e-08    4.97735700e-01    0.00000000e+00
11       3.83000000e-08    5.95825146e-01    0.00000000e+00
12       4.47000000e-08    6.92951251e-01    0.00000000e+00
13       5.11000000e-08    7.88956980e-01    0.00000000e+00
14       5.75000000e-08    8.83687109e-01    0.00000000e+00
15       6.39000000e-08    9.76988477e-01    0.00000000e+00
16       7.03000000e-08    1.06871023e+00    0.00000000e+00
17       7.67000000e-08    1.15870408e+00    0.00000000e+00
18       8.31000000e-08    1.24682451e+00    0.00000000e+00
19       8.95000000e-08    1.33292905e+00    0.00000000e+00
20       9.59000000e-08    1.41687849e+00    0.00000000e+00
21       1.02300000e-07    1.49853710e+00    0.00000000e+00
22       1.08700000e-07    1.57777284e+00    0.00000000e+00
23       1.15100000e-07    1.65445761e+00    0.00000000e+00
24       1.21500000e-07    1.72846742e+00    0.00000000e+00
25       1.27900000e-07    1.79968262e+00    0.00000000e+00
26       1.34300000e-07    1.86798806e+00    0.00000000e+00
27       1.40700000e-07    1.93327330e+00    0.00000000e+00
28       1.47100000e-07    1.99543278e+00    0.00000000e+00
29       1.53500000e-07    2.05436602e+00    0.00000000e+00
30       1.59900000e-07    2.10997772e+00    0.00000000e+00
31       1.66300000e-07    2.16217797e+00    0.00000000e+00
32       1.72700000e-07    2.21088238e+00    0.00000000e+00
33       1.79100000e-07    2.25601218e+00    0.00000000e+00
34       1.85500000e-07    2.29749443e+00    0.00000000e+00
35       1.91900000e-07    2.33526204e+00    0.00000000e+00
36       1.98300000e-07    2.36925397e+00    0.00000000e+00
37       2.04700000e-07    2.39941524e+00    0.00000000e+00
38       2.17500000e-07    2.44805703e+00    0.00000000e+00
39       2.30300000e-07    2.48087297e+00    0.00000000e+00
40       2.43100000e-07    2.49765091e+00    0.00000000e+00
41       2.55900000e-07    2.49828239e+00    0.00000000e+00
42       2.68700000e-07    2.48276333e+00    0.00000000e+00
43       2.81500000e-07    2.45119406e+00    0.00000000e+00
44       2.94300000e-07    2.40377865e+00    0.00000000e+00
45       3.07100000e-07    2.34082364e+00    0.00000000e+00
46       3.19900000e-07    2.26273600e+00    0.00000000e+00
47       3.32700000e-07    2.17002054e+00    0.00000000e+00
48       3.33647339e-07    2.16259310e+00    9.39501319e-03
49       3.35542016e-07    2.14750863e+00    6.60813279e-02
50       3.37436694e-07    2.13211982e+00    1.22757523e-01
51       3.39331371e-07    2.11642885e+00    1.79417618e-01
52       3.43120726e-07    2.08414937e+00    2.92640211e-01
53       3.50699436e-07    2.01606515e+00    5.18544588e-01
54       3.58278146e-07    1.94341034e+00    7.43287343e-01
55       3.65856856e-07    1.86634964e+00    9.66338059e-01
56       3.73435565e-07    1.78505777e+00    1.18718701e+00
57       3.81014275e-07    1.69971902e+00    1.40534750e+00
58       3.88592985e-07    1.61052685e+00    1.62032670e+00
59       3.96171695e-07    1.51768349e+00    1.83163885e+00
60       4.03750405e-07    1.42139940e+00    2.03880372e+00
61       4.11329115e-07    1.32189287e+00    2.24132706e+00
62       4.18907824e-07    1.21938950e+00    2.43877131e+00
63       4.26486534e-07    1.11412166e+00    2.63069036e+00
64       4.34065244e-07    1.00632802e+00    2.81665044e+00
65       4.41643954e-07    8.96252938e-01    2.99623107e+00
66       4.49222664e-07    7.84145975e-01    3.16900965e+00
67       4.56801374e-07    6.70261285e-01    3.33459828e+00
68       4.64380084e-07    5.54857054e-01    3.49262978e+00
69       4.71958793e-07    4.38194914e-01    3.64274689e+00
70       4.79537503e-07    3.20539348e-01    3.78460999e+00
71       4.87116213e-07    2.02157091e-01    3.91789375e+00
72       4.94694923e-07    8.33165258e-02    4.04228467e+00
73       5.02273633e-07   -3.57129248e-02    4.15751320e+00
74       5.09852343e-07   -1.54661411e-01    4.26331876e+00
75       5.17431052e-07   -2.73259267e-01    4.35946181e+00
76       5.25009762e-07   -3.91237619e-01    4.44572443e+00
77       5.32588472e-07   -5.08329002e-01    4.52190178e+00
78       5.40167182e-07   -6.24267959e-01    4.58782080e+00
79       5.47745892e-07   -7.38791646e-01    4.64333251e+00
80       5.55324602e-07   -8.51640428e-01    4.68833099e+00
81       5.62903311e-07   -9.62558466e-01    4.72271797e+00
82       5.70482021e-07   -1.07129430e+00    4.74637136e+00
83       5.78060731e-07   -1.17760142e+00    4.75928977e+00
84       5.85639441e-07   -1.28123881e+00    4.76140075e+00
85       5.89233333e-07   -1.32938344e+00    4.75863313e+00
86       5.89991204e-07   -1.33945033e+00    4.75773971e+00
87       5.90536358e-07   -1.34667291e+00    4.75703036e+00
88       5.91626665e-07   -1.36107057e+00    4.75544426e+00
89       5.93807279e-07   -1.38967360e+00    4.75160245e+00
90       5.98168508e-07   -1.44609173e+00    4.74124037e+00
91       6.06890965e-07   -1.55562907e+00    4.70985233e+00
92       6.15613422e-07   -1.66049514e+00    4.66430056e+00
93       6.24335878e-07   -1.76037505e+00    4.60477864e+00
94       6.33058335e-07   -1.85496888e+00    4.53141696e+00
95       6.41780792e-07   -1.94399257e+00    4.44441141e+00
96       6.50503249e-07   -2.02717882e+00    4.34411569e+00
97       6.59225706e-07   -2.10427782e+00    4.23076559e+00
98       6.67948163e-07   -2.15984481e+00    4.10462605e+00
99       6.69135598e-07   -2.14910642e+00    4.08650075e+00
100      6.70323033e-07   -2.14124771e+00    4.06814818e+00
101      6.71510468e-07   -2.13326958e+00    4.04956905e+00
102      6.73885337e-07   -2.11695874e+00    4.01173636e+00
103      6.78635077e-07   -2.08293624e+00    3.93340503e+00
104      6.88134556e-07   -2.00934043e+00    3.76630475e+00
105      6.97634034e-07   -1.92857317e+00    3.58577553e+00
106      7.07133513e-07   -1.84093953e+00    3.39246620e+00
107      7.16632992e-07   -1.74676664e+00    3.18710218e+00
108      7.26132471e-07   -1.64636407e+00    2.97038105e+00
109      7.35631950e-07   -1.54008544e+00    2.74306693e+00
110      7.45131429e-07   -1.42832641e+00    2.50597488e+00
111      7.54630907e-07   -1.31149668e+00    2.25998939e+00
112      7.64130386e-07   -1.18998845e+00    2.00594661e+00
113      7.73629865e-07   -1.06423052e+00    1.74474283e+00
114      7.83129344e-07   -9.34683801e-01    1.47731904e+00
115      7.92628823e-07   -8.01824827e-01    1.20466681e+00
116      8.02128302e-07   -6.66103698e-01    9.27714103e-01
117      8.11627781e-07   -5.28001094e-01    6.47438590e-01
118      8.21127259e-07   -3.88016561e-01    3.64854550e-01
119      8.30626738e-07   -2.46665188e-01    8.10031474e-02
120      8.40126217e-07   -1.04430242e-01   -2.03147986e-01
121      8.49625696e-07    3.81830047e-02   -4.86595235e-01
122      8.59125175e-07    1.80661510e-01   -7.68308222e-01
123      8.68624654e-07    3.22486988e-01   -1.04725587e+00
124      8.78124132e-07    4.63161252e-01   -1.32248547e+00
125      8.87623611e-07    6.02191208e-01   -1.59302438e+00
126      8.97123090e-07    7.39087605e-01   -1.85788470e+00
127      9.06622569e-07    8.73338108e-01   -2.11610380e+00
128      9.16122048e-07    1.00448912e+00   -2.36679793e+00
129      9.25621527e-07    1.13205844e+00   -2.60909505e+00
130      9.35121005e-07    1.25559769e+00   -2.84204838e+00
131      9.44620484e-07    1.37466414e+00   -3.06488811e+00
132      9.54119963e-07    1.48883335e+00   -3.27682791e+00
133      9.63619442e-07    1.59771013e+00   -3.47710002e+00
134      9.73118921e-07    1.70087822e+00   -3.66499110e+00
135      9.82618400e-07    1.79800059e+00   -3.83983179e+00
136      9.92117879e-07    1.88872423e+00   -4.00099904e+00
137      1.00161736e-06    1.97267817e+00   -4.14791249e+00
138      1.01111684e-06    2.04964336e+00   -4.28004489e+00
139      1.02061632e-06    2.11931522e+00   -4.39692938e+00
140      1.03011579e-06    2.18143061e+00   -4.49815888e+00
141      1.03961527e-06    2.23576995e+00   -4.58337132e+00
142      1.04911475e-06    2.28215753e+00   -4.65226017e+00
143      1.05861423e-06    2.32041706e+00   -4.70458010e+00
144      1.06811371e-06    2.35040564e+00   -4.74014477e+00
145      1.07761319e-06    2.37201874e+00   -4.75882752e+00
146      1.08711267e-06    2.38519655e+00   -4.76056180e+00
147      1.09661215e-06    2.38987880e+00   -4.74534144e+00
148      1.10611162e-06    2.38604129e+00   -4.71322064e+00
149      1.11561110e-06    2.37370220e+00   -4.66431382e+00
150      1.12511058e-06    2.35292267e+00   -4.59879513e+00
151      1.13461006e-06    2.32376190e+00   -4.51689794e+00
152      1.14410954e-06    2.28631589e+00   -4.41891391e+00
153      1.15360902e-06    2.24072477e+00   -4.30519201e+00
154      1.16310850e-06    2.18716674e+00   -4.17613727e+00
155      1.17260798e-06    2.12581718e+00   -4.03220929e+00
156      1.18210746e-06    2.05688693e+00   -3.87392069e+00
157      1.19160693e-06    1.98063026e+00   -3.70183521e+00
158      1.20110641e-06    1.89733210e+00   -3.51656572e+00
159      1.21060589e-06    1.80727411e+00   -3.31877205e+00
160      1.22010537e-06    1.71077007e+00   -3.10915864e+00
161      1.22960485e-06    1.60817390e+00   -2.88847204e+00
162      1.23910433e-06    1.49986111e+00   -2.65749820e+00
163      1.24860381e-06    1.38620375e+00   -2.41705974e+00
164      1.25810329e-06    1.26759471e+00   -2.16801297e+00
165      1.26760276e-06    1.14449005e+00   -1.91124487e+00
166      1.27710224e-06    1.01731070e+00   -1.64766991e+00
167      1.28660172e-06    8.86500101e-01   -1.37822681e+00
168      1.29610120e-06    7.52530043e-01   -1.10387518e+00
169      1.30560068e-06    6.15878881e-01   -8.25592131e-01
170      1.31510016e-06    4.77033134e-01   -5.44368749e-01
171      1.32459964e-06    3.36487455e-01   -2.61206609e-01
172      1.33409912e-06    1.94745047e-01    2.28858134e-02
173      1.34359860e-06    5.23129035e-02    3.06896728e-01
174      1.35309807e-06   -9.03030496e-02    5.89814637e-01
175      1.36259755e-06   -2.32599070e-01    8.70631933e-01
176      1.37209703e-06   -3.74068407e-01    1.14834849e+00
177      1.38159651e-06   -5.14205666e-01    1.42197523e+00
178      1.39109599e-06   -6.52511533e-01    1.69053764e+00
179      1.40059547e-06   -7.88493494e-01    1.95307923e+00
180      1.41009495e-06   -9.21667253e-01    2.20866497e+00
181      1.41959443e-06   -1.05155851e+00    2.45638460e+00
182      1.42909391e-06   -1.17770467e+00    2.69535587e+00
183      1.43859338e-06   -1.29965646e+00    2.92472768e+00
184      1.44809286e-06   -1.41697954e+00    3.14368314e+00
185      1.45759234e-06   -1.52925609e+00    3.35144244e+00
186      1.46709182e-06   -1.63608622e+00    3.54726564e+00
187      1.47659130e-06   -1.73708947e+00    3.73045534e+00
188      1.48609078e-06   -1.83190611e+00    3.90035909e+00
189      1.49559026e-06   -1.92019845e+00    4.05637181e+00
190      1.50508974e-06   -2.00165205e+00    4.19793784e+00
191      1.51458921e-06   -2.07597680e+00    4.32455300e+00
192      1.52408869e-06   -2.14290801e+00    4.43576636e+00
193      1.53358817e-06   -2.20220730e+00    4.53118183e+00
194      1.54308765e-06   -2.25366347e+00    4.61045959e+00
195      1.55258713e-06   -2.29709327e+00    4.67331730e+00
196      1.56208661e-06   -2.33234202e+00    4.71953109e+00
197      1.57158609e-06   -2.35928418e+00    4.74893637e+00
198      1.58108557e-06   -2.37782381e+00    4.76142842e+00
199      1.59058505e-06   -2.38789486e+00    4.75696273e+00
200      1.60008452e-06   -2.38946148e+00    4.73555523e+00
201      1.60958400e-06   -2.38251808e+00    4.69728214e+00
202      1.61908348e-06   -2.36708939e+00    4.64227979e+00
203      1.62858296e-06   -2.34323036e+00    4.57074405e+00
204      1.63808244e-06   -2.31102597e+00    4.48292971e+00
205      1.64758192e-06   -2.27059091e+00    4.37914951e+00
206      1.65708140e-06   -2.22206919e+00    4.25977306e+00
207      1.66658088e-06   -2.16563362e+00    4.12522552e+00
208      1.67608036e-06   -2.10148518e+00    3.97598607e+00
209      1.68557983e-06   -2.02985236e+00    3.81258624e+00
210      1.69507931e-06   -1.95099025e+00    3.63560796e+00
211      1.70457879e-06   -1.86517974e+00    3.44568154e+00
212      1.71407827e-06   -1.77272643e+00    3.24348339e+00
213      1.72357775e-06   -1.67395959e+00    3.02973366e+00
214      1.73307723e-06   -1.56923098e+00    2.80519358e+00
215      1.74257671e-06   -1.45891358e+00    2.57066288e+00
216      1.75207619e-06   -1.34340030e+00    2.32697681e+00
217      1.76157566e-06   -1.22310252e+00    2.07500326e+00
218      1.77107514e-06   -1.09844869e+00    1.81563963e+00
219      1.78057462e-06   -9.69882763e-01    1.54980964e+00
220      1.79007410e-06   -8.37862615e-01    1.27846003e+00
221      1.79957358e-06   -7.02858438e-01    1.00255722e+00
222      1.80907306e-06   -5.65351045e-01    7.23083821e-01
223      1.81857254e-06   -4.25830166e-01    4.41035175e-01
224      1.82807202e-06   -2.84792702e-01    1.57415790e-01
225      1.83757150e-06   -1.42740956e-01   -1.26764227e-01
226      1.84707097e-06   -1.80839771e-04   -4.10492776e-01
227      1.85657045e-06    1.42379920e-01   -6.92759364e-01
228      1.86606993e-06    2.84433597e-01   -9.72558704e-01
229      1.87556941e-06    4.25474269e-01   -1.24889430e+00
230      1.88506889e-06    5.64999624e-01   -1.52078198e+00
231      1.89456837e-06    7.02512745e-01   -1.78725343e+00
232      1.90406785e-06    8.37523882e-01   -2.04735961e+00
233      1.91356733e-06    9.69552195e-01   -2.30017417e+00
234      1.92306681e-06    1.09812747e+00   -2.54479671e+00
235      1.93256628e-06    1.22279178e+00   -2.78035600e+00
236      1.94206576e-06    1.34310115e+00   -3.00601312e+00
237      1.95156524e-06    1.45862710e+00   -3.22096438e+00
238      1.96106472e-06    1.56895817e+00   -3.42444425e+00
239      1.97056420e-06    1.67370143e+00   -3.61572803e+00
240      1.98006368e-06    1.77248384e+00   -3.79413448e+00
241      1.98956316e-06    1.86495359e+00   -3.95902819e+00
242      1.99906264e-06    1.95078134e+00   -4.10982191e+00
243      2.00856211e-06    2.02966143e+00   -4.24597859e+00
244      2.01806159e-06    2.10131292e+00   -4.36701331e+00
245      2.02756107e-06    2.16548063e+00   -4.47249499e+00
246      2.03706055e-06    2.22193603e+00   -4.56204799e+00
247      2.04656003e-06    2.27047804e+00   -4.63535334e+00
248      2.05605951e-06    2.31093380e+00   -4.69214999e+00
249      2.06555899e-06    2.34315922e+00   -4.73223564e+00
