Index       V(G)              V(D)             I(V_D)            I(V_G)            I(V_S)      
0        1.00000000e+00   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
1        9.90000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
2        9.80000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
3        9.70000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
4        9.60000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
5        9.50000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
6        9.40000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
7        9.30000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
8        9.20000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
9        9.10000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
10       9.00000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
11       8.90000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
12       8.80000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
13       8.70000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
14       8.60000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
15       8.50000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
16       8.40000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
17       8.30000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
18       8.20000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
19       8.10000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
20       8.00000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
21       7.90000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
22       7.80000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
23       7.70000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
24       7.60000000e-01   -5.00000000e-02   -5.00000000e-17    0.00000000e+00    5.00000000e-17
25       7.50000000e-01   -5.00000000e-02   -5.00000001e-17    0.00000000e+00    5.00000001e-17
26       7.40000000e-01   -5.00000000e-02   -5.00000001e-17    0.00000000e+00    5.00000001e-17
27       7.30000000e-01   -5.00000000e-02   -5.00000001e-17    0.00000000e+00    5.00000001e-17
28       7.20000000e-01   -5.00000000e-02   -5.00000002e-17    0.00000000e+00    5.00000002e-17
29       7.10000000e-01   -5.00000000e-02   -5.00000003e-17    0.00000000e+00    5.00000003e-17
30       7.00000000e-01   -5.00000000e-02   -5.00000004e-17    0.00000000e+00    5.00000004e-17
31       6.90000000e-01   -5.00000000e-02   -5.00000005e-17    0.00000000e+00    5.00000005e-17
32       6.80000000e-01   -5.00000000e-02   -5.00000007e-17    0.00000000e+00    5.00000007e-17
33       6.70000000e-01   -5.00000000e-02   -5.00000010e-17    0.00000000e+00    5.00000010e-17
34       6.60000000e-01   -5.00000000e-02   -5.00000015e-17    0.00000000e+00    5.00000015e-17
35       6.50000000e-01   -5.00000000e-02   -5.00000020e-17    0.00000000e+00    5.00000020e-17
36       6.40000000e-01   -5.00000000e-02   -5.00000029e-17    0.00000000e+00    5.00000029e-17
37       6.30000000e-01   -5.00000000e-02   -5.00000041e-17    0.00000000e+00    5.00000041e-17
38       6.20000000e-01   -5.00000000e-02   -5.00000058e-17    0.00000000e+00    5.00000058e-17
39       6.10000000e-01   -5.00000000e-02   -5.00000082e-17    0.00000000e+00    5.00000082e-17
40       6.00000000e-01   -5.00000000e-02   -5.00000116e-17    0.00000000e+00    5.00000116e-17
41       5.90000000e-01   -5.00000000e-02   -5.00000163e-17    0.00000000e+00    5.00000163e-17
42       5.80000000e-01   -5.00000000e-02   -5.00000231e-17    0.00000000e+00    5.00000231e-17
43       5.70000000e-01   -5.00000000e-02   -5.00000326e-17    0.00000000e+00    5.00000326e-17
44       5.60000000e-01   -5.00000000e-02   -5.00000461e-17    0.00000000e+00    5.00000461e-17
45       5.50000000e-01   -5.00000000e-02   -5.00000652e-17    0.00000000e+00    5.00000652e-17
46       5.40000000e-01   -5.00000000e-02   -5.00000921e-17    0.00000000e+00    5.00000921e-17
47       5.30000000e-01   -5.00000000e-02   -5.00001302e-17    0.00000000e+00    5.00001302e-17
48       5.20000000e-01   -5.00000000e-02   -5.00001840e-17    0.00000000e+00    5.00001840e-17
49       5.10000000e-01   -5.00000000e-02   -5.00002600e-17    0.00000000e+00    5.00002600e-17
50       5.00000000e-01   -5.00000000e-02   -5.00003675e-17    0.00000000e+00    5.00003675e-17
51       4.90000000e-01   -5.00000000e-02   -5.00005195e-17    0.00000000e+00    5.00005195e-17
52       4.80000000e-01   -5.00000000e-02   -5.00007343e-17    0.00000000e+00    5.00007343e-17
53       4.70000000e-01   -5.00000000e-02   -5.00010379e-17    0.00000000e+00    5.00010379e-17
54       4.60000000e-01   -5.00000000e-02   -5.00014672e-17    0.00000000e+00    5.00014672e-17
55       4.50000000e-01   -5.00000000e-02   -5.00020739e-17    0.00000000e+00    5.00020739e-17
56       4.40000000e-01   -5.00000000e-02   -5.00029316e-17    0.00000000e+00    5.00029316e-17
57       4.30000000e-01   -5.00000000e-02   -5.00041441e-17    0.00000000e+00    5.00041441e-17
58       4.20000000e-01   -5.00000000e-02   -5.00058582e-17    0.00000000e+00    5.00058582e-17
59       4.10000000e-01   -5.00000000e-02   -5.00082813e-17    0.00000000e+00    5.00082813e-17
60       4.00000000e-01   -5.00000000e-02   -5.00117068e-17    0.00000000e+00    5.00117068e-17
61       3.90000000e-01   -5.00000000e-02   -5.00165496e-17    0.00000000e+00    5.00165496e-17
62       3.80000000e-01   -5.00000000e-02   -5.00233961e-17    0.00000000e+00    5.00233961e-17
63       3.70000000e-01   -5.00000000e-02   -5.00330753e-17    0.00000000e+00    5.00330753e-17
64       3.60000000e-01   -5.00000000e-02   -5.00467597e-17    0.00000000e+00    5.00467597e-17
65       3.50000000e-01   -5.00000000e-02   -5.00661065e-17    0.00000000e+00    5.00661065e-17
66       3.40000000e-01   -5.00000000e-02   -5.00934595e-17    0.00000000e+00    5.00934595e-17
67       3.30000000e-01   -5.00000000e-02   -5.01321322e-17    0.00000000e+00    5.01321322e-17
68       3.20000000e-01   -5.00000000e-02   -5.01868100e-17    0.00000000e+00    5.01868100e-17
69       3.10000000e-01   -5.00000000e-02   -5.02641178e-17    0.00000000e+00    5.02641178e-17
70       3.00000000e-01   -5.00000000e-02   -5.03734232e-17    0.00000000e+00    5.03734232e-17
71       2.90000000e-01   -5.00000000e-02   -5.05279721e-17    0.00000000e+00    5.05279721e-17
72       2.80000000e-01   -5.00000000e-02   -5.07464948e-17    0.00000000e+00    5.07464948e-17
73       2.70000000e-01   -5.00000000e-02   -5.10554768e-17    0.00000000e+00    5.10554768e-17
74       2.60000000e-01   -5.00000000e-02   -5.14923707e-17    0.00000000e+00    5.14923707e-17
75       2.50000000e-01   -5.00000000e-02   -5.21101381e-17    0.00000000e+00    5.21101381e-17
76       2.40000000e-01   -5.00000000e-02   -5.29836724e-17    0.00000000e+00    5.29836724e-17
77       2.30000000e-01   -5.00000000e-02   -5.42188831e-17    0.00000000e+00    5.42188831e-17
78       2.20000000e-01   -5.00000000e-02   -5.59655428e-17    0.00000000e+00    5.59655428e-17
79       2.10000000e-01   -5.00000000e-02   -5.84354557e-17    0.00000000e+00    5.84354557e-17
80       2.00000000e-01   -5.00000000e-02   -6.19281538e-17    0.00000000e+00    6.19281538e-17
81       1.90000000e-01   -5.00000000e-02   -6.68672395e-17    0.00000000e+00    6.68672395e-17
82       1.80000000e-01   -5.00000000e-02   -7.38517853e-17    0.00000000e+00    7.38517853e-17
83       1.70000000e-01   -5.00000000e-02   -8.37290308e-17    0.00000000e+00    8.37290308e-17
84       1.60000000e-01   -5.00000000e-02   -9.76972039e-17    0.00000000e+00    9.76972039e-17
85       1.50000000e-01   -5.00000000e-02   -1.17450949e-16    0.00000000e+00    1.17450949e-16
86       1.40000000e-01   -5.00000000e-02   -1.45387020e-16    0.00000000e+00    1.45387020e-16
87       1.30000000e-01   -5.00000000e-02   -1.84895222e-16    0.00000000e+00    1.84895222e-16
88       1.20000000e-01   -5.00000000e-02   -2.40769929e-16    0.00000000e+00    2.40769929e-16
89       1.10000000e-01   -5.00000000e-02   -3.19792159e-16    0.00000000e+00    3.19792159e-16
90       1.00000000e-01   -5.00000000e-02   -4.31552913e-16    0.00000000e+00    4.31552913e-16
91       9.00000000e-02   -5.00000000e-02   -5.89617791e-16    0.00000000e+00    5.89617791e-16
92       8.00000000e-02   -5.00000000e-02   -8.13174361e-16    0.00000000e+00    8.13174361e-16
93       7.00000000e-02   -5.00000000e-02   -1.12936243e-15    0.00000000e+00    1.12936243e-15
94       6.00000000e-02   -5.00000000e-02   -1.57657036e-15    0.00000000e+00    1.57657036e-15
95       5.00000000e-02   -5.00000000e-02   -2.20909793e-15    0.00000000e+00    2.20909793e-15
96       4.00000000e-02   -5.00000000e-02   -3.10375247e-15    0.00000000e+00    3.10375247e-15
97       3.00000000e-02   -5.00000000e-02   -4.36917976e-15    0.00000000e+00    4.36917976e-15
98       2.00000000e-02   -5.00000000e-02   -6.15906394e-15    0.00000000e+00    6.15906394e-15
99       1.00000000e-02   -5.00000000e-02   -8.69080065e-15    0.00000000e+00    8.69080065e-15
100      0.00000000e+00   -5.00000000e-02   -1.22719135e-14    0.00000000e+00    1.22719135e-14
101     -1.00000000e-02   -5.00000000e-02   -1.73374252e-14    0.00000000e+00    1.73374252e-14
102     -2.00000000e-02   -5.00000000e-02   -2.45027262e-14    0.00000000e+00    2.45027262e-14
103     -3.00000000e-02   -5.00000000e-02   -3.46383700e-14    0.00000000e+00    3.46383700e-14
104     -4.00000000e-02   -5.00000000e-02   -4.89758888e-14    0.00000000e+00    4.89758888e-14
105     -5.00000000e-02   -5.00000000e-02   -6.92574969e-14    0.00000000e+00    6.92574969e-14
106     -6.00000000e-02   -5.00000000e-02   -9.79478880e-14    0.00000000e+00    9.79478880e-14
107     -7.00000000e-02   -5.00000000e-02   -1.38533884e-13    0.00000000e+00    1.38533884e-13
108     -8.00000000e-02   -5.00000000e-02   -1.95948383e-13    0.00000000e+00    1.95948383e-13
109     -9.00000000e-02   -5.00000000e-02   -2.77170169e-13    0.00000000e+00    2.77170169e-13
110     -1.00000000e-01   -5.00000000e-02   -3.92072551e-13    0.00000000e+00    3.92072551e-13
111     -1.10000000e-01   -5.00000000e-02   -5.54624073e-13    0.00000000e+00    5.54624073e-13
112     -1.20000000e-01   -5.00000000e-02   -7.84587356e-13    0.00000000e+00    7.84587356e-13
113     -1.30000000e-01   -5.00000000e-02   -1.10992279e-12    0.00000000e+00    1.10992279e-12
114     -1.40000000e-01   -5.00000000e-02   -1.57018954e-12    0.00000000e+00    1.57018954e-12
115     -1.50000000e-01   -5.00000000e-02   -2.22135765e-12    0.00000000e+00    2.22135765e-12
116     -1.60000000e-01   -5.00000000e-02   -3.14261698e-12    0.00000000e+00    3.14261698e-12
117     -1.70000000e-01   -5.00000000e-02   -4.44601135e-12    0.00000000e+00    4.44601135e-12
118     -1.80000000e-01   -5.00000000e-02   -6.29007073e-12    0.00000000e+00    6.29007073e-12
119     -1.90000000e-01   -5.00000000e-02   -8.89910025e-12    0.00000000e+00    8.89910025e-12
120     -2.00000000e-01   -5.00000000e-02   -1.25904742e-11    0.00000000e+00    1.25904742e-11
121     -2.10000000e-01   -5.00000000e-02   -1.78132568e-11    0.00000000e+00    1.78132568e-11
122     -2.20000000e-01   -5.00000000e-02   -2.52028518e-11    0.00000000e+00    2.52028518e-11
123     -2.30000000e-01   -5.00000000e-02   -3.56583318e-11    0.00000000e+00    3.56583318e-11
124     -2.40000000e-01   -5.00000000e-02   -5.04518630e-11    0.00000000e+00    5.04518630e-11
125     -2.50000000e-01   -5.00000000e-02   -7.13835445e-11    0.00000000e+00    7.13835445e-11
126     -2.60000000e-01   -5.00000000e-02   -1.01000513e-10    0.00000000e+00    1.01000513e-10
127     -2.70000000e-01   -5.00000000e-02   -1.42906988e-10    0.00000000e+00    1.42906988e-10
128     -2.80000000e-01   -5.00000000e-02   -2.02202991e-10    0.00000000e+00    2.02202991e-10
129     -2.90000000e-01   -5.00000000e-02   -2.86105159e-10    0.00000000e+00    2.86105159e-10
130     -3.00000000e-01   -5.00000000e-02   -4.04825202e-10    0.00000000e+00    4.04825202e-10
131     -3.10000000e-01   -5.00000000e-02   -5.72812903e-10    0.00000000e+00    5.72812903e-10
132     -3.20000000e-01   -5.00000000e-02   -8.10514920e-10    0.00000000e+00    8.10514920e-10
133     -3.30000000e-01   -5.00000000e-02   -1.14686327e-09    0.00000000e+00    1.14686327e-09
134     -3.40000000e-01   -5.00000000e-02   -1.62279605e-09    0.00000000e+00    1.62279605e-09
135     -3.50000000e-01   -5.00000000e-02   -2.29623804e-09    0.00000000e+00    2.29623804e-09
136     -3.60000000e-01   -5.00000000e-02   -3.24914574e-09    0.00000000e+00    3.24914574e-09
137     -3.70000000e-01   -5.00000000e-02   -4.59747040e-09    0.00000000e+00    4.59747040e-09
138     -3.80000000e-01   -5.00000000e-02   -6.50524419e-09    0.00000000e+00    6.50524419e-09
139     -3.90000000e-01   -5.00000000e-02   -9.20448798e-09    0.00000000e+00    9.20448798e-09
140     -4.00000000e-01   -5.00000000e-02   -1.30233318e-08    0.00000000e+00    1.30233318e-08
141     -4.10000000e-01   -5.00000000e-02   -1.84257055e-08    0.00000000e+00    1.84257055e-08
142     -4.20000000e-01   -5.00000000e-02   -2.60673005e-08    0.00000000e+00    2.60673005e-08
