Index        TIME             V(1)             V(16)            V(17)
0       0.00000000e+00   0.00000000e+00   6.38878415e+00   6.38878415e+00   
1       5.00000000e-10   0.00000000e+00   6.38878426e+00   6.38878426e+00   
2       5.06812000e-10   2.14005139e-04   6.38878428e+00   6.38878428e+00   
3       5.13624001e-10   4.28009297e-04   6.38878434e+00   6.38878434e+00   
4       5.20436001e-10   6.42011495e-04   6.38878444e+00   6.38878444e+00   
5       5.27248001e-10   8.56010753e-04   6.38878460e+00   6.38878459e+00   
6       5.40872002e-10   1.28399653e-03   6.38878522e+00   6.38878520e+00   
7       5.54496003e-10   1.71195878e-03   6.38878621e+00   6.38878615e+00   
8       5.68120003e-10   2.13988967e-03   6.38878759e+00   6.38878746e+00   
9       5.95368005e-10   2.99562601e-03   6.38879219e+00   6.38879157e+00   
10      6.22616006e-10   3.85114284e-03   6.38879878e+00   6.38879716e+00   
11      6.49864007e-10   4.70637747e-03   6.38880749e+00   6.38880414e+00   
12      6.77112009e-10   5.56126723e-03   6.38881846e+00   6.38881237e+00   
13      7.04360010e-10   6.41574948e-03   6.38883178e+00   6.38882171e+00   
14      7.31608011e-10   7.26976161e-03   6.38884758e+00   6.38883201e+00   
15      7.58856012e-10   8.12324103e-03   6.38886598e+00   6.38884309e+00   
16      7.86104014e-10   8.97612520e-03   6.38888710e+00   6.38885477e+00   
17      8.13352015e-10   9.82835164e-03   6.38891111e+00   6.38886686e+00   
18      8.40600016e-10   1.06798579e-02   6.38893814e+00   6.38887918e+00   
19      8.67848018e-10   1.15305815e-02   6.38896836e+00   6.38889150e+00   
20      8.95096019e-10   1.23804603e-02   6.38900196e+00   6.38890362e+00   
21      9.22344020e-10   1.32294318e-02   6.38903914e+00   6.38891530e+00   
22      9.49592022e-10   1.40774339e-02   6.38908009e+00   6.38892632e+00   
23      9.76840023e-10   1.49244045e-02   6.38912504e+00   6.38893643e+00   
24      1.00408802e-09   1.57702815e-02   6.38917422e+00   6.38894535e+00   
25      1.03133603e-09   1.66150028e-02   6.38922790e+00   6.38895283e+00   
26      1.05858403e-09   1.74585067e-02   6.38928633e+00   6.38895858e+00   
27      1.08583203e-09   1.83007313e-02   6.38934979e+00   6.38896229e+00   
28      1.11308003e-09   1.91416148e-02   6.38941857e+00   6.38896366e+00   
29      1.14032803e-09   1.99810957e-02   6.38949299e+00   6.38896236e+00   
30      1.16757603e-09   2.08191125e-02   6.38957336e+00   6.38895805e+00   
31      1.19482403e-09   2.16556037e-02   6.38966001e+00   6.38895039e+00   
32      1.22207203e-09   2.24905081e-02   6.38975329e+00   6.38893900e+00   
33      1.24932004e-09   2.33237644e-02   6.38985356e+00   6.38892352e+00   
34      1.27656804e-09   2.41553116e-02   6.38996119e+00   6.38890354e+00   
35      1.30381604e-09   2.49850888e-02   6.39007656e+00   6.38887867e+00   
36      1.33106404e-09   2.58130352e-02   6.39020006e+00   6.38884848e+00   
37      1.35831204e-09   2.66390901e-02   6.39033211e+00   6.38881255e+00   
38      1.38556004e-09   2.74631929e-02   6.39047312e+00   6.38877043e+00   
39      1.41280804e-09   2.82852834e-02   6.39062351e+00   6.38872166e+00   
40      1.44005605e-09   2.91053012e-02   6.39078374e+00   6.38866578e+00   
41      1.46730405e-09   2.99231862e-02   6.39095424e+00   6.38860231e+00   
42      1.49455205e-09   3.07388786e-02   6.39113548e+00   6.38853076e+00   
43      1.52180005e-09   3.15523185e-02   6.39132792e+00   6.38845061e+00   
44      1.54904805e-09   3.23634464e-02   6.39153204e+00   6.38836136e+00   
45      1.57629605e-09   3.31722028e-02   6.39174834e+00   6.38826248e+00   
46      1.60354405e-09   3.39785284e-02   6.39197730e+00   6.38815342e+00   
47      1.63079205e-09   3.47823642e-02   6.39221943e+00   6.38803364e+00   
48      1.65804006e-09   3.55836513e-02   6.39247525e+00   6.38790258e+00   
49      1.68528806e-09   3.63823309e-02   6.39274528e+00   6.38775966e+00   
50      1.71253606e-09   3.71783445e-02   6.39303004e+00   6.38760432e+00   
51      1.73978406e-09   3.79716338e-02   6.39333008e+00   6.38743595e+00   
52      1.76703206e-09   3.87621406e-02   6.39364594e+00   6.38725395e+00   
53      1.79428006e-09   3.95498072e-02   6.39397816e+00   6.38705772e+00   
54      1.82152806e-09   4.03345756e-02   6.39432731e+00   6.38684665e+00   
55      1.84877607e-09   4.11163884e-02   6.39469395e+00   6.38662009e+00   
56      1.87602407e-09   4.18951884e-02   6.39507866e+00   6.38637741e+00   
57      1.90327207e-09   4.26709184e-02   6.39548201e+00   6.38611798e+00   
58      1.93052007e-09   4.34435216e-02   6.39590458e+00   6.38584114e+00   
59      1.95776807e-09   4.42129414e-02   6.39634696e+00   6.38554622e+00   
60      1.98501607e-09   4.49791215e-02   6.39680975e+00   6.38523257e+00   
61      2.01226407e-09   4.57420056e-02   6.39729355e+00   6.38489950e+00   
62      2.03951207e-09   4.65015379e-02   6.39779896e+00   6.38454634e+00   
63      2.06676008e-09   4.72576627e-02   6.39832659e+00   6.38417239e+00   
64      2.09400808e-09   4.80103246e-02   6.39887706e+00   6.38377697e+00   
65      2.12125608e-09   4.87594685e-02   6.39945098e+00   6.38335936e+00   
66      2.14850408e-09   4.95050394e-02   6.40004898e+00   6.38291887e+00   
67      2.17575208e-09   5.02469828e-02   6.40067168e+00   6.38245478e+00   
68      2.20300008e-09   5.09852442e-02   6.40131973e+00   6.38196638e+00   
69      2.23024808e-09   5.17197696e-02   6.40199374e+00   6.38145293e+00   
70      2.25749608e-09   5.24505051e-02   6.40269437e+00   6.38091372e+00   
71      2.28474409e-09   5.31773973e-02   6.40342224e+00   6.38034801e+00   
72      2.31199209e-09   5.39003927e-02   6.40417802e+00   6.37975506e+00   
73      2.33924009e-09   5.46194385e-02   6.40496234e+00   6.37913414e+00   
74      2.36648809e-09   5.53344820e-02   6.40577586e+00   6.37848450e+00   
75      2.39373609e-09   5.60454708e-02   6.40661923e+00   6.37780539e+00   
76      2.42098409e-09   5.67523527e-02   6.40749311e+00   6.37709607e+00   
77      2.44823209e-09   5.74550760e-02   6.40839815e+00   6.37635577e+00   
78      2.47548010e-09   5.81535891e-02   6.40933503e+00   6.37558374e+00   
79      2.50272810e-09   5.88478410e-02   6.41030439e+00   6.37477923e+00   
80      2.52997610e-09   5.95377807e-02   6.41130691e+00   6.37394146e+00   
81      2.55722410e-09   6.02233576e-02   6.41234325e+00   6.37306968e+00   
82      2.58447210e-09   6.09045216e-02   6.41341408e+00   6.37216313e+00   
83      2.61172010e-09   6.15812226e-02   6.41452007e+00   6.37122103e+00   
84      2.63896810e-09   6.22534112e-02   6.41566188e+00   6.37024262e+00   
85      2.66621610e-09   6.29210381e-02   6.41684021e+00   6.36922713e+00   
86      2.69346411e-09   6.35840543e-02   6.41805570e+00   6.36817379e+00   
87      2.72071211e-09   6.42424113e-02   6.41930905e+00   6.36708182e+00   
88      2.74796011e-09   6.48960608e-02   6.42060092e+00   6.36595047e+00   
89      2.77520811e-09   6.55449550e-02   6.42193199e+00   6.36477895e+00   
90      2.80245611e-09   6.61890462e-02   6.42330293e+00   6.36356651e+00   
91      2.82970411e-09   6.68282873e-02   6.42471443e+00   6.36231236e+00   
92      2.85695211e-09   6.74626314e-02   6.42616714e+00   6.36101574e+00   
93      2.88420012e-09   6.80920321e-02   6.42766176e+00   6.35967588e+00   
94      2.91144812e-09   6.87164432e-02   6.42919895e+00   6.35829201e+00   
95      2.93869612e-09   6.93358190e-02   6.43077939e+00   6.35686336e+00   
96      2.96594412e-09   6.99501141e-02   6.43240376e+00   6.35538918e+00   
97      2.99319212e-09   7.05592834e-02   6.43407273e+00   6.35386870e+00   
98      3.02044012e-09   7.11632825e-02   6.43578696e+00   6.35230115e+00   
99      3.04768812e-09   7.17620669e-02   6.43754714e+00   6.35068578e+00   
100     3.10218413e-09   7.29438167e-02   6.44125674e+00   6.34725779e+00   
101     3.15668013e-09   7.41041866e-02   6.44516080e+00   6.34362650e+00   
102     3.21117613e-09   7.52428363e-02   6.44926466e+00   6.33978596e+00   
