Index   TIME           V(1)           V(6)           V(7)           
0       0.00000000e+00   3.40000000e+00   3.73798619e+00   2.96775474e+00   
1       1.00000000e-09   3.40200000e+00   3.73803277e+00   2.96779671e+00   
2       3.00000000e-09   3.40600000e+00   3.73806117e+00   2.96782716e+00   
3       5.00000000e-09   3.41000000e+00   3.73806835e+00   2.96783509e+00   
4       9.00000000e-09   3.41800000e+00   3.73807086e+00   2.96783778e+00   
5       1.70000000e-08   3.43400000e+00   3.73807469e+00   2.96784164e+00   
6       3.30000000e-08   3.46600000e+00   3.73808510e+00   2.96785175e+00   
7       6.50000000e-08   3.53000000e+00   3.73821263e+00   2.96797650e+00   
8       1.02500000e-07   3.60500000e+00   3.74055080e+00   2.97026428e+00   
9       1.15000000e-07   3.63000000e+00   3.74468590e+00   2.97429331e+00   
10      1.21250000e-07   3.64250000e+00   3.74912790e+00   2.97861820e+00   
11      1.30617980e-07   3.66123596e+00   3.76405593e+00   2.99317409e+00   
12      1.36028619e-07   3.67205724e+00   3.78366334e+00   3.01222018e+00   
13      1.37967301e-07   3.67593460e+00   3.79472052e+00   3.02291345e+00   
14      1.40557113e-07   3.68111423e+00   3.81834027e+00   3.04574101e+00   
15      1.42499472e-07   3.68499894e+00   3.84726962e+00   3.07360439e+00   
16      1.43956241e-07   3.68791248e+00   3.88065551e+00   3.10564385e+00   
17      1.45111745e-07   3.69022349e+00   3.91956893e+00   3.14286864e+00   
18      1.45978373e-07   3.69195675e+00   3.95998498e+00   3.18142857e+00   
19      1.46806873e-07   3.69361375e+00   4.01263634e+00   3.23155280e+00   
20      1.47428248e-07   3.69485650e+00   4.06433346e+00   3.28067892e+00   
21      1.48094264e-07   3.69618853e+00   4.13645383e+00   3.34912231e+00   
22      1.48760280e-07   3.69752056e+00   4.23184159e+00   3.43955634e+00   
23      1.49426296e-07   3.69885259e+00   4.35809407e+00   3.55924769e+00   
24      1.50092313e-07   3.70018463e+00   4.52154742e+00   3.71466912e+00   
25      1.50385901e-07   3.70077180e+00   4.60456981e+00   3.79425943e+00   
26      1.50567934e-07   3.70113587e+00   4.65789957e+00   3.84614689e+00   
27      1.50694052e-07   3.70138810e+00   4.69411275e+00   3.88229547e+00   
28      1.50788641e-07   3.70157728e+00   4.71941862e+00   3.90865763e+00   
29      1.50859583e-07   3.70171917e+00   4.73642936e+00   3.92740837e+00   
30      1.50927288e-07   3.70185458e+00   4.75076882e+00   3.94399586e+00   
31      1.50982877e-07   3.70196575e+00   4.76134201e+00   3.95649571e+00   
32      1.51038467e-07   3.70207693e+00   4.77094398e+00   3.96791529e+00   
33      1.51094056e-07   3.70218811e+00   4.77963102e+00   3.97825933e+00   
34      1.51171967e-07   3.70234393e+00   4.79036191e+00   3.99103884e+00   
35      1.51263483e-07   3.70252697e+00   4.80101999e+00   4.00370595e+00   
36      1.51355000e-07   3.70271000e+00   4.80979574e+00   4.01411975e+00   
37      1.51446516e-07   3.70289303e+00   4.81693284e+00   4.02258825e+00   
38      1.51538033e-07   3.70307607e+00   4.82267310e+00   4.02940666e+00   
39      1.51629549e-07   3.70325910e+00   4.82724284e+00   4.03484513e+00   
40      1.51752562e-07   3.70350512e+00   4.83193879e+00   4.04044864e+00   
41      1.51875575e-07   3.70375115e+00   4.83530390e+00   4.04447769e+00   
42      1.52082523e-07   3.70416505e+00   4.83900420e+00   4.04892251e+00   
43      1.52345620e-07   3.70469124e+00   4.84139565e+00   4.05180788e+00   
44      1.52649576e-07   3.70529915e+00   4.84244165e+00   4.05307585e+00   
45      1.53060897e-07   3.70612179e+00   4.84274354e+00   4.05344306e+00   
46      1.53472218e-07   3.70694444e+00   4.84259402e+00   4.05326176e+00   
47      1.54134533e-07   3.70826907e+00   4.84240727e+00   4.05303452e+00   
48      1.55090924e-07   3.71018185e+00   4.84229589e+00   4.05289918e+00   
49      1.56969846e-07   3.71393969e+00   4.84227532e+00   4.05287422e+00   
50      1.59780691e-07   3.71956138e+00   4.84229897e+00   4.05290263e+00   
51      1.65402380e-07   3.73080476e+00   4.84231112e+00   4.05291666e+00   
52      1.76645757e-07   3.75329151e+00   4.84231576e+00   4.05292155e+00   
53      1.99132513e-07   3.79826503e+00   4.84231662e+00   4.05292224e+00   
54      2.00000000e-07   3.80000000e+00   4.84231650e+00   4.05292208e+00   
