Index       FREQ             EQNFREQ          EQNHERTZ            VR(B)             VI(B)             VM(B)             VP(B)            VDB(B)            IM(V1)      
0        1.00000000e+02    1.00000000e+02    1.00000000e+02    1.57913421e-06    1.25663508e-03    1.25663607e-03    8.99280000e+01   -5.80158096e+01    6.28318035e-04
1        1.58489319e+02    1.58489319e+02    1.58489319e+02    3.96659633e-06    1.99162762e-03    1.99163157e-03    8.98858878e+01   -5.40158199e+01    9.95815787e-04
2        2.51188643e+02    2.51188643e+02    2.51188643e+02    9.96357974e-06    3.15649813e-03    3.15651386e-03    8.98191448e+01   -5.00158460e+01    1.57825693e-03
3        3.98107171e+02    3.98107171e+02    3.98107171e+02    2.50270038e-05    5.00263705e-03    5.00269965e-03    8.97133652e+01   -4.60159114e+01    2.50134982e-03
4        6.30957344e+02    6.30957344e+02    6.30957344e+02    6.28626126e-05    7.92834540e-03    7.92859461e-03    8.95457202e+01   -4.20160757e+01    3.96429731e-03
5        1.00000000e+03    1.00000000e+03    1.00000000e+03    1.57888738e-04    1.25643865e-02    1.25653785e-02    8.92800379e+01   -3.80164885e+01    6.28268927e-03
6        1.58489319e+03    1.58489319e+03    1.58489319e+03    3.96503928e-04    1.99084583e-02    1.99124064e-02    8.88590277e+01   -3.40175251e+01    9.95620320e-03
7        2.51188643e+03    2.51188643e+03    2.51188643e+03    9.95376141e-04    3.15338765e-02    3.15495823e-02    8.81920421e+01   -3.00201277e+01    1.57747911e-02
8        3.98107171e+03    3.98107171e+03    3.98107171e+03    2.49651483e-03    4.99027278e-02    4.99651361e-02    8.71360161e+01   -2.60266585e+01    2.49825681e-02
9        6.30957344e+03    6.30957344e+03    6.30957344e+03    6.24738131e-03    7.87930932e-02    7.90403777e-02    8.54665912e+01   -2.20430199e+01    3.95201889e-02
10       1.00000000e+04    1.00000000e+04    1.00000000e+04    1.55458764e-02    1.23710154e-01    1.24683104e-01    8.28375442e+01   -1.80838479e+01    6.23415520e-02
11       1.58489319e+04    1.58489319e+04    1.58489319e+04    3.81527491e-02    1.91564915e-01    1.95327287e-01    7.87361566e+01   -1.41847416e+01    9.76636435e-02
12       2.51188643e+04    2.51188643e+04    2.51188643e+04    9.06088183e-02    2.87052017e-01    3.01012987e-01    7.24815444e+01   -1.04282953e+01    1.50506493e-01
13       3.98107171e+04    3.98107171e+04    3.98107171e+04    2.00176794e-01    4.00132534e-01    4.47411213e-01    6.34222890e+01   -6.98586271e+00    2.23705607e-01
14       6.30957344e+04    6.30957344e+04    6.30957344e+04    3.86000434e-01    4.86830668e-01    6.21289332e-01    5.15896504e+01   -4.13412207e+00    3.10644666e-01
15       1.00000000e+05    1.00000000e+05    1.00000000e+05    6.12273363e-01    4.87231661e-01    7.82478986e-01    3.85118873e+01   -2.13054634e+00    3.91239493e-01
16       1.58489319e+05    1.58489319e+05    1.58489319e+05    7.98655504e-01    4.01004850e-01    8.93675279e-01    2.66612227e+01   -9.76405108e-01    4.46837640e-01
17       2.51188643e+05    2.51188643e+05    2.51188643e+05    9.08789741e-01    2.87907880e-01    9.53304642e-01    1.75783902e+01   -4.15365841e-01    4.76652321e-01
18       3.98107171e+05    3.98107171e+05    3.98107171e+05    9.61579291e-01    1.92209672e-01    9.80601495e-01    1.13038486e+01   -1.70148983e-01    4.90300747e-01
19       6.30957344e+05    6.30957344e+05    6.30957344e+05    9.84342355e-01    1.24147023e-01    9.92140290e-01    7.18829276e+00   -6.85382739e-02    4.96070145e-01
20       1.00000000e+06    1.00000000e+06    1.00000000e+06    9.93707275e-01    7.90767124e-02    9.96848672e-01    4.54986531e+00   -2.74153059e-02    4.98424336e-01
End of Xyce(TM) Simulation
