Index       V(B)             I(V_C)      
0        5.00000000e-01    7.27826393e-09
1        5.10000000e-01    1.06795919e-08
2        5.20000000e-01    1.56698309e-08
3        5.30000000e-01    2.29908847e-08
4        5.40000000e-01    3.37308797e-08
5        5.50000000e-01    4.94856286e-08
6        5.60000000e-01    7.25953312e-08
7        5.70000000e-01    1.06491535e-07
8        5.80000000e-01    1.56205650e-07
9        5.90000000e-01    2.29114148e-07
10       6.00000000e-01    3.36030403e-07
11       6.10000000e-01    4.92804124e-07
12       6.20000000e-01    7.22663732e-07
13       6.30000000e-01    1.05964569e-06
14       6.40000000e-01    1.55361301e-06
15       6.50000000e-01    2.27759510e-06
16       6.60000000e-01    3.33851416e-06
17       6.70000000e-01    4.89284333e-06
18       6.80000000e-01    7.16942777e-06
19       6.90000000e-01    1.05026708e-05
20       7.00000000e-01    1.53806350e-05
21       7.10000000e-01    2.25144328e-05
22       7.20000000e-01    3.29376359e-05
23       7.30000000e-01    4.81472418e-05
24       7.40000000e-01    7.03005575e-05
25       7.50000000e-01    1.02483974e-04
26       7.60000000e-01    1.49067269e-04
27       7.70000000e-01    2.16145467e-04
28       7.80000000e-01    3.12040616e-04
29       7.90000000e-01    4.47777490e-04
30       8.00000000e-01    6.37358348e-04
31       8.10000000e-01    8.97572499e-04
32       8.20000000e-01    1.24705930e-03
33       8.30000000e-01    1.70447392e-03
34       8.40000000e-01    2.28588692e-03
35       8.50000000e-01    3.00181164e-03
36       8.60000000e-01    3.85423792e-03
37       8.70000000e-01    4.83442529e-03
38       8.80000000e-01    5.92490408e-03
39       8.90000000e-01    7.10804562e-03
40       9.00000000e-01    8.37198143e-03
0        5.00000000e-01    2.54779242e-06
1        5.10000000e-01    3.45700542e-06
2        5.20000000e-01    4.69025021e-06
3        5.30000000e-01    6.36274621e-06
4        5.40000000e-01    8.63050772e-06
5        5.50000000e-01    1.17046608e-05
6        5.60000000e-01    1.58706867e-05
7        5.70000000e-01    2.15142097e-05
8        5.80000000e-01    2.91554139e-05
9        5.90000000e-01    3.94947242e-05
10       6.00000000e-01    5.34729822e-05
11       6.10000000e-01    7.23499018e-05
12       6.20000000e-01    9.78049007e-05
13       6.30000000e-01    1.32064111e-04
14       6.40000000e-01    1.78055816e-04
15       6.50000000e-01    2.39592670e-04
16       6.60000000e-01    3.21571301e-04
17       6.70000000e-01    4.30166579e-04
18       6.80000000e-01    5.72979121e-04
19       6.90000000e-01    7.59074378e-04
20       7.00000000e-01    9.98836601e-04
21       7.10000000e-01    1.30355291e-03
22       7.20000000e-01    1.68463677e-03
23       7.30000000e-01    2.15237677e-03
24       7.40000000e-01    2.71401794e-03
25       7.50000000e-01    3.37107903e-03
26       7.60000000e-01    4.11744888e-03
27       7.70000000e-01    4.94246083e-03
28       7.80000000e-01    5.83751977e-03
29       7.90000000e-01    6.79780381e-03
30       8.00000000e-01    7.81973321e-03
31       8.10000000e-01    8.89938124e-03
32       8.20000000e-01    1.00323697e-02
33       8.30000000e-01    1.12141730e-02
34       8.40000000e-01    1.24403570e-02
35       8.50000000e-01    1.37066958e-02
36       8.60000000e-01    1.50092153e-02
37       8.70000000e-01    1.63442000e-02
38       8.80000000e-01    1.77081818e-02
39       8.90000000e-01    1.90979206e-02
40       9.00000000e-01    2.05103832e-02
End of Xyce(TM) Parameter Sweep
