Index        TIME             V(2A)        {V(2A)/V(2B)}    {I(R1)/I(R2)}        V(2C)        {V(2C)/V(2D)}    {I(R3)/I(R4)}
0       0.00000000e+00   9.36181881e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
1       1.00000000e-10   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
2       3.00000000e-10   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
3       7.00000000e-10   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
4       1.50000000e-09   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
5       3.10000000e-09   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
6       6.30000000e-09   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
7       1.27000000e-08   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
8       2.55000000e-08   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
9       5.11000000e-08   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
10      1.02300000e-07   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
11      2.04700000e-07   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
12      4.09500000e-07   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
13      8.19100000e-07   9.36181868e-01   1.00000000e+00   1.00000000e+00   1.58280689e+00   1.00000000e+00   1.00000000e+00   
