Index       TIME              V(2)              I(L1)             V(1)              I(L2)      
0        0.00000000e+00    0.00000000e+00    5.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-04   -4.57057823e+00    4.57057823e+00   -4.03911565e-01    4.03911565e-01
2        1.03125000e-04   -4.55723974e+00    4.55723974e+00   -4.16452990e-01    4.16452990e-01
3        1.05937500e-04   -4.54530029e+00    4.54530029e+00   -4.27675183e-01    4.27675183e-01
4        1.11562500e-04   -4.52155105e+00    4.52155105e+00   -4.49990116e-01    4.49990116e-01
5        1.22812500e-04   -4.47482188e+00    4.47482188e+00   -4.93851917e-01    4.93851917e-01
6        1.45312500e-04   -4.38435619e+00    4.38435619e+00   -5.78587834e-01    5.78587834e-01
7        1.90312500e-04   -4.21475155e+00    4.21475155e+00   -7.36752721e-01    7.36752721e-01
8        2.35312500e-04   -4.05927458e+00    4.05927458e+00   -8.80816316e-01    8.80816316e-01
9        2.80312500e-04   -3.91670963e+00    3.91670963e+00   -1.01199419e+00    1.01199419e+00
10       3.25312500e-04   -3.78594578e+00    3.78594578e+00   -1.13139722e+00    1.13139722e+00
11       3.70312500e-04   -3.66596776e+00    3.66596776e+00   -1.24004060e+00    1.24004060e+00
12       4.15312500e-04   -3.55584774e+00    3.55584774e+00   -1.33885211e+00    1.33885211e+00
13       4.60312500e-04   -3.45473781e+00    3.45473781e+00   -1.42867960e+00    1.42867960e+00
14       5.05312500e-04   -3.36186306e+00    3.36186306e+00   -1.51029791e+00    1.51029791e+00
15       5.50312500e-04   -3.27651535e+00    3.27651535e+00   -1.58441513e+00    1.58441513e+00
16       5.95312500e-04   -3.19804749e+00    3.19804749e+00   -1.65167839e+00    1.65167839e+00
17       6.40312500e-04   -3.12586804e+00    3.12586804e+00   -1.71267906e+00    1.71267906e+00
18       6.85312500e-04   -3.05943651e+00    3.05943651e+00   -1.76795758e+00    1.76795758e+00
19       7.30312500e-04   -2.99825893e+00    2.99825893e+00   -1.81800786e+00    1.81800786e+00
20       7.75312500e-04   -2.94188390e+00    2.94188390e+00   -1.86328124e+00    1.86328124e+00
21       8.20312500e-04   -2.88989886e+00    2.88989886e+00   -1.90419021e+00    1.90419021e+00
22       8.65312500e-04   -2.84192681e+00    2.84192681e+00   -1.94111173e+00    1.94111173e+00
23       9.10312500e-04   -2.79762320e+00    2.79762320e+00   -1.97439028e+00    1.97439028e+00
24       9.55312500e-04   -2.75667316e+00    2.75667316e+00   -2.00434068e+00    2.00434068e+00
25       1.00031250e-03   -2.71878892e+00    2.71878892e+00   -2.03125063e+00    2.03125063e+00
26       1.09031250e-03   -2.65108331e+00    2.65108331e+00   -2.07708345e+00    2.07708345e+00
27       1.18031250e-03   -2.59280279e+00    2.59280279e+00   -2.11359190e+00    2.11359190e+00
28       1.27031250e-03   -2.54239902e+00    2.54239902e+00   -2.14232387e+00    2.14232387e+00
29       1.36031250e-03   -2.49857928e+00    2.49857928e+00   -2.16457159e+00    2.16457159e+00
30       1.45031250e-03   -2.46026432e+00    2.46026432e+00   -2.18141387e+00    2.18141387e+00
31       1.54031250e-03   -2.42655307e+00    2.42655307e+00   -2.19375131e+00    2.19375131e+00
32       1.63031250e-03   -2.39669322e+00    2.39669322e+00   -2.20233578e+00    2.20233578e+00
33       1.72031250e-03   -2.37005665e+00    2.37005665e+00   -2.20779494e+00    2.20779494e+00
34       1.81031250e-03   -2.34611894e+00    2.34611894e+00   -2.21065274e+00    2.21065274e+00
35       1.99031250e-03   -2.30451997e+00    2.30451997e+00   -2.21038244e+00    2.21038244e+00
36       2.35031250e-03   -2.23830638e+00    2.23830638e+00   -2.19400636e+00    2.19400636e+00
37       2.71031250e-03   -2.18604046e+00    2.18604046e+00   -2.16519339e+00    2.16519339e+00
38       3.07031250e-03   -2.14072424e+00    2.14072424e+00   -2.13091386e+00    2.13091386e+00
39       3.79031250e-03   -2.05918607e+00    2.05918607e+00   -2.05758903e+00    2.05758903e+00
40       4.51031250e-03   -1.98389322e+00    1.98389322e+00   -1.98363323e+00    1.98363323e+00
41       5.23031250e-03   -1.91186548e+00    1.91186548e+00   -1.91182315e+00    1.91182315e+00
42       5.95031250e-03   -1.84253618e+00    1.84253618e+00   -1.84252929e+00    1.84252929e+00
43       6.67031250e-03   -1.77573453e+00    1.77573453e+00   -1.77573341e+00    1.77573341e+00
44       7.39031250e-03   -1.71135700e+00    1.71135700e+00   -1.71135682e+00    1.71135682e+00
45       8.11031250e-03   -1.64931377e+00    1.64931377e+00   -1.64931374e+00    1.64931374e+00
46       8.83031250e-03   -1.58951991e+00    1.58951991e+00   -1.58951990e+00    1.58951990e+00
47       9.55031250e-03   -1.53189381e+00    1.53189381e+00   -1.53189380e+00    1.53189380e+00
48       1.02703125e-02   -1.47635687e+00    1.47635687e+00   -1.47635687e+00    1.47635687e+00
49       1.09903125e-02   -1.42283336e+00    1.42283336e+00   -1.42283336e+00    1.42283336e+00
50       1.17103125e-02   -1.37125028e+00    1.37125028e+00   -1.37125028e+00    1.37125028e+00
51       1.24303125e-02   -1.32153727e+00    1.32153727e+00   -1.32153727e+00    1.32153727e+00
52       1.31503125e-02   -1.27362656e+00    1.27362656e+00   -1.27362656e+00    1.27362656e+00
53       1.38703125e-02   -1.22745279e+00    1.22745279e+00   -1.22745279e+00    1.22745279e+00
54       1.45903125e-02   -1.18295299e+00    1.18295299e+00   -1.18295299e+00    1.18295299e+00
55       1.53103125e-02   -1.14006647e+00    1.14006647e+00   -1.14006647e+00    1.14006647e+00
56       1.60303125e-02   -1.09873476e+00    1.09873476e+00   -1.09873476e+00    1.09873476e+00
57       1.67503125e-02   -1.05890147e+00    1.05890147e+00   -1.05890147e+00    1.05890147e+00
58       1.74703125e-02   -1.02051230e+00    1.02051230e+00   -1.02051230e+00    1.02051230e+00
59       1.81903125e-02   -9.83514872e-01    9.83514872e-01   -9.83514872e-01    9.83514872e-01
60       1.89103125e-02   -9.47858744e-01    9.47858744e-01   -9.47858744e-01    9.47858744e-01
61       1.96303125e-02   -9.13495285e-01    9.13495285e-01   -9.13495285e-01    9.13495285e-01
62       2.03503125e-02   -8.80377631e-01    8.80377631e-01   -8.80377631e-01    8.80377631e-01
63       2.10703125e-02   -8.48460617e-01    8.48460617e-01   -8.48460617e-01    8.48460617e-01
64       2.17903125e-02   -8.17700715e-01    8.17700715e-01   -8.17700715e-01    8.17700715e-01
65       2.25103125e-02   -7.88055976e-01    7.88055976e-01   -7.88055976e-01    7.88055976e-01
66       2.32303125e-02   -7.59485971e-01    7.59485971e-01   -7.59485971e-01    7.59485971e-01
67       2.39503125e-02   -7.31951737e-01    7.31951737e-01   -7.31951737e-01    7.31951737e-01
68       2.46703125e-02   -7.05415722e-01    7.05415722e-01   -7.05415722e-01    7.05415722e-01
69       2.53903125e-02   -6.79841738e-01    6.79841738e-01   -6.79841738e-01    6.79841738e-01
70       2.61103125e-02   -6.55194908e-01    6.55194908e-01   -6.55194908e-01    6.55194908e-01
71       2.68303125e-02   -6.31441618e-01    6.31441618e-01   -6.31441618e-01    6.31441618e-01
72       2.75503125e-02   -6.08549475e-01    6.08549475e-01   -6.08549475e-01    6.08549475e-01
73       2.82703125e-02   -5.86487258e-01    5.86487258e-01   -5.86487258e-01    5.86487258e-01
74       2.89903125e-02   -5.65224880e-01    5.65224880e-01   -5.65224880e-01    5.65224880e-01
75       2.97103125e-02   -5.44733344e-01    5.44733344e-01   -5.44733344e-01    5.44733344e-01
76       3.04303125e-02   -5.24984703e-01    5.24984703e-01   -5.24984703e-01    5.24984703e-01
77       3.11503125e-02   -5.05952025e-01    5.05952025e-01   -5.05952025e-01    5.05952025e-01
78       3.18703125e-02   -4.87609353e-01    4.87609353e-01   -4.87609353e-01    4.87609353e-01
79       3.25903125e-02   -4.69931673e-01    4.69931673e-01   -4.69931673e-01    4.69931673e-01
80       3.33103125e-02   -4.52894875e-01    4.52894875e-01   -4.52894875e-01    4.52894875e-01
