Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}           I(L1)             I(L2)      
0        0.00000000e+00   -5.00000000e-01   -4.99800000e+02    2.00000000e-01    5.00000000e-01    0.00000000e+00
1        1.00000000e-04   -1.12562419e-02   -4.66021794e+00   -3.42928533e+00    1.12562419e-02    3.62928533e-03
2        1.00195312e-04   -1.05634857e-02   -3.95497544e+00   -3.27093541e+00    1.05634857e-02    3.47093541e-03
3        1.00230941e-04   -1.04449068e-02   -3.83411879e+00   -3.23739861e+00    1.04449068e-02    3.43739861e-03
4        1.00266570e-04   -1.03300100e-02   -3.71694423e+00   -3.20173556e+00    1.03300100e-02    3.40173556e-03
5        1.00337828e-04   -1.01200423e-02   -3.50242097e+00   -3.11973241e+00    1.01200423e-02    3.31973241e-03
6        1.00409086e-04   -9.93252151e-03   -3.31034473e+00   -3.02711552e+00    9.93252151e-03    3.22711552e-03
7        1.00480344e-04   -9.76308772e-03   -3.13635545e+00   -2.92777274e+00    9.76308772e-03    3.12777274e-03
8        1.00551602e-04   -9.60841907e-03   -2.97713132e+00   -2.82457249e+00    9.60841907e-03    3.02457249e-03
9        1.00694118e-04   -9.33312299e-03   -2.69272428e+00   -2.61493339e+00    9.33312299e-03    2.81493339e-03
10       1.00836634e-04   -9.09374100e-03   -2.44423136e+00   -2.40803997e+00    9.09374100e-03    2.60803997e-03
11       1.00979150e-04   -8.88140345e-03   -2.22278290e+00   -2.20973670e+00    8.88140345e-03    2.40973670e-03
12       1.01121666e-04   -8.69062278e-03   -2.02289134e+00   -2.02272268e+00    8.69062278e-03    2.22272268e-03
13       1.01264182e-04   -8.51783641e-03   -1.84099409e+00   -1.84799025e+00    8.51783641e-03    2.04799025e-03
14       1.01406697e-04   -8.36059263e-03   -1.67463945e+00   -1.68562198e+00    8.36059263e-03    1.88562198e-03
15       1.01549213e-04   -8.21709457e-03   -1.52203055e+00   -1.53523100e+00    8.21709457e-03    1.73523100e-03
16       1.01691729e-04   -8.08594353e-03   -1.38176869e+00   -1.39620314e+00    8.08594353e-03    1.59620314e-03
17       1.01834245e-04   -7.96599360e-03   -1.25270796e+00   -1.26782897e+00    7.96599360e-03    1.46782897e-03
18       1.01976761e-04   -7.85626827e-03   -1.13387185e+00   -1.14937483e+00    7.85626827e-03    1.34937483e-03
19       1.02119277e-04   -7.75591180e-03   -1.02440462e+00   -1.04012010e+00    7.75591180e-03    1.24012010e-03
20       1.02261793e-04   -7.66416010e-03   -9.23542179e-01   -9.39375887e-01    7.66416010e-03    1.13937589e-03
21       1.02546825e-04   -7.50349407e-03   -7.44654715e-01   -7.60596058e-01    7.50349407e-03    9.60596058e-04
22       1.02831856e-04   -7.36980123e-03   -5.92740521e-01   -6.08711289e-01    7.36980123e-03    8.08711289e-04
23       1.03116888e-04   -7.25899664e-03   -4.63714647e-01   -4.79693424e-01    7.25899664e-03    6.79693424e-04
24       1.03401920e-04   -7.16762692e-03   -3.54123720e-01   -3.70104643e-01    7.16762692e-03    5.70104643e-04
25       1.03686952e-04   -7.09276328e-03   -2.61038957e-01   -2.77020418e-01    7.09276328e-03    4.77020418e-04
26       1.03971983e-04   -7.03191928e-03   -1.81973902e-01   -1.97955462e-01    7.03191928e-03    3.97955462e-04
27       1.04257015e-04   -6.98298327e-03   -1.14816921e-01   -1.30798459e-01    6.98298327e-03    3.30798459e-04
28       1.04542047e-04   -6.94416175e-03   -5.77745046e-02   -7.37559877e-02    6.94416175e-03    2.73755988e-04
29       1.05112110e-04   -6.89048713e-03    3.23416852e-02    1.63603326e-02    6.89048713e-03    1.83639667e-04
30       1.05682174e-04   -6.86205616e-03    9.72139113e-02    8.12326952e-02    6.86205616e-03    1.18767305e-04
31       1.06252237e-04   -6.85179736e-03    1.43913643e-01    1.27932564e-01    6.85179736e-03    7.20674358e-05
32       1.06822301e-04   -6.85462018e-03    1.77531453e-01    1.61550511e-01    6.85462018e-03    3.84494888e-05
33       1.07962428e-04   -6.88504600e-03    2.19985935e-01    2.04005271e-01    6.88504600e-03   -4.00527082e-06
34       1.10242682e-04   -6.99613878e-03    2.54649926e-01    2.38669825e-01    6.99613878e-03   -3.86698245e-05
35       1.14803190e-04   -7.27714953e-03    2.65136981e-01    2.49158039e-01    7.27714953e-03   -4.91580385e-05
36       1.18773338e-04   -7.53219591e-03    2.63836168e-01    2.47858283e-01    7.53219591e-03   -4.78582827e-05
37       1.22743485e-04   -7.78584716e-03    2.63913476e-01    2.47936674e-01    7.78584716e-03   -4.79366737e-05
38       1.26713632e-04   -8.03956771e-03    2.63903894e-01    2.47928218e-01    8.03956771e-03   -4.79282177e-05
39       1.34653927e-04   -8.54694346e-03    2.63895051e-01    2.47921709e-01    8.54694346e-03   -4.79217085e-05
40       1.50534516e-04   -9.56146160e-03    2.63874715e-01    2.47906456e-01    9.56146160e-03   -4.79064562e-05
41       1.82295694e-04   -1.15894324e-02    2.63828163e-01    2.47871660e-01    1.15894324e-02   -4.78716603e-05
42       2.45818051e-04   -1.56400975e-02    2.63709044e-01    2.47782473e-01    1.56400975e-02   -4.77824735e-05
43       3.72862764e-04   -2.37121960e-02    2.63368885e-01    2.47527728e-01    2.37121960e-02   -4.75277280e-05
44       4.99907478e-04   -3.17299399e-02    2.62854905e-01    2.47142765e-01    3.17299399e-02   -4.71427654e-05
45       6.26952191e-04   -3.96748850e-02    2.62223894e-01    2.46669592e-01    3.96748850e-02   -4.66695923e-05
46       7.53996904e-04   -4.75288630e-02    2.61424339e-01    2.46070707e-01    4.75288630e-02   -4.60707070e-05
47       8.81041618e-04   -5.52738105e-02    2.60508524e-01    2.45383672e-01    5.52738105e-02   -4.53836718e-05
48       1.00808633e-03   -6.28920128e-02    2.59430477e-01    2.44576140e-01    6.28920128e-02   -4.45761405e-05
49       1.13513104e-03   -7.03659521e-02    2.58238489e-01    2.43681744e-01    7.03659521e-02   -4.36817442e-05
50       1.26217576e-03   -7.76785307e-02    2.56891612e-01    2.42672780e-01    7.76785307e-02   -4.26727805e-05
51       1.38922047e-03   -8.48129358e-02    2.55434592e-01    2.41579403e-01    8.48129358e-02   -4.15794029e-05
52       1.51626518e-03   -9.17528448e-02    2.53831031e-01    2.40378089e-01    9.17528448e-02   -4.03780886e-05
53       1.64330990e-03   -9.84823031e-02    2.52122531e-01    2.39095914e-01    9.84823031e-02   -3.90959136e-05
54       1.77035461e-03   -1.04985913e-01    2.50276807e-01    2.37713113e-01    1.04985913e-01   -3.77131133e-05
55       1.89739932e-03   -1.11248725e-01    2.48332662e-01    2.36254038e-01    1.11248725e-01   -3.62540378e-05
56       2.02444404e-03   -1.17256407e-01    2.46261534e-01    2.34702297e-01    1.17256407e-01   -3.47022969e-05
57       2.15148875e-03   -1.22995151e-01    2.44099727e-01    2.33079824e-01    1.22995151e-01   -3.30798235e-05
58       2.27853346e-03   -1.28451824e-01    2.41822035e-01    2.31373252e-01    1.28451824e-01   -3.13732517e-05
59       2.40557818e-03   -1.33613882e-01    2.39462528e-01    2.29602367e-01    1.33613882e-01   -2.96023670e-05
60       2.53262289e-03   -1.38469516e-01    2.36999020e-01    2.27756507e-01    1.38469516e-01   -2.77565073e-05
61       2.65966760e-03   -1.43007561e-01    2.34463575e-01    2.25853545e-01    1.43007561e-01   -2.58535453e-05
62       2.78671232e-03   -1.47217635e-01    2.31836717e-01    2.23885230e-01    1.47217635e-01   -2.38852299e-05
63       2.91375703e-03   -1.51090059e-01    2.29148695e-01    2.21867724e-01    1.51090059e-01   -2.18677243e-05
