Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}        I(XKS1:L1)        I(XKS1:L2)    
0        0.00000000e+00   -5.00000000e-01   -4.99800000e+02   -2.49800000e+02    5.00000000e-01    2.50000000e-01
1        1.00000000e-04   -1.30943984e-02   -6.49837439e+00   -5.89088318e+00    1.30943984e-02    6.09088318e-03
2        1.00781250e-04   -1.09172633e-02   -4.27129435e+00   -4.13613163e+00    1.09172633e-02    4.33613163e-03
3        1.00950242e-04   -1.05048557e-02   -3.84808313e+00   -3.77388179e+00    1.05048557e-02    3.97388179e-03
4        1.01045497e-04   -1.02885635e-02   -3.62570146e+00   -3.57638155e+00    1.02885635e-02    3.77638155e-03
5        1.01140752e-04   -1.00798245e-02   -3.41087291e+00   -3.38245281e+00    1.00798245e-02    3.58245281e-03
6        1.01331262e-04   -9.70264693e-03   -3.02151622e+00   -3.01759709e+00    9.70264693e-03    3.21759709e-03
7        1.01521773e-04   -9.37116273e-03   -2.67785297e+00   -2.68491527e+00    9.37116273e-03    2.88491527e-03
8        1.01712283e-04   -9.07762229e-03   -2.37213351e+00   -2.38411772e+00    9.07762229e-03    2.58411772e-03
9        1.01902793e-04   -8.81674916e-03   -2.09908141e+00   -2.11327162e+00    8.81674916e-03    2.31327162e-03
10       1.02093303e-04   -8.58456156e-03   -1.85471486e+00   -1.86989379e+00    8.58456156e-03    2.06989379e-03
11       1.02283813e-04   -8.37782488e-03   -1.63579927e+00   -1.65142132e+00    8.37782488e-03    1.85142132e-03
12       1.02474323e-04   -8.19378913e-03   -1.43958464e+00   -1.45540527e+00    8.19378913e-03    1.65540527e-03
13       1.02664833e-04   -8.03005574e-03   -1.26367241e+00   -1.27958202e+00    8.03005574e-03    1.47958202e-03
14       1.02855343e-04   -7.88450405e-03   -1.10594190e+00   -1.12189137e+00    7.88450405e-03    1.32189137e-03
15       1.03045853e-04   -7.75524589e-03   -9.64504964e-01   -9.80472277e-01    7.75524589e-03    1.18047228e-03
16       1.03236363e-04   -7.64059413e-03   -8.37674461e-01   -8.53649745e-01    7.64059413e-03    1.05364975e-03
17       1.03426873e-04   -7.53903854e-03   -7.23940163e-01   -7.39918995e-01    7.53903854e-03    9.39918995e-04
18       1.03617383e-04   -7.44922603e-03   -6.21948983e-01   -6.37929381e-01    7.44922603e-03    8.37929381e-04
19       1.03807893e-04   -7.36994377e-03   -5.30488079e-01   -5.46469154e-01    7.36994377e-03    7.46469154e-04
20       1.03998403e-04   -7.30010437e-03   -4.48470074e-01   -4.64451427e-01    7.30010437e-03    6.64451427e-04
21       1.04379423e-04   -7.18458210e-03   -3.08590691e-01   -3.24572182e-01    7.18458210e-03    5.24572182e-04
22       1.04760443e-04   -7.09652522e-03   -1.96176841e-01   -2.12158273e-01    7.09652522e-03    4.12158273e-04
23       1.05141463e-04   -7.03054080e-03   -1.05835588e-01   -1.21816933e-01    7.03054080e-03    3.21816933e-04
24       1.05522484e-04   -6.98229487e-03   -3.32329573e-02   -4.92142116e-02    6.98229487e-03    2.49214212e-04
25       1.05903504e-04   -6.94830442e-03    2.51140391e-02    9.13287610e-03    6.94830442e-03    1.90867124e-04
26       1.06284524e-04   -6.92577038e-03    7.20045019e-02    5.60234305e-02    6.92577038e-03    1.43976569e-04
27       1.07046564e-04   -6.90585369e-03    1.40633600e-01    1.24652713e-01    6.90585369e-03    7.53472867e-05
28       1.08570644e-04   -6.92847625e-03    2.15434159e-01    1.99453644e-01    6.92847625e-03    5.46356209e-07
