Index        TIME             I(VS)         {V(2)+0.2}       {V(3)+0.2}       {V(4)+0.2}
0       0.00000000e+00   0.00000000e+00   2.00000000e-01   2.00000000e-01   2.00000000e-01   
1       1.00000000e-04   -6.33344362e-03  2.62580380e-01   2.47030522e-01   2.50165890e-01   
2       1.12500000e-04   -7.13134249e-03  2.63731742e-01   2.47811457e-01   2.50998888e-01   
3       1.25000000e-04   -7.93007914e-03  2.63885542e-01   2.47915848e-01   2.51110238e-01   
4       1.37500000e-04   -8.72878213e-03  2.63895487e-01   2.47921710e-01   2.51116491e-01   
5       1.50000000e-04   -9.52731644e-03  2.63878860e-01   2.47908784e-01   2.51102703e-01   
6       1.75000000e-04   -1.11237314e-02  2.63842542e-01   2.47881605e-01   2.51073711e-01   
7       2.25000000e-04   -1.43134515e-02  2.63756836e-01   2.47817343e-01   2.51005166e-01   
8       3.25000000e-04   -2.06764904e-02  2.63530805e-01   2.47647706e-01   2.50824219e-01   
9       5.25000000e-04   -3.33053771e-02  2.62851771e-01   2.47138198e-01   2.50280745e-01   
10      7.25000000e-04   -4.57450978e-02  2.61733734e-01   2.46299285e-01   2.49385904e-01   
11      9.25000000e-04   -5.79248916e-02  2.60259091e-01   2.45193063e-01   2.48205934e-01   
12      1.32500000e-03   -8.12293820e-02  2.56629915e-01   2.42470861e-01   2.45302252e-01   
13      1.72500000e-03   -1.02690597e-01  2.51367224e-01   2.38523109e-01   2.41091316e-01   
14      2.12500000e-03   -1.21821099e-01  2.44933962e-01   2.33697807e-01   2.35944327e-01   
15      2.52500000e-03   -1.38186686e-01  2.37481760e-01   2.28108297e-01   2.29982183e-01   
16      2.92500000e-03   -1.51415917e-01  2.29178874e-01   2.21880841e-01   2.23339564e-01   
17      3.32500000e-03   -1.61208535e-01  2.20213727e-01   2.15156766e-01   2.16167217e-01   
18      3.72500000e-03   -1.67342282e-01  2.10789799e-01   2.08088684e-01   2.08627930e-01   
19      4.12500000e-03   -1.69677944e-01  2.01120981e-01   2.00837018e-01   2.00892819e-01   
20      4.33173573e-03   -1.69375461e-01  1.96062160e-01   1.97042892e-01   1.96845752e-01   
21      4.53847146e-03   -1.68044591e-01  1.91103808e-01   1.93324250e-01   1.92879201e-01   
22      4.74520719e-03   -1.65693503e-01  1.86188585e-01   1.89637843e-01   1.88947033e-01   
23      4.95194292e-03   -1.62336460e-01  1.81356581e-01   1.86013916e-01   1.85081511e-01   
24      5.36541438e-03   -1.52692132e-01  1.71941706e-01   1.78952883e-01   1.77549741e-01   
25      5.99780265e-03   -1.30886944e-01  1.58714742e-01   1.69033037e-01   1.66968573e-01   
26      6.55763628e-03   -1.05355188e-01  1.49236373e-01   1.61925002e-01   1.59386669e-01   
27      7.11746991e-03   -7.51481115e-02  1.41880646e-01   1.56408777e-01   1.53502696e-01   
28      7.67730353e-03   -4.16061029e-02  1.37114706e-01   1.52835088e-01   1.49690761e-01   
29      8.23713716e-03   -6.21769911e-03  1.35139827e-01   1.51354713e-01   1.48111694e-01   
30      8.49879368e-03   1.05146434e-02   1.36115671e-01   1.52087771e-01   1.48893623e-01   
31      8.76914519e-03   2.76926279e-02   1.36659392e-01   1.52494723e-01   1.49327705e-01   
32      9.03949670e-03   4.45833838e-02   1.38046143e-01   1.53535624e-01   1.50437999e-01   
33      9.30984821e-03   6.10114252e-02   1.40079793e-01   1.55061169e-01   1.52065247e-01   
34      9.58019973e-03   7.68062453e-02   1.42734642e-01   1.57052648e-01   1.54189491e-01   
35      1.01209027e-02   1.05848197e-01   1.49213592e-01   1.61912265e-01   1.59373083e-01   
36      1.06616058e-02   1.30507901e-01   1.58422099e-01   1.68819545e-01   1.66740848e-01   
37      1.12023088e-02   1.49763649e-01   1.69358485e-01   1.77022179e-01   1.75490324e-01   
38      1.17430118e-02   1.62818106e-01   1.81562428e-01   1.86175427e-01   1.85253789e-01   
39      1.22837148e-02   1.69130727e-01   1.94529797e-01   1.95901098e-01   1.95627838e-01   
40      1.26264386e-02   1.69510256e-01   2.03004951e-01   2.02257506e-01   2.02408007e-01   
41      1.28284547e-02   1.68408562e-01   2.07863935e-01   2.05901544e-01   2.06294980e-01   
42      1.30304708e-02   1.66330553e-01   2.12674291e-01   2.09509317e-01   2.10143271e-01   
43      1.32324869e-02   1.63288287e-01   2.17418074e-01   2.13067097e-01   2.13938237e-01   
44      1.36365190e-02   1.54387102e-01   2.26682709e-01   2.20015460e-01   2.21349824e-01   
45      1.42613429e-02   1.33683250e-01   2.39933352e-01   2.29953088e-01   2.31949961e-01   
46      1.48181557e-02   1.08966870e-01   2.49630032e-01   2.37224889e-01   2.39706548e-01   
47      1.53749686e-02   7.94667282e-02   2.57261767e-01   2.42948125e-01   2.45811334e-01   
48      1.59317814e-02   4.64778196e-02   2.62370447e-01   2.46778885e-01   2.49897477e-01   
49      1.64885943e-02   1.14484361e-02   2.64740636e-01   2.48555750e-01   2.51792800e-01   
50      1.68047373e-02   -8.76507251e-03  2.64061363e-01   2.48045290e-01   2.51248309e-01   
51      1.71208803e-02   -2.88533508e-02  2.63346468e-01   2.47509500e-01   2.50676800e-01   
52      1.73956276e-02   -4.59889722e-02  2.61803854e-01   2.46351783e-01   2.49441901e-01   
53      1.76703749e-02   -6.26315644e-02  2.59687454e-01   2.44764262e-01   2.47748546e-01   
54      1.79451222e-02   -7.86028383e-02  2.56922596e-01   2.42690239e-01   2.45536255e-01   
55      1.82198695e-02   -9.37315950e-02  2.53547111e-01   2.40158298e-01   2.42835518e-01   
56      1.87693641e-02   -1.20823126e-01  2.45674314e-01   2.34253320e-01   2.36536874e-01   
57      1.93188588e-02   -1.42748907e-01  2.35226950e-01   2.26416969e-01   2.28178100e-01   
58      1.98683534e-02   -1.58570782e-01  2.23267221e-01   2.17446901e-01   2.18610028e-01   
59      2.04178480e-02   -1.67612204e-01  2.10313784e-01   2.07731621e-01   2.08247062e-01   
60      2.08422802e-02   -1.69699154e-01  1.99880669e-01   1.99906707e-01   1.99900488e-01   
61      2.09102324e-02   -1.69630526e-01  1.98168415e-01   1.98622466e-01   1.98530630e-01   
62      2.09781846e-02   -1.69450482e-01  1.96558219e-01   1.97415181e-01   1.97242860e-01   
63      2.10461368e-02   -1.69159268e-01  1.94925519e-01   1.96190464e-01   1.95936494e-01   
64      2.11063521e-02   -1.68808440e-01  1.93478878e-01   1.95105512e-01   1.94779213e-01   
65      2.11665675e-02   -1.68370624e-01  1.92035666e-01   1.94023113e-01   1.93624654e-01   
66      2.12869981e-02   -1.67234986e-01  1.89158215e-01   1.91865040e-01   1.91322709e-01   
67      2.15278595e-02   -1.63932802e-01  1.83458683e-01   1.87590440e-01   1.86763136e-01   
68      2.17687208e-02   -1.59279892e-01  1.77905614e-01   1.83425755e-01   1.82320805e-01   
69      2.20095821e-02   -1.53314603e-01  1.72535522e-01   1.79398313e-01   1.78024867e-01   
70      2.24913048e-02   -1.37654138e-01  1.62281883e-01   1.71708285e-01   1.69822171e-01   
71      2.29730274e-02   -1.17466099e-01  1.53413038e-01   1.65057201e-01   1.62727681e-01   
72      2.34547500e-02   -9.34146111e-02  1.46078276e-01   1.59556637e-01   1.56860412e-01   
73      2.39364727e-02   -6.62907269e-02  1.40516682e-01   1.55386038e-01   1.52411774e-01   
74      2.44181953e-02   -3.69865479e-02  1.36911481e-01   1.52682783e-01   1.49528302e-01   
75      2.48999180e-02   -6.46588534e-03  1.35381255e-01   1.51535786e-01   1.48304839e-01   
76      2.50000000e-02   -6.37897972e-05  1.36210203e-01   1.52159657e-01   1.48970301e-01   
End of Xyce(TM) Simulation
