Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}        {V(4)+0.2}           I(L2)      
0        0.00000000e+00    0.00000000e+00    2.00000000e-01    1.02000000e+01    2.00000000e-01   -1.00000000e-02
1        1.00000000e-04   -6.25991275e-03    3.36111252e-01    3.45494402e-01    2.49583467e-01   -1.45494402e-04
2        1.03125000e-04   -6.50432002e-03    2.91480547e-01    2.79709056e-01    2.59420433e-01   -7.97090559e-05
3        1.06250000e-04   -6.72748572e-03    2.68082262e-01    2.47819680e-01    2.56627732e-01   -4.78196795e-05
4        1.08826656e-04   -6.89552609e-03    2.64749037e-01    2.49050010e-01    2.51611884e-01   -4.90500101e-05
5        1.11403313e-04   -7.06066331e-03    2.64312395e-01    2.47943481e-01    2.51228936e-01   -4.79434806e-05
6        1.13979969e-04   -7.22588318e-03    2.63786387e-01    2.48109989e-01    2.51306079e-01   -4.81099890e-05
7        1.19133282e-04   -7.55492716e-03    2.64109336e-01    2.47790463e-01    2.50981450e-01   -4.77904632e-05
8        1.29439907e-04   -8.21398801e-03    2.63694829e-01    2.48072788e-01    2.51274296e-01   -4.80727880e-05
9        1.50053158e-04   -9.53050236e-03    2.64088312e-01    2.47758753e-01    2.50945423e-01   -4.77587531e-05
10       1.91279660e-04   -1.21629879e-02    2.63600735e-01    2.48010351e-01    2.51208542e-01   -4.80103509e-05
11       2.73732663e-04   -1.74172258e-02    2.63863740e-01    2.47585992e-01    2.50760772e-01   -4.75859920e-05
12       4.38638670e-04   -2.78714358e-02    2.62927757e-01    2.47507404e-01    2.50672241e-01   -4.75074037e-05
13       6.03544676e-04   -3.82171458e-02    2.62563691e-01    2.46609010e-01    2.49718544e-01   -4.66090097e-05
14       7.68450683e-04   -4.84160189e-02    2.61138128e-01    2.46166235e-01    2.49241771e-01   -4.61662347e-05
15       9.33356689e-04   -5.84270060e-02    2.60300724e-01    2.44909850e-01    2.47906000e-01   -4.49098504e-05
16       1.09826270e-03   -6.82130818e-02    2.58401488e-01    2.44114825e-01    2.47053705e-01   -4.41148251e-05
17       1.26316870e-03   -7.77347744e-02    2.57109825e-01    2.42514761e-01    2.45351136e-01   -4.25147605e-05
18       1.42807471e-03   -8.69569662e-02    2.54760044e-01    2.41384837e-01    2.44141817e-01   -4.13848368e-05
19       1.59298072e-03   -9.58423470e-02    2.53040306e-01    2.39460729e-01    2.42093405e-01   -3.94607292e-05
20       1.75788672e-03   -1.04358274e-01    2.50269975e-01    2.38018411e-01    2.40551058e-01   -3.80184109e-05
21       1.92279273e-03   -1.12470150e-01    2.48155041e-01    2.35794917e-01    2.38183113e-01   -3.57949172e-05
22       2.08769874e-03   -1.20148337e-01    2.45000564e-01    2.34067517e-01    2.36336862e-01   -3.40675167e-05
23       2.25260474e-03   -1.27361458e-01    2.42529495e-01    2.31573929e-01    2.33680637e-01   -3.15739293e-05
24       2.41751075e-03   -1.34083363e-01    2.39033130e-01    2.29593149e-01    2.31564289e-01   -2.95931491e-05
25       2.58241676e-03   -1.40286355e-01    2.36250563e-01    2.26862940e-01    2.28655498e-01   -2.68629401e-05
26       2.74732276e-03   -1.45948201e-01    2.32459772e-01    2.24664387e-01    2.26307025e-01   -2.46643868e-05
27       2.91222877e-03   -1.51045285e-01    2.29415224e-01    2.21734688e-01    2.23185282e-01   -2.17346883e-05
28       3.07713477e-03   -1.55559662e-01    2.25381944e-01    2.19357326e-01    2.20646238e-01   -1.93573258e-05
29       3.24204078e-03   -1.59472136e-01    2.22129046e-01    2.16268353e-01    2.17354448e-01   -1.62683534e-05
30       3.40694679e-03   -1.62769350e-01    2.17908894e-01    2.13753904e-01    2.14669330e-01   -1.37539038e-05
31       3.57185279e-03   -1.65436799e-01    2.14504558e-01    2.10548334e-01    2.11253021e-01   -1.05483337e-05
32       3.73675880e-03   -1.67465950e-01    2.10155969e-01    2.07940636e-01    2.08468581e-01   -7.94063587e-06
33       3.90166481e-03   -1.68847184e-01    2.06659509e-01    2.04662943e-01    2.04975202e-01   -4.66294302e-06
34       4.06657081e-03   -1.69576949e-01    2.02242842e-01    2.02007278e-01    2.02139734e-01   -2.00727766e-06
35       4.23147682e-03   -1.69650635e-01    1.98715052e-01    1.98703048e-01    1.98617914e-01    1.29695249e-06
36       4.39638283e-03   -1.69069754e-01    1.94291659e-01    1.96045440e-01    1.95780505e-01    3.95455986e-06
37       4.56128883e-03   -1.67834747e-01    1.90793876e-01    1.92760663e-01    1.92279307e-01    7.23933734e-06
38       4.72619484e-03   -1.65952196e-01    1.86425156e-01    1.90147175e-01    1.89489083e-01    9.85282513e-06
39       4.89110085e-03   -1.63427557e-01    1.83018306e-01    1.86927533e-01    1.86057242e-01    1.30724672e-05
40       5.05600685e-03   -1.60272408e-01    1.78764762e-01    1.84403553e-01    1.83362612e-01    1.55964474e-05
41       5.22091286e-03   -1.56497110e-01    1.75508421e-01    1.81293714e-01    1.80047778e-01    1.87062855e-05
42       5.38581887e-03   -1.52118084e-01    1.71428724e-01    1.78903257e-01    1.77495686e-01    2.10967426e-05
43       5.55072487e-03   -1.47150409e-01    1.68380196e-01    1.75946187e-01    1.74343694e-01    2.40538135e-05
44       5.71563088e-03   -1.41615124e-01    1.64530283e-01    1.73731217e-01    1.71978896e-01    2.62687831e-05
45       5.88053689e-03   -1.35531764e-01    1.61743712e-01    1.70967507e-01    1.69033050e-01    2.90324933e-05
46       6.04544289e-03   -1.28925688e-01    1.58175922e-01    1.68967291e-01    1.66897426e-01    3.10327086e-05
47       6.21034890e-03   -1.21820560e-01    1.55701457e-01    1.66434537e-01    1.64197834e-01    3.35654627e-05
48       6.37525491e-03   -1.14245698e-01    1.52463728e-01    1.64685041e-01    1.62329740e-01    3.53149595e-05
49       6.54016091e-03   -1.06228495e-01    1.50346745e-01    1.62417259e-01    1.59912689e-01    3.75827413e-05
50       6.70506692e-03   -9.78018042e-02    1.47481871e-01    1.60950588e-01    1.58346369e-01    3.90494123e-05
51       6.86997293e-03   -8.89963015e-02    1.45762273e-01    1.58977689e-01    1.56243770e-01    4.10223114e-05
52       7.03487893e-03   -7.98478952e-02    1.43307246e-01    1.57821599e-01    1.55008825e-01    4.21784012e-05
53       7.19978494e-03   -7.03900388e-02    1.42018846e-01    1.56168925e-01    1.53247712e-01    4.38310755e-05
54       7.36469095e-03   -6.06611716e-02    1.40004286e-01    1.55346392e-01    1.52368647e-01    4.46536076e-05
55       7.52959695e-03   -5.06969795e-02    1.39174283e-01    1.54034324e-01    1.50970765e-01    4.59656755e-05
56       7.69450296e-03   -4.05378684e-02    1.37623965e-01    1.53563193e-01    1.50466607e-01    4.64368070e-05
57       7.85940897e-03   -3.02211761e-02    1.37272525e-01    1.52606837e-01    1.49448073e-01    4.73931629e-05
58       8.02431497e-03   -1.97886809e-02    1.36203013e-01    1.52499541e-01    1.49332083e-01    4.75004587e-05
59       8.18922098e-03   -9.27876669e-03    1.36342954e-01    1.51908493e-01    1.48703136e-01    4.80915067e-05
60       8.51903299e-03    1.18063000e-02    1.35793158e-01    1.52193936e-01    1.49006131e-01    4.78060641e-05
61       8.80878343e-03    3.01917955e-02    1.37296347e-01    1.52623800e-01    1.49466110e-01    4.73762001e-05
62       9.05965254e-03    4.58261360e-02    1.38046123e-01    1.53885082e-01    1.50810042e-01    4.61149180e-05
63       9.31052165e-03    6.10520931e-02    1.40553103e-01    1.55066251e-01    1.52071369e-01    4.49337493e-05
64       9.56139076e-03    7.57311790e-02    1.42394445e-01    1.57147764e-01    1.54290258e-01    4.28522362e-05
65       9.81225986e-03    8.97345820e-02    1.45941381e-01    1.59107276e-01    1.56381773e-01    4.08927243e-05
66       1.00631290e-02    1.02934766e-01    1.48786745e-01    1.61943391e-01    1.59405615e-01    3.80566089e-05
67       1.03139981e-02    1.15216115e-01    1.53268848e-01    1.64602603e-01    1.62243435e-01    3.53973966e-05
68       1.05648672e-02    1.26466506e-01    1.56995121e-01    1.68101015e-01    1.65973769e-01    3.18989847e-05
69       1.08157363e-02    1.36587726e-01    1.62274007e-01    1.71356092e-01    1.69447135e-01    2.86439084e-05
70       1.10666054e-02    1.45486984e-01    1.66726880e-01    1.75401097e-01    1.73760543e-01    2.45989027e-05
71       1.13174745e-02    1.53087060e-01    1.72635521e-01    1.79126724e-01    1.77735789e-01    2.08732761e-05
72       1.15683436e-02    1.59317713e-01    1.77634977e-01    1.83583338e-01    1.82488287e-01    1.64166615e-05
73       1.18192127e-02    1.64125559e-01    1.83983683e-01    1.87637207e-01    1.86813618e-01    1.23627932e-05
74       1.20700818e-02    1.67465330e-01    1.89330399e-01    1.92355967e-01    1.91845776e-01    7.64403332e-06
75       1.23209509e-02    1.69309464e-01    1.95913597e-01    1.96583861e-01    1.96356697e-01    3.41613931e-06
76       1.25718201e-02    1.69639198e-01    2.01396038e-01    2.01406144e-01    2.01499318e-01   -1.40614448e-06
77       1.28226892e-02    1.68453856e-01    2.07999621e-01    2.05647452e-01    2.06024510e-01   -5.64745206e-06
78       1.30735583e-02    1.65761770e-01    2.13401573e-01    2.10411129e-01    2.11104652e-01   -1.04111289e-05
79       1.33244274e-02    1.61589258e-01    2.19810555e-01    2.14504581e-01    2.15472096e-01   -1.45045809e-05
80       1.35752965e-02    1.55971361e-01    2.24918822e-01    2.19049785e-01    2.20319236e-01   -1.90497846e-05
81       1.38261656e-02    1.48960538e-01    2.30925015e-01    2.22839217e-01    2.24362357e-01   -2.28392166e-05
82       1.40770347e-02    1.40617210e-01    2.35537013e-01    2.27014039e-01    2.28814457e-01   -2.70140392e-05
83       1.43279038e-02    1.31018183e-01    2.40946471e-01    2.30353971e-01    2.32378078e-01   -3.03539705e-05
84       1.45787729e-02    1.20247022e-01    2.44877436e-01    2.34019873e-01    2.36287363e-01   -3.40198734e-05
85       1.48296420e-02    1.08402223e-01    2.49517386e-01    2.36780705e-01    2.39233245e-01   -3.67807047e-05
86       1.50805111e-02    9.55874329e-02    2.52606960e-01    2.39817452e-01    2.42471463e-01   -3.98174523e-05
87       1.53313802e-02    8.19194029e-02    2.56331970e-01    2.41890096e-01    2.44683247e-01   -4.18900959e-05
88       1.55822493e-02    6.75180863e-02    2.58449909e-01    2.44200038e-01    2.47146236e-01   -4.42000377e-05
89       1.58331185e-02    5.25144050e-02    2.61147092e-01    2.45499816e-01    2.48533600e-01   -4.54998159e-05
90       1.60839876e-02    3.70402583e-02    2.62197899e-01    2.47011363e-01    2.50144998e-01   -4.70113633e-05
91       1.63348567e-02    2.12361496e-02    2.63790949e-01    2.47481035e-01    2.50646886e-01   -4.74810351e-05
92       1.65857258e-02    5.24113892e-03    2.63717273e-01    2.48151209e-01    2.51360848e-01   -4.81512088e-05
93       1.68365949e-02   -1.07996212e-02    2.64169193e-01    2.47763018e-01    2.50947654e-01   -4.77630182e-05
94       1.70623771e-02   -2.51589072e-02    2.63028540e-01    2.47635048e-01    2.50810291e-01   -4.76350476e-05
95       1.72655811e-02   -3.79283933e-02    2.62668680e-01    2.46635881e-01    2.49745358e-01   -4.66358805e-05
96       1.74687850e-02   -5.04765030e-02    2.60844002e-01    2.45997353e-01    2.49063433e-01   -4.59973533e-05
