Index       TIME              V(1)              V(2)            {X1:L1:L}          X1:L1:L     
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-03    1.00000000e-03
1        1.00000000e-10    6.28318531e-07    7.61636988e-14    1.00000000e-03    1.00000000e-03
2        3.00000000e-10    1.88495559e-06    5.33145822e-13    1.00000000e-03    1.00000000e-03
3        7.00000000e-10    4.39822972e-06    2.05641938e-12    1.00000000e-03    1.00000000e-03
4        1.50000000e-09    9.42477796e-06    8.75882070e-12    1.00000000e-03    1.00000000e-03
5        3.10000000e-09    1.94778745e-05    3.67870234e-11    1.00000000e-03    1.00000000e-03
6        6.30000000e-09    3.95840674e-05    1.51336895e-10    1.00000000e-03    1.00000000e-03
7        1.27000000e-08    7.97964533e-05    6.14409436e-10    1.00000000e-03    1.00000000e-03
8        2.55000000e-08    1.60221225e-04    2.47643714e-09    1.00000000e-03    1.00000000e-03
9        5.11000000e-08    3.21070764e-04    9.94395455e-09    1.00000000e-03    1.00000000e-03
10       1.02300000e-07    6.42769813e-04    3.98522887e-08    1.00000000e-03    1.00000000e-03
11       2.04700000e-07    1.28616768e-03    1.59557758e-07    1.00000000e-03    1.00000000e-03
12       4.09500000e-07    2.57296154e-03    6.38488598e-07    1.00000000e-03    1.00000000e-03
13       8.19100000e-07    5.14653437e-03    2.55414549e-06    1.00000000e-03    1.00000000e-03
14       1.63830000e-06    1.02935607e-02    1.02143327e-05    1.00000000e-03    1.00000000e-03
15       2.45750000e-06    1.54403143e-02    2.29759268e-05    1.00000000e-03    1.00000000e-03
16       4.09590000e-06    2.57324580e-02    6.37801044e-05    1.00000000e-03    1.00000000e-03
17       7.37270000e-06    4.63074742e-02    2.06348539e-04    1.00000000e-03    1.00000000e-03
18       1.06495000e-05    6.68628614e-02    4.29918051e-04    1.00000000e-03    1.00000000e-03
19       1.39263000e-05    8.73899068e-02    7.34090772e-04    1.00000000e-03    1.00000000e-03
20       1.72031000e-05    1.07879909e-01    1.11843580e-03    1.00000000e-03    1.00000000e-03
21       2.37567000e-05    1.48714063e-01    2.12549969e-03    1.00000000e-03    1.00000000e-03
22       3.03103000e-05    1.89296096e-01    3.44723416e-03    1.00000000e-03    1.00000000e-03
23       3.68639000e-05    2.29557206e-01    5.07902347e-03    1.00000000e-03    1.00000000e-03
24       4.34175000e-05    2.69429137e-01    7.01574399e-03    1.00000000e-03    1.00000000e-03
25       4.99711000e-05    3.08844293e-01    9.25177268e-03    1.00000000e-03    1.00000000e-03
26       5.65247000e-05    3.47735851e-01    1.17809966e-02    1.00000000e-03    1.00000000e-03
27       6.30783000e-05    3.86037876e-01    1.45968229e-02    1.00000000e-03    1.00000000e-03
28       6.96319000e-05    4.23685434e-01    1.76921902e-02    1.00000000e-03    1.00000000e-03
29       7.61855000e-05    4.60614699e-01    2.10595803e-02    1.00000000e-03    1.00000000e-03
30       8.27391000e-05    4.96763062e-01    2.46910306e-02    1.00000000e-03    1.00000000e-03
31       8.92927000e-05    5.32069241e-01    2.85781478e-02    1.00000000e-03    1.00000000e-03
32       9.58463000e-05    5.66473378e-01    3.27121217e-02    1.00000000e-03    1.00000000e-03
33       1.02399900e-04    5.99917147e-01    3.70837403e-02    1.00000000e-03    1.00000000e-03
34       1.08953500e-04    6.32343850e-01    4.16834052e-02    1.00000000e-03    1.00000000e-03
35       1.15507100e-04    6.63698511e-01    4.65011474e-02    1.00000000e-03    1.00000000e-03
36       1.22060700e-04    6.93927974e-01    5.15266446e-02    1.00000000e-03    1.00000000e-03
37       1.28614300e-04    7.22980989e-01    5.67492385e-02    1.00000000e-03    1.00000000e-03
38       1.35167900e-04    7.50808301e-01    6.21579523e-02    1.00000000e-03    1.00000000e-03
39       1.41721500e-04    7.77362734e-01    6.77415098e-02    1.00000000e-03    1.00000000e-03
40       1.48275100e-04    8.02599268e-01    7.34883538e-02    1.00000000e-03    1.00000000e-03
41       1.54828700e-04    8.26475120e-01    7.93866660e-02    1.00000000e-03    1.00000000e-03
42       1.61382300e-04    8.48949810e-01    8.54243870e-02    1.00000000e-03    1.00000000e-03
43       1.67935900e-04    8.69985237e-01    9.15892362e-02    1.00000000e-03    1.00000000e-03
44       1.74489500e-04    8.89545739e-01    9.78687326e-02    1.00000000e-03    1.00000000e-03
45       1.81043100e-04    9.07598153e-01    1.04250216e-01    1.00000000e-03    1.00000000e-03
46       1.87596700e-04    9.24111874e-01    1.10720869e-01    1.00000000e-03    1.00000000e-03
