Index       TIME              V(1)              V(2)              L1:L             {L1:L}           {2*L1:L}        {(L1:L)**2.0}     {(L1:L)*R1:R}  
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
1        1.00000000e-10    6.28318531e-07    1.25663706e-06    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
2        3.00000000e-10    1.88495559e-06    3.76991118e-06    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
3        5.00000000e-10    3.14159265e-06    6.28318531e-06    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
4        9.00000000e-10    5.65486678e-06    1.13097336e-05    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
5        1.70000000e-09    1.06814150e-05    2.13628300e-05    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
6        3.30000000e-09    2.07345115e-05    4.14690230e-05    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
7        4.90000000e-09    3.07876080e-05    6.15752160e-05    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
8        8.10000000e-09    5.08938010e-05    1.01787602e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
9        1.45000000e-08    9.11061868e-05    1.82212374e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
10       2.09000000e-08    1.31318573e-04    2.62637145e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
11       2.73000000e-08    1.71530958e-04    3.43061916e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
12       3.37000000e-08    2.11743343e-04    4.23486687e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
13       4.01000000e-08    2.51955728e-04    5.03911456e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
14       5.29000000e-08    3.32380497e-04    6.64760993e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
15       6.57000000e-08    4.12805263e-04    8.25610526e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
16       7.85000000e-08    4.93230027e-04    9.86460053e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
17       9.13000000e-08    5.73654787e-04    1.14730957e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
18       1.04100000e-07    6.54079544e-04    1.30815909e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
19       1.16900000e-07    7.34504296e-04    1.46900859e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
20       1.29700000e-07    8.14929044e-04    1.62985809e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
21       1.55300000e-07    9.75778523e-04    1.95155705e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
22       1.80900000e-07    1.13662798e-03    2.27325595e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
23       2.06500000e-07    1.29747740e-03    2.59495480e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
